minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.63,0.009716423093568525,0.9375,0.02454591547615497,0.7782505910165485,0.04759082300897749,0.4505416714984543,0.7902269883975848,0.40947410719754707,0.17194840582131
0.06,0.63,0.014299286349015075,0.93125,0.035547584060852275,0.7777777777777778,0.06798784898018227,0.45094081228152394,0.7875674139294997,0.4102677690476254,0.11771292255653228
0.07,0.63,0.020849029635876627,0.90625,0.05150403061384524,0.7763593380614657,0.09659959995293564,0.45151860582646375,0.7769291160571592,0.4114129494737897,0.08015785187814503
0.08,0.63,0.03045861263935451,0.8833333333333332,0.07428390137781,0.7749408983451537,0.13557219074403407,0.4523829391507967,0.7671773430075138,0.41311756278173456,0.05455129142045811
0.09,0.63,0.0446055655064681,0.8708333333333332,0.10590289002392189,0.774468085106383,0.18632692526447503,0.45368772605199875,0.7618581940713436,0.41567415260951135,0.03733844194349905
0.1,0.63,0.06300487763521226,0.8541666666666666,0.14511264857193543,0.7735224586288416,0.2443797146911644,0.45547117439476004,0.7547659954897833,0.41912243869019805,0.026405215793539764
0.11,0.63,0.08555303089043617,0.8375,0.1925978312116926,0.7725768321513002,0.30833097462024717,0.4577840816508722,0.7476737969082229,0.42352311773436485,0.01913379825861817
0.12,0.63,0.11561897904928546,0.825,0.24708730518989258,0.7721040189125296,0.37436955524988536,0.46107596587704475,0.7423546479720529,0.42967190346638,0.014245296807466645
0.13,0.63,0.1460639737365497,0.80625,0.3034983252698176,0.7711583924349882,0.43557217251969554,0.46472980649102086,0.7343759245677975,0.43631192810941727,0.011032405570751467
0.14,0.63,0.1794189539491158,0.775,0.36201912386035134,0.7697399527186761,0.4924379915305505,0.4692634965430199,0.721078052227372,0.4442566296997515,0.008759108846804335
0.15,0.63,0.22021683608844586,0.75,0.42004649961250323,0.7687943262411348,0.5432676244570664,0.4755571058071649,0.7104397543550316,0.454852541620398,0.007135698327521767
0.16,0.63,0.24667531680059657,0.7145833333333333,0.4721817652199243,0.7664302600472813,0.5843547224224946,0.48066009799440906,0.6953688323692159,0.4628367841338845,0.006018624851230869
0.17,0.63,0.2713913943604032,0.6770833333333333,0.5204377212745414,0.7645390070921986,0.6193029490616622,0.4859524521470259,0.6794113855607052,0.4709418201363115,0.005188649698285762
0.18,0.63,0.3110193436407882,0.6666666666666666,0.5625217694183211,0.7635933806146572,0.6478138788608103,0.49595561922990933,0.6749787614472302,0.4849943758396367,0.004583133234501911
0.19,0.63,0.32925233394636855,0.64375,0.5957132298595713,0.7621749408983451,0.6687409251192699,0.5024874669647338,0.6652269883975848,0.4932085052873054,0.004168145658029357
0.2,0.63,0.3513414389081547,0.6375,0.6224884080370943,0.7617021276595745,0.6850946204550287,0.5094153881008829,0.6625674139294997,0.5021702748027168,0.0038653874261374314
