Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.6666666666666666,0.36363636363636365,0.47058823529411764,4,2,7,0.6299999952316284,Medium,minority_f2
T1003,237,237,68,0.8333333333333334,0.7352941176470589,0.78125,50,10,18,0.6299999952316284,Head,minority_f2
T1005,156,156,44,0.7428571428571429,0.5909090909090909,0.6582278481012658,26,9,18,0.6299999952316284,Head,minority_f2
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.3499999940395355,Tail,minority_f2
T1007,34,78,10,0.7777777777777778,0.7,0.7368421052631579,7,2,3,0.6299999952316284,Medium,minority_f2
T1008,31,78,9,0.8571428571428571,0.6666666666666666,0.75,6,1,3,0.6299999952316284,Medium,minority_f2
T1010,17,78,5,1.0,1.0,1.0,5,0,0,0.3499999940395355,Tail,minority_f2
T1011,5,78,2,0.6666666666666666,1.0,0.8,2,1,0,0.3499999940395355,Tail,minority_f2
T1012,88,88,25,0.76,0.76,0.76,19,6,6,0.6299999952316284,Medium,minority_f2
T1014,19,78,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.3499999940395355,Tail,minority_f2
T1016,182,182,52,0.7407407407407407,0.7692307692307693,0.7547169811320755,40,14,12,0.6299999952316284,Head,minority_f2
T1018,40,78,12,1.0,0.6666666666666666,0.8,8,0,4,0.6299999952316284,Medium,minority_f2
T1020,18,78,5,0.2,0.4,0.26666666666666666,2,8,3,0.3499999940395355,Tail,minority_f2
T1021,226,226,64,0.7419354838709677,0.71875,0.7301587301587301,46,16,18,0.6299999952316284,Head,minority_f2
T1025,18,78,5,0.14285714285714285,0.2,0.16666666666666666,1,6,4,0.3499999940395355,Tail,minority_f2
T1027,1105,1110,316,0.8012618296529969,0.8037974683544303,0.8025276461295419,254,63,62,0.6299999952316284,Head,minority_f2
T1029,12,78,4,0.3333333333333333,0.75,0.46153846153846156,3,6,1,0.3499999940395355,Tail,minority_f2
T1030,9,78,3,1.0,1.0,1.0,3,0,0,0.3499999940395355,Tail,minority_f2
T1033,153,153,44,0.8536585365853658,0.7954545454545454,0.8235294117647058,35,6,9,0.6299999952316284,Head,minority_f2
T1036,280,280,80,0.7692307692307693,0.75,0.759493670886076,60,18,20,0.6299999952316284,Head,minority_f2
T1037,32,78,9,0.8,0.4444444444444444,0.5714285714285714,4,1,5,0.6299999952316284,Medium,minority_f2
T1039,10,78,3,0.2857142857142857,0.6666666666666666,0.4,2,5,1,0.3499999940395355,Tail,minority_f2
T1040,12,78,4,0.5,0.5,0.5,2,2,2,0.3499999940395355,Tail,minority_f2
T1041,165,165,47,0.6481481481481481,0.7446808510638298,0.693069306930693,35,19,12,0.6299999952316284,Head,minority_f2
T1046,31,78,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.6299999952316284,Medium,minority_f2
T1047,142,142,40,0.8085106382978723,0.95,0.8735632183908046,38,9,2,0.6299999952316284,Head,minority_f2
T1048,37,78,11,0.5,0.18181818181818182,0.26666666666666666,2,2,9,0.6299999952316284,Medium,minority_f2
T1049,51,78,14,0.8181818181818182,0.6428571428571429,0.72,9,2,5,0.6299999952316284,Medium,minority_f2
T1052,10,78,3,0.16666666666666666,0.3333333333333333,0.2222222222222222,1,5,2,0.3499999940395355,Tail,minority_f2
T1053,242,243,69,0.9264705882352942,0.9130434782608695,0.9197080291970803,63,5,6,0.6299999952316284,Head,minority_f2
T1055,502,502,143,0.9044117647058824,0.8601398601398601,0.8817204301075269,123,13,20,0.6299999952316284,Head,minority_f2
T1056,156,156,44,0.8837209302325582,0.8636363636363636,0.8735632183908046,38,5,6,0.6299999952316284,Head,minority_f2
T1057,227,227,65,0.8275862068965517,0.7384615384615385,0.7804878048780488,48,10,17,0.6299999952316284,Head,minority_f2
T1059,807,808,231,0.8493150684931506,0.8051948051948052,0.8266666666666667,186,33,45,0.6299999952316284,Head,minority_f2
T1068,37,78,11,0.7,0.6363636363636364,0.6666666666666666,7,3,4,0.6299999952316284,Medium,minority_f2
T1069,45,78,13,0.8888888888888888,0.6153846153846154,0.7272727272727273,8,1,5,0.6299999952316284,Medium,minority_f2
