Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,0.9444444444444444,0.918918918918919,0.9315068493150684,34,2,3,0.66,Head,global
T1005,78,115,22,0.5882352941176471,0.45454545454545453,0.5128205128205128,10,7,12,0.66,Medium,global
T1012,29,116,8,0.8333333333333334,0.625,0.7142857142857143,5,1,3,0.66,Medium,global
T1016,46,115,13,0.9,0.6923076923076923,0.782608695652174,9,1,4,0.66,Medium,global
T1021,121,128,34,0.8787878787878788,0.8529411764705882,0.8656716417910447,29,4,5,0.66,Head,global
T1027,761,791,218,0.8645833333333334,0.7614678899082569,0.8097560975609757,166,26,52,0.66,Head,global
T1033,45,118,13,0.625,0.38461538461538464,0.47619047619047616,5,3,8,0.66,Medium,global
T1036,88,114,25,0.9,0.72,0.8,18,2,7,0.66,Medium,global
T1041,101,114,29,0.6538461538461539,0.5862068965517241,0.6181818181818182,17,9,12,0.66,Head,global
T1047,82,114,24,0.9090909090909091,0.8333333333333334,0.8695652173913043,20,2,4,0.66,Medium,global
T1053,121,125,35,0.967741935483871,0.8571428571428571,0.9090909090909091,30,1,5,0.66,Head,global
T1055,332,340,95,0.9186046511627907,0.8315789473684211,0.8729281767955801,79,7,16,0.66,Head,global
T1056,55,115,16,0.8823529411764706,0.9375,0.9090909090909091,15,2,1,0.66,Medium,global
T1057,82,114,24,0.8695652173913043,0.8333333333333334,0.851063829787234,20,3,4,0.66,Medium,global
T1059,325,363,93,0.7,0.7526881720430108,0.7253886010362695,70,30,23,0.66,Head,global
T1068,11,114,3,1.0,0.6666666666666666,0.8,2,0,1,0.66,Tail,global
T1070,91,114,26,0.8076923076923077,0.8076923076923077,0.8076923076923077,21,5,5,0.66,Medium,global
T1071,178,184,51,0.8461538461538461,0.8627450980392157,0.8543689320388349,44,8,7,0.66,Head,global
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.66,Tail,global
T1074,34,119,10,0.875,0.7,0.7777777777777778,7,1,3,0.66,Medium,global
T1078,194,217,56,0.7358490566037735,0.6964285714285714,0.7155963302752294,39,14,17,0.66,Head,global
T1082,128,173,36,0.8,0.5555555555555556,0.6557377049180327,20,5,16,0.66,Head,global
T1083,108,120,31,0.8620689655172413,0.8064516129032258,0.8333333333333334,25,4,6,0.66,Head,global
T1090,167,167,48,0.9111111111111111,0.8541666666666666,0.8817204301075269,41,4,7,0.66,Head,global
T1095,60,114,17,0.8666666666666667,0.7647058823529411,0.8125,13,2,4,0.66,Medium,global
T1105,311,324,89,0.8,0.7640449438202247,0.7816091954022989,68,17,21,0.66,Head,global
T1106,222,244,64,0.6712328767123288,0.765625,0.7153284671532847,49,24,15,0.66,Head,global
T1110,63,116,18,0.9166666666666666,0.6111111111111112,0.7333333333333333,11,1,7,0.66,Medium,global
T1112,123,131,35,0.7894736842105263,0.8571428571428571,0.821917808219178,30,8,5,0.66,Head,global
T1113,37,118,11,0.875,0.6363636363636364,0.7368421052631579,7,1,4,0.66,Medium,global
T1140,479,485,137,0.8759124087591241,0.8759124087591241,0.8759124087591241,120,17,17,0.66,Head,global
T1190,68,114,20,0.8888888888888888,0.8,0.8421052631578947,16,2,4,0.66,Medium,global
T1204,114,118,32,0.7857142857142857,0.6875,0.7333333333333333,22,6,10,0.66,Head,global
T1210,17,114,5,1.0,1.0,1.0,5,0,0,0.66,Tail,global
T1218,59,114,17,0.8333333333333334,0.8823529411764706,0.8571428571428571,15,3,2,0.66,Medium,global
T1219,68,116,19,0.8823529411764706,0.7894736842105263,0.8333333333333334,15,2,4,0.66,Medium,global
T1484,28,114,8,1.0,1.0,1.0,8,0,0,0.66,Medium,global
T1518,43,114,12,0.8461538461538461,0.9166666666666666,0.88,11,2,1,0.66,Medium,global
T1543,58,117,17,0.6875,0.6470588235294118,0.6666666666666666,11,5,6,0.66,Medium,global
T1547,80,114,23,0.9523809523809523,0.8695652173913043,0.9090909090909091,20,1,3,0.66,Medium,global
T1548,31,114,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.66,Medium,global
T1552,28,114,8,0.7,0.875,0.7777777777777778,7,3,1,0.66,Medium,global
T1557,7,114,2,0.0,0.0,0.0,0,0,2,0.66,Tail,global
T1562,108,126,31,0.8125,0.8387096774193549,0.8253968253968254,26,6,5,0.66,Head,global
T1564,21,117,6,1.0,0.6666666666666666,0.8,4,0,2,0.66,Medium,global
T1566,107,114,31,0.92,0.7419354838709677,0.8214285714285714,23,2,8,0.66,Head,global
T1569,26,115,8,0.8333333333333334,0.625,0.7142857142857143,5,1,3,0.66,Medium,global
T1570,73,114,21,0.8235294117647058,0.6666666666666666,0.7368421052631579,14,3,7,0.66,Medium,global
T1573,72,115,21,1.0,0.6190476190476191,0.7647058823529411,13,0,8,0.66,Medium,global
T1574,88,114,25,1.0,0.92,0.9583333333333334,23,0,2,0.66,Medium,global
