Technique_ID,Original_Train_Support,Frequency_Group
T1001,46,Medium
T1003,122,Head
T1005,89,Medium
T1006,4,Tail
T1007,39,Medium
T1008,35,Medium
T1010,20,Medium
T1011,6,Tail
T1012,68,Medium
T1014,22,Medium
T1016,155,Head
T1018,46,Medium
T1020,21,Medium
T1021,120,Head
T1025,21,Medium
T1027,393,Head
T1029,14,Tail
T1030,10,Tail
T1033,123,Head
T1036,219,Head
T1037,37,Medium
T1039,11,Tail
T1040,14,Tail
T1041,73,Medium
T1046,36,Medium
T1047,67,Medium
T1048,42,Medium
T1049,58,Medium
T1052,12,Tail
T1053,138,Head
T1055,194,Head
T1056,114,Head
T1057,165,Head
T1059,550,Head
T1068,30,Medium
T1069,52,Medium
T1070,272,Head
T1071,291,Head
T1072,8,Tail
T1074,78,Medium
T1078,72,Medium
T1080,18,Tail
T1082,234,Head
T1083,204,Head
T1087,76,Medium
T1090,99,Medium
T1091,20,Medium
T1092,5,Tail
T1095,43,Medium
T1098,38,Medium
T1102,81,Medium
T1104,14,Tail
T1105,270,Head
T1106,93,Medium
T1110,56,Medium
T1111,10,Tail
T1112,91,Medium
T1113,91,Medium
T1114,41,Medium
T1115,25,Medium
T1119,38,Medium
T1120,35,Medium
T1123,22,Medium
T1124,51,Medium
T1125,22,Medium
T1127,10,Tail
T1129,17,Tail
T1132,75,Medium
T1133,30,Medium
T1134,59,Medium
T1135,35,Medium
T1136,31,Medium
T1137,43,Medium
T1140,156,Head
T1176,13,Tail
T1185,17,Tail
T1187,14,Tail
T1189,42,Medium
T1190,22,Medium
T1195,22,Medium
T1197,17,Tail
T1199,9,Tail
T1200,3,Tail
T1201,8,Tail
T1202,4,Tail
T1203,50,Medium
T1204,150,Head
T1205,23,Medium
T1207,6,Tail
T1210,18,Tail
T1211,5,Tail
T1212,4,Tail
T1213,19,Tail
T1216,11,Tail
T1217,9,Tail
T1218,190,Head
T1219,20,Medium
T1220,12,Tail
T1221,15,Tail
T1222,29,Medium
T1480,27,Medium
T1482,12,Tail
T1484,24,Medium
T1485,19,Tail
T1486,42,Medium
T1489,25,Medium
T1490,22,Medium
T1491,10,Tail
T1495,4,Tail
T1496,14,Tail
T1497,96,Medium
T1498,26,Medium
T1499,39,Medium
T1505,55,Medium
T1518,98,Medium
T1525,5,Tail
T1526,5,Tail
T1528,10,Tail
T1529,13,Tail
T1530,7,Tail
T1531,4,Tail
T1534,8,Tail
T1535,6,Tail
T1537,3,Tail
T1538,3,Tail
T1539,14,Tail
T1542,33,Medium
T1543,141,Head
T1546,139,Head
T1547,294,Head
T1548,70,Medium
T1550,50,Medium
T1552,66,Medium
T1553,112,Head
T1554,13,Tail
T1555,113,Head
T1556,34,Medium
T1557,27,Medium
T1558,42,Medium
T1559,38,Medium
T1560,112,Head
T1561,25,Medium
T1562,139,Head
T1563,18,Tail
T1564,136,Head
T1565,18,Tail
T1566,154,Head
T1567,22,Medium
T1568,44,Medium
T1569,48,Medium
T1570,16,Tail
T1571,26,Medium
T1572,16,Tail
T1573,154,Head
T1574,147,Head
T1578,15,Tail
T1580,8,Tail
T1583,59,Medium
T1584,35,Medium
T1585,29,Medium
T1586,22,Medium
T1587,38,Medium
T1588,85,Medium
T1589,26,Medium
T1590,28,Medium
T1591,20,Medium
T1592,20,Medium
T1593,13,Tail
T1594,5,Tail
T1595,15,Tail
T1596,27,Medium
T1597,12,Tail
T1598,26,Medium
T1599,15,Tail
T1600,13,Tail
T1601,27,Medium
T1602,14,Tail
T1606,21,Medium
T1608,47,Medium
T1609,6,Tail
T1610,7,Tail
T1611,9,Tail
T1612,4,Tail
T1613,6,Tail
T1614,28,Medium
T1615,6,Tail
T1619,4,Tail
T1620,8,Tail
