Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1001,46,Medium,40,6,11,0,0,11,0.0,0.0,0.0,0.49,True
T1003,122,Head,107,15,30,13,10,17,0.5652173913043478,0.43333333333333335,0.49056603773584906,0.49,True
T1005,89,Medium,78,11,22,10,13,12,0.43478260869565216,0.45454545454545453,0.4444444444444445,0.49,True
T1006,4,Tail,3,1,1,0,0,1,0.0,0.0,0.0,0.49,True
T1007,39,Medium,34,5,10,4,0,6,1.0,0.4,0.5714285714285715,0.49,True
T1008,35,Medium,31,4,9,3,1,6,0.75,0.3333333333333333,0.46153846153846156,0.49,True
T1010,20,Medium,17,3,5,1,0,4,1.0,0.2,0.33333333333333337,0.49,True
T1011,6,Tail,5,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.49,True
T1012,68,Medium,59,9,17,5,5,12,0.5,0.29411764705882354,0.37037037037037035,0.49,True
T1014,22,Medium,19,3,5,1,0,4,1.0,0.2,0.33333333333333337,0.49,True
T1016,155,Head,136,19,39,23,6,16,0.7931034482758621,0.5897435897435898,0.676470588235294,0.49,True
T1018,46,Medium,40,6,12,1,0,11,1.0,0.08333333333333333,0.15384615384615385,0.49,True
T1020,21,Medium,18,3,5,0,2,5,0.0,0.0,0.0,0.49,True
T1021,120,Head,105,15,30,13,4,17,0.7647058823529411,0.43333333333333335,0.5531914893617021,0.49,True
T1025,21,Medium,18,3,5,2,0,3,1.0,0.4,0.5714285714285715,0.49,True
T1027,393,Head,344,49,98,66,28,32,0.7021276595744681,0.673469387755102,0.6875000000000001,0.49,True
T1029,14,Tail,12,2,4,0,0,4,0.0,0.0,0.0,0.49,True
T1030,10,Tail,9,1,3,0,0,3,0.0,0.0,0.0,0.49,True
T1033,123,Head,108,15,31,22,7,9,0.7586206896551724,0.7096774193548387,0.7333333333333333,0.49,True
T1036,219,Head,192,27,55,27,7,28,0.7941176470588235,0.4909090909090909,0.6067415730337079,0.49,True
T1037,37,Medium,32,5,9,1,2,8,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.49,True
T1039,11,Tail,10,1,3,1,0,2,1.0,0.3333333333333333,0.5,0.49,True
T1040,14,Tail,12,2,4,0,0,4,0.0,0.0,0.0,0.49,True
T1041,73,Medium,64,9,18,8,1,10,0.8888888888888888,0.4444444444444444,0.5925925925925926,0.49,True
T1046,36,Medium,31,5,9,3,0,6,1.0,0.3333333333333333,0.5,0.49,True
T1047,67,Medium,59,8,17,10,4,7,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.49,True
T1048,42,Medium,37,5,11,1,2,10,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.49,True
T1049,58,Medium,51,7,14,3,2,11,0.6,0.21428571428571427,0.3157894736842105,0.49,True
T1052,12,Tail,10,2,3,1,1,2,0.5,0.3333333333333333,0.4,0.49,True
T1053,138,Head,121,17,35,21,9,14,0.7,0.6,0.6461538461538462,0.49,True
T1055,194,Head,170,24,49,34,7,15,0.8292682926829268,0.6938775510204082,0.7555555555555555,0.49,True
T1056,114,Head,100,14,29,19,1,10,0.95,0.6551724137931034,0.7755102040816326,0.49,True
T1057,165,Head,144,21,41,34,10,7,0.7727272727272727,0.8292682926829268,0.7999999999999999,0.49,True
T1059,550,Head,481,69,138,96,22,42,0.8135593220338984,0.6956521739130435,0.75,0.49,True
T1068,30,Medium,26,4,7,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.49,True
T1069,52,Medium,45,7,13,4,3,9,0.5714285714285714,0.3076923076923077,0.4,0.49,True
T1070,272,Head,238,34,68,47,10,21,0.8245614035087719,0.6911764705882353,0.7519999999999999,0.49,True
T1071,291,Head,255,36,73,64,21,9,0.7529411764705882,0.8767123287671232,0.8101265822784809,0.49,True
T1072,8,Tail,7,1,2,0,0,2,0.0,0.0,0.0,0.49,True
T1074,78,Medium,68,10,20,7,5,13,0.5833333333333334,0.35,0.4375,0.49,True
T1078,72,Medium,63,9,18,10,2,8,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.49,True
T1080,18,Tail,16,2,4,1,0,3,1.0,0.25,0.4,0.49,True
T1082,234,Head,205,29,59,45,17,14,0.7258064516129032,0.7627118644067796,0.743801652892562,0.49,True
T1083,204,Head,178,26,51,23,14,28,0.6216216216216216,0.45098039215686275,0.5227272727272727,0.49,True
T1087,76,Medium,66,10,19,2,3,17,0.4,0.10526315789473684,0.16666666666666666,0.49,True
T1090,99,Medium,87,12,25,11,6,14,0.6470588235294118,0.44,0.5238095238095238,0.49,True
T1091,20,Medium,17,3,5,2,1,3,0.6666666666666666,0.4,0.5,0.49,True
T1092,5,Tail,4,1,1,0,0,1,0.0,0.0,0.0,0.49,True
T1095,43,Medium,38,5,11,4,1,7,0.8,0.36363636363636365,0.5000000000000001,0.49,True
T1098,38,Medium,33,5,10,0,0,10,0.0,0.0,0.0,0.49,True
T1102,81,Medium,71,10,20,5,1,15,0.8333333333333334,0.25,0.3846153846153846,0.49,True
T1104,14,Tail,12,2,3,0,0,3,0.0,0.0,0.0,0.49,True
T1105,270,Head,236,34,67,44,11,23,0.8,0.6567164179104478,0.7213114754098361,0.49,True
T1106,93,Medium,81,12,23,5,7,18,0.4166666666666667,0.21739130434782608,0.2857142857142857,0.49,True
T1110,56,Medium,49,7,14,8,0,6,1.0,0.5714285714285714,0.7272727272727273,0.49,True
T1111,10,Tail,9,1,3,0,0,3,0.0,0.0,0.0,0.49,True
T1112,91,Medium,80,11,23,7,6,16,0.5384615384615384,0.30434782608695654,0.3888888888888889,0.49,True
T1113,91,Medium,80,11,23,19,0,4,1.0,0.8260869565217391,0.9047619047619047,0.49,True
T1114,41,Medium,36,5,10,4,4,6,0.5,0.4,0.4444444444444445,0.49,True
T1115,25,Medium,22,3,6,2,0,4,1.0,0.3333333333333333,0.5,0.49,True
T1119,38,Medium,33,5,10,0,1,10,0.0,0.0,0.0,0.49,True
T1120,35,Medium,31,4,9,3,3,6,0.5,0.3333333333333333,0.4,0.49,True
T1123,22,Medium,19,3,5,1,0,4,1.0,0.2,0.33333333333333337,0.49,True
T1124,51,Medium,45,6,13,8,2,5,0.8,0.6153846153846154,0.6956521739130435,0.49,True
T1125,22,Medium,19,3,5,2,0,3,1.0,0.4,0.5714285714285715,0.49,True
T1127,10,Tail,9,1,3,0,0,3,0.0,0.0,0.0,0.49,True
T1129,17,Tail,15,2,4,2,1,2,0.6666666666666666,0.5,0.5714285714285715,0.49,True
T1132,75,Medium,66,9,19,12,3,7,0.8,0.631578947368421,0.7058823529411765,0.49,True
T1133,30,Medium,26,4,8,3,1,5,0.75,0.375,0.5,0.49,True
T1134,59,Medium,52,7,15,2,0,13,1.0,0.13333333333333333,0.23529411764705882,0.49,True
T1135,35,Medium,31,4,9,2,3,7,0.4,0.2222222222222222,0.2857142857142857,0.49,True
T1136,31,Medium,27,4,8,3,3,5,0.5,0.375,0.42857142857142855,0.49,True
T1137,43,Medium,38,5,11,5,1,6,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.49,True
T1140,156,Head,136,20,39,20,3,19,0.8695652173913043,0.5128205128205128,0.6451612903225806,0.49,True
T1176,13,Tail,11,2,3,0,1,3,0.0,0.0,0.0,0.49,True
T1185,17,Tail,15,2,4,0,1,4,0.0,0.0,0.0,0.49,True
T1187,14,Tail,12,2,4,0,0,4,0.0,0.0,0.0,0.49,True
T1189,42,Medium,37,5,10,2,0,8,1.0,0.2,0.33333333333333337,0.49,True
T1190,22,Medium,19,3,6,0,0,6,0.0,0.0,0.0,0.49,True
T1195,22,Medium,19,3,6,1,0,5,1.0,0.16666666666666666,0.2857142857142857,0.49,True
T1197,17,Tail,15,2,4,0,0,4,0.0,0.0,0.0,0.49,True
T1199,9,Tail,8,1,2,0,0,2,0.0,0.0,0.0,0.49,True
