Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1001,46,Medium,40,6,11,0,0,11,0.0,0.0,0.0,0.5,True
T1003,271,Head,237,34,68,46,10,22,0.8214285714285714,0.6764705882352942,0.7419354838709677,0.5,True
T1005,178,Head,156,22,44,25,26,19,0.49019607843137253,0.5681818181818182,0.5263157894736843,0.5,True
T1006,4,Tail,3,1,1,0,0,1,0.0,0.0,0.0,0.5,True
T1007,39,Medium,34,5,10,4,4,6,0.5,0.4,0.4444444444444445,0.5,True
T1008,35,Medium,31,4,9,0,2,9,0.0,0.0,0.0,0.5,True
T1010,20,Medium,17,3,5,0,1,5,0.0,0.0,0.0,0.5,True
T1011,6,Tail,5,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1012,101,Head,88,13,25,8,2,17,0.8,0.32,0.45714285714285713,0.5,True
T1014,22,Medium,19,3,5,2,0,3,1.0,0.4,0.5714285714285715,0.5,True
T1016,208,Head,182,26,52,34,12,18,0.7391304347826086,0.6538461538461539,0.693877551020408,0.5,True
T1018,46,Medium,40,6,12,6,0,6,1.0,0.5,0.6666666666666666,0.5,True
T1020,21,Medium,18,3,5,1,2,4,0.3333333333333333,0.2,0.25,0.5,True
T1021,258,Head,226,32,64,27,12,37,0.6923076923076923,0.421875,0.5242718446601942,0.5,True
T1025,21,Medium,18,3,5,2,1,3,0.6666666666666666,0.4,0.5,0.5,True
T1027,1263,Head,1105,158,316,219,84,97,0.7227722772277227,0.6930379746835443,0.7075928917609048,0.5,True
T1029,14,Tail,12,2,4,1,0,3,1.0,0.25,0.4,0.5,True
T1030,10,Tail,9,1,3,0,0,3,0.0,0.0,0.0,0.5,True
T1033,175,Head,153,22,44,26,12,18,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.5,True
T1036,320,Head,280,40,80,40,13,40,0.7547169811320755,0.5,0.6015037593984962,0.5,True
T1037,37,Medium,32,5,9,2,0,7,1.0,0.2222222222222222,0.3636363636363636,0.5,True
T1039,11,Tail,10,1,3,0,0,3,0.0,0.0,0.0,0.5,True
T1040,14,Tail,12,2,4,0,0,4,0.0,0.0,0.0,0.5,True
T1041,189,Head,165,24,47,26,15,21,0.6341463414634146,0.5531914893617021,0.5909090909090909,0.5,True
T1046,36,Medium,31,5,9,2,0,7,1.0,0.2222222222222222,0.3636363636363636,0.5,True
T1047,162,Head,142,20,40,29,6,11,0.8285714285714286,0.725,0.7733333333333333,0.5,True
T1048,42,Medium,37,5,11,1,3,10,0.25,0.09090909090909091,0.13333333333333333,0.5,True
T1049,58,Medium,51,7,14,5,2,9,0.7142857142857143,0.35714285714285715,0.4761904761904762,0.5,True
T1052,12,Tail,10,2,3,0,0,3,0.0,0.0,0.0,0.5,True
T1053,277,Head,242,35,69,49,4,20,0.9245283018867925,0.7101449275362319,0.8032786885245902,0.5,True
T1055,574,Head,502,72,143,113,26,30,0.8129496402877698,0.7902097902097902,0.8014184397163121,0.5,True
T1056,178,Head,156,22,44,34,4,10,0.8947368421052632,0.7727272727272727,0.8292682926829269,0.5,True
T1057,259,Head,227,32,65,40,18,25,0.6896551724137931,0.6153846153846154,0.6504065040650407,0.5,True
T1059,922,Head,807,115,231,151,37,80,0.8031914893617021,0.6536796536796536,0.720763723150358,0.5,True
T1068,42,Medium,37,5,11,6,5,5,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5,True
T1069,52,Medium,45,7,13,6,1,7,0.8571428571428571,0.46153846153846156,0.6,0.5,True
T1070,376,Head,329,47,94,61,13,33,0.8243243243243243,0.648936170212766,0.7261904761904763,0.5,True
T1071,494,Head,432,62,124,98,24,26,0.8032786885245902,0.7903225806451613,0.7967479674796747,0.5,True
T1072,23,Medium,20,3,6,4,1,2,0.8,0.6666666666666666,0.7272727272727272,0.5,True
T1074,118,Head,103,15,29,9,6,20,0.6,0.3103448275862069,0.4090909090909091,0.5,True
T1078,294,Head,257,37,74,44,11,30,0.8,0.5945945945945946,0.682170542635659,0.5,True
T1080,18,Tail,16,2,4,0,0,4,0.0,0.0,0.0,0.5,True
T1082,380,Head,332,48,95,62,17,33,0.7848101265822784,0.6526315789473685,0.7126436781609196,0.5,True
T1083,328,Head,287,41,82,44,20,38,0.6875,0.5365853658536586,0.6027397260273972,0.5,True
T1087,76,Medium,66,10,19,4,9,15,0.3076923076923077,0.21052631578947367,0.25,0.5,True
T1090,290,Head,254,36,73,51,12,22,0.8095238095238095,0.6986301369863014,0.7500000000000001,0.5,True
T1091,20,Medium,17,3,5,1,1,4,0.5,0.2,0.28571428571428575,0.5,True
T1092,5,Tail,4,1,1,0,0,1,0.0,0.0,0.0,0.5,True
T1095,112,Head,98,14,28,14,10,14,0.5833333333333334,0.5,0.5384615384615384,0.5,True
T1098,38,Medium,33,5,10,2,0,8,1.0,0.2,0.33333333333333337,0.5,True
T1102,81,Medium,71,10,20,5,9,15,0.35714285714285715,0.25,0.2941176470588235,0.5,True
T1104,14,Tail,12,2,3,0,2,3,0.0,0.0,0.0,0.5,True
T1105,625,Head,547,78,156,125,78,31,0.6157635467980296,0.8012820512820513,0.6963788300835655,0.5,True
T1106,347,Head,304,43,87,38,19,49,0.6666666666666666,0.4367816091954023,0.5277777777777778,0.5,True
T1110,128,Head,112,16,32,18,10,14,0.6428571428571429,0.5625,0.6000000000000001,0.5,True
T1111,10,Tail,9,1,3,0,0,3,0.0,0.0,0.0,0.5,True
T1112,232,Head,203,29,58,26,14,32,0.65,0.4482758620689655,0.5306122448979592,0.5,True
T1113,134,Head,117,17,33,29,7,4,0.8055555555555556,0.8787878787878788,0.8405797101449276,0.5,True
T1114,41,Medium,36,5,10,3,1,7,0.75,0.3,0.4285714285714285,0.5,True
T1115,25,Medium,22,3,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091,0.5,True
T1119,38,Medium,33,5,10,0,1,10,0.0,0.0,0.0,0.5,True
T1120,35,Medium,31,4,9,1,1,8,0.5,0.1111111111111111,0.1818181818181818,0.5,True
T1123,22,Medium,19,3,5,2,0,3,1.0,0.4,0.5714285714285715,0.5,True
T1124,51,Medium,45,6,13,10,1,3,0.9090909090909091,0.7692307692307693,0.8333333333333333,0.5,True
T1125,22,Medium,19,3,5,0,0,5,0.0,0.0,0.0,0.5,True
T1127,10,Tail,9,1,3,1,0,2,1.0,0.3333333333333333,0.5,0.5,True
T1129,17,Tail,15,2,4,0,0,4,0.0,0.0,0.0,0.5,True
T1132,75,Medium,66,9,19,12,4,7,0.75,0.631578947368421,0.6857142857142857,0.5,True
T1133,30,Medium,26,4,8,1,2,7,0.3333333333333333,0.125,0.18181818181818182,0.5,True
T1134,59,Medium,52,7,15,5,3,10,0.625,0.3333333333333333,0.43478260869565216,0.5,True
T1135,35,Medium,31,4,9,2,1,7,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.5,True
