Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1003,150,Head,131,19,37,28,2,9,0.9333333333333333,0.7567567567567568,0.835820895522388,0.52,True
T1005,89,Medium,78,11,22,10,8,12,0.5555555555555556,0.45454545454545453,0.5,0.52,True
T1012,33,Medium,29,4,8,3,0,5,1.0,0.375,0.5454545454545454,0.52,True
T1016,53,Medium,46,7,13,4,1,9,0.8,0.3076923076923077,0.4444444444444444,0.52,True
T1021,138,Head,121,17,34,26,5,8,0.8387096774193549,0.7647058823529411,0.7999999999999999,0.52,True
T1027,870,Head,761,109,218,151,49,67,0.755,0.6926605504587156,0.722488038277512,0.52,True
T1033,52,Medium,45,7,13,5,7,8,0.4166666666666667,0.38461538461538464,0.4,0.52,True
T1036,101,Head,88,13,25,10,1,15,0.9090909090909091,0.4,0.5555555555555556,0.52,True
T1041,116,Head,101,15,29,10,5,19,0.6666666666666666,0.3448275862068966,0.4545454545454545,0.52,True
T1047,94,Medium,82,12,24,16,1,8,0.9411764705882353,0.6666666666666666,0.7804878048780487,0.52,True
T1053,138,Head,121,17,35,24,1,11,0.96,0.6857142857142857,0.7999999999999999,0.52,True
T1055,379,Head,332,47,95,64,8,31,0.8888888888888888,0.6736842105263158,0.7664670658682634,0.52,True
T1056,63,Medium,55,8,16,5,0,11,1.0,0.3125,0.47619047619047616,0.52,True
T1057,94,Medium,82,12,24,17,3,7,0.85,0.7083333333333334,0.7727272727272727,0.52,True
T1059,372,Head,325,47,93,56,19,37,0.7466666666666667,0.6021505376344086,0.6666666666666667,0.52,True
T1068,13,Tail,11,2,3,2,0,1,1.0,0.6666666666666666,0.8,0.52,True
T1070,104,Head,91,13,26,11,6,15,0.6470588235294118,0.4230769230769231,0.5116279069767442,0.52,True
T1071,203,Head,178,25,51,33,8,18,0.8048780487804879,0.6470588235294118,0.717391304347826,0.52,True
T1072,15,Tail,13,2,4,1,0,3,1.0,0.25,0.4,0.52,True
T1074,39,Medium,34,5,10,5,2,5,0.7142857142857143,0.5,0.588235294117647,0.52,True
T1078,222,Head,194,28,56,20,6,36,0.7692307692307693,0.35714285714285715,0.48780487804878053,0.52,True
T1082,146,Head,128,18,36,17,8,19,0.68,0.4722222222222222,0.5573770491803278,0.52,True
T1083,124,Head,108,16,31,11,2,20,0.8461538461538461,0.3548387096774194,0.5,0.52,True
T1090,191,Head,167,24,48,33,6,15,0.8461538461538461,0.6875,0.7586206896551724,0.52,True
T1095,69,Medium,60,9,17,12,5,5,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.52,True
T1105,355,Head,311,44,89,65,28,24,0.6989247311827957,0.7303370786516854,0.7142857142857143,0.52,True
T1106,254,Head,222,32,64,35,16,29,0.6862745098039216,0.546875,0.6086956521739131,0.52,True
T1110,72,Medium,63,9,18,8,0,10,1.0,0.4444444444444444,0.6153846153846153,0.52,True
T1112,141,Head,123,18,35,24,8,11,0.75,0.6857142857142857,0.7164179104477612,0.52,True
T1113,42,Medium,37,5,11,2,1,9,0.6666666666666666,0.18181818181818182,0.28571428571428575,0.52,True
T1140,548,Head,479,69,137,119,51,18,0.7,0.8686131386861314,0.7752442996742671,0.52,True
T1190,78,Medium,68,10,20,13,3,7,0.8125,0.65,0.7222222222222223,0.52,True
T1204,130,Head,114,16,32,17,4,15,0.8095238095238095,0.53125,0.6415094339622642,0.52,True
T1210,20,Medium,17,3,5,3,1,2,0.75,0.6,0.6666666666666665,0.52,True
T1218,67,Medium,59,8,17,8,4,9,0.6666666666666666,0.47058823529411764,0.5517241379310345,0.52,True
T1219,78,Medium,68,10,19,11,0,8,1.0,0.5789473684210527,0.7333333333333334,0.52,True
T1484,32,Medium,28,4,8,7,0,1,1.0,0.875,0.9333333333333333,0.52,True
T1518,49,Medium,43,6,12,6,0,6,1.0,0.5,0.6666666666666666,0.52,True
T1543,66,Medium,58,8,17,10,3,7,0.7692307692307693,0.5882352941176471,0.6666666666666667,0.52,True
T1547,92,Medium,80,12,23,18,1,5,0.9473684210526315,0.782608695652174,0.8571428571428571,0.52,True
T1548,35,Medium,31,4,9,6,0,3,1.0,0.6666666666666666,0.8,0.52,True
T1552,32,Medium,28,4,8,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.52,True
T1557,8,Tail,7,1,2,0,0,2,0.0,0.0,0.0,0.52,True
T1562,124,Head,108,16,31,17,1,14,0.9444444444444444,0.5483870967741935,0.6938775510204082,0.52,True
T1564,24,Medium,21,3,6,4,0,2,1.0,0.6666666666666666,0.8,0.52,True
T1566,122,Head,107,15,31,19,1,12,0.95,0.6129032258064516,0.7450980392156863,0.52,True
T1569,30,Medium,26,4,8,5,1,3,0.8333333333333334,0.625,0.7142857142857143,0.52,True
T1570,83,Medium,73,10,21,11,1,10,0.9166666666666666,0.5238095238095238,0.6666666666666667,0.52,True
T1573,82,Medium,72,10,21,7,3,14,0.7,0.3333333333333333,0.45161290322580644,0.52,True
T1574,101,Head,88,13,25,15,7,10,0.6818181818181818,0.6,0.6382978723404256,0.52,True
