Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1001,46,Medium,48,6,11,1,1,10,0.5,0.09090909090909091,0.15384615384615385,0.46,True
T1003,122,Head,107,15,30,15,11,15,0.5769230769230769,0.5,0.5357142857142857,0.46,True
T1005,89,Medium,78,11,22,8,1,14,0.8888888888888888,0.36363636363636365,0.5161290322580644,0.46,True
T1006,4,Tail,48,1,1,1,0,0,1.0,1.0,1.0,0.46,True
T1007,39,Medium,48,5,10,5,2,5,0.7142857142857143,0.5,0.588235294117647,0.46,True
T1008,35,Medium,48,4,9,4,0,5,1.0,0.4444444444444444,0.6153846153846153,0.46,True
T1010,20,Medium,48,3,5,3,3,2,0.5,0.6,0.5454545454545454,0.46,True
T1011,6,Tail,48,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.46,True
T1012,68,Medium,59,9,17,8,4,9,0.6666666666666666,0.47058823529411764,0.5517241379310345,0.46,True
T1014,22,Medium,48,3,5,1,0,4,1.0,0.2,0.33333333333333337,0.46,True
T1016,155,Head,136,19,39,27,11,12,0.7105263157894737,0.6923076923076923,0.7012987012987013,0.46,True
T1018,46,Medium,48,6,12,3,4,9,0.42857142857142855,0.25,0.3157894736842105,0.46,True
T1020,21,Medium,48,3,5,0,2,5,0.0,0.0,0.0,0.46,True
T1021,120,Head,105,15,30,7,3,23,0.7,0.23333333333333334,0.35,0.46,True
T1025,21,Medium,48,3,5,1,0,4,1.0,0.2,0.33333333333333337,0.46,True
T1027,393,Head,344,49,98,68,40,30,0.6296296296296297,0.6938775510204082,0.6601941747572815,0.46,True
T1029,14,Tail,48,2,4,0,2,4,0.0,0.0,0.0,0.46,True
T1030,10,Tail,48,1,3,0,1,3,0.0,0.0,0.0,0.46,True
T1033,123,Head,108,15,31,23,6,8,0.7931034482758621,0.7419354838709677,0.7666666666666667,0.46,True
T1036,219,Head,192,27,55,29,9,26,0.7631578947368421,0.5272727272727272,0.6236559139784946,0.46,True
T1037,37,Medium,48,5,9,1,0,8,1.0,0.1111111111111111,0.19999999999999998,0.46,True
T1039,11,Tail,48,1,3,1,4,2,0.2,0.3333333333333333,0.25,0.46,True
T1040,14,Tail,48,2,4,0,1,4,0.0,0.0,0.0,0.46,True
T1041,73,Medium,64,9,18,9,2,9,0.8181818181818182,0.5,0.6206896551724137,0.46,True
T1046,36,Medium,48,5,9,4,3,5,0.5714285714285714,0.4444444444444444,0.5,0.46,True
T1047,67,Medium,59,8,17,9,6,8,0.6,0.5294117647058824,0.5625,0.46,True
T1048,42,Medium,48,5,11,2,4,9,0.3333333333333333,0.18181818181818182,0.23529411764705885,0.46,True
T1049,58,Medium,51,7,14,5,3,9,0.625,0.35714285714285715,0.45454545454545453,0.46,True
T1052,12,Tail,48,2,3,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46,True
T1053,138,Head,121,17,35,25,8,10,0.7575757575757576,0.7142857142857143,0.7352941176470589,0.46,True
T1055,194,Head,170,24,49,30,3,19,0.9090909090909091,0.6122448979591837,0.7317073170731708,0.46,True
T1056,114,Head,100,14,29,21,2,8,0.9130434782608695,0.7241379310344828,0.8076923076923076,0.46,True
T1057,165,Head,144,21,41,32,6,9,0.8421052631578947,0.7804878048780488,0.810126582278481,0.46,True
T1059,550,Head,481,69,138,97,27,41,0.782258064516129,0.7028985507246377,0.7404580152671756,0.46,True
T1068,30,Medium,48,4,7,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.46,True
T1069,52,Medium,48,7,13,6,8,7,0.42857142857142855,0.46153846153846156,0.4444444444444445,0.46,True
T1070,272,Head,238,34,68,46,9,22,0.8363636363636363,0.6764705882352942,0.7479674796747968,0.46,True
T1071,291,Head,255,36,73,59,7,14,0.8939393939393939,0.8082191780821918,0.8489208633093526,0.46,True
T1072,8,Tail,48,1,2,0,0,2,0.0,0.0,0.0,0.46,True
T1074,78,Medium,68,10,20,7,4,13,0.6363636363636364,0.35,0.45161290322580644,0.46,True
T1078,72,Medium,63,9,18,12,2,6,0.8571428571428571,0.6666666666666666,0.75,0.46,True
T1080,18,Tail,48,2,4,1,3,3,0.25,0.25,0.25,0.46,True
T1082,234,Head,205,29,59,45,14,14,0.7627118644067796,0.7627118644067796,0.7627118644067796,0.46,True
T1083,204,Head,178,26,51,25,14,26,0.6410256410256411,0.49019607843137253,0.5555555555555556,0.46,True
T1087,76,Medium,66,10,19,3,6,16,0.3333333333333333,0.15789473684210525,0.21428571428571427,0.46,True
T1090,99,Medium,87,12,25,15,9,10,0.625,0.6,0.6122448979591836,0.46,True
T1091,20,Medium,48,3,5,0,0,5,0.0,0.0,0.0,0.46,True
T1092,5,Tail,48,1,1,0,2,1,0.0,0.0,0.0,0.46,True
T1095,43,Medium,48,5,11,5,1,6,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.46,True
T1098,38,Medium,48,5,10,1,1,9,0.5,0.1,0.16666666666666669,0.46,True
T1102,81,Medium,71,10,20,7,10,13,0.4117647058823529,0.35,0.37837837837837834,0.46,True
T1104,14,Tail,48,2,3,0,0,3,0.0,0.0,0.0,0.46,True
T1105,270,Head,236,34,67,43,8,24,0.8431372549019608,0.6417910447761194,0.7288135593220338,0.46,True
T1106,93,Medium,81,12,23,8,8,15,0.5,0.34782608695652173,0.41025641025641024,0.46,True
T1110,56,Medium,49,7,14,9,4,5,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.46,True
T1111,10,Tail,48,1,3,0,0,3,0.0,0.0,0.0,0.46,True
T1112,91,Medium,80,11,23,6,9,17,0.4,0.2608695652173913,0.31578947368421056,0.46,True
T1113,91,Medium,80,11,23,19,1,4,0.95,0.8260869565217391,0.8837209302325583,0.46,True
T1114,41,Medium,48,5,10,3,3,7,0.5,0.3,0.37499999999999994,0.46,True
T1115,25,Medium,48,3,6,4,0,2,1.0,0.6666666666666666,0.8,0.46,True
T1119,38,Medium,48,5,10,0,4,10,0.0,0.0,0.0,0.46,True
T1120,35,Medium,48,4,9,3,4,6,0.42857142857142855,0.3333333333333333,0.375,0.46,True
T1123,22,Medium,48,3,5,2,1,3,0.6666666666666666,0.4,0.5,0.46,True
T1124,51,Medium,48,6,13,9,3,4,0.75,0.6923076923076923,0.7199999999999999,0.46,True
T1125,22,Medium,48,3,5,2,0,3,1.0,0.4,0.5714285714285715,0.46,True
T1127,10,Tail,48,1,3,0,0,3,0.0,0.0,0.0,0.46,True
T1129,17,Tail,48,2,4,2,2,2,0.5,0.5,0.5,0.46,True
T1132,75,Medium,66,9,19,8,0,11,1.0,0.42105263157894735,0.5925925925925926,0.46,True
T1133,30,Medium,48,4,8,5,7,3,0.4166666666666667,0.625,0.5,0.46,True
T1134,59,Medium,52,7,15,3,0,12,1.0,0.2,0.33333333333333337,0.46,True
T1135,35,Medium,48,4,9,6,1,3,0.8571428571428571,0.6666666666666666,0.75,0.46,True
T1136,31,Medium,48,4,8,5,9,3,0.35714285714285715,0.625,0.45454545454545453,0.46,True
T1137,43,Medium,48,5,11,6,2,5,0.75,0.5454545454545454,0.631578947368421,0.46,True
