Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1001,46,Medium,78,6,11,0,3,11,0.0,0.0,0.0,0.49,True
T1003,271,Head,237,34,68,34,10,34,0.7727272727272727,0.5,0.6071428571428571,0.49,True
T1005,178,Head,156,22,44,23,13,21,0.6388888888888888,0.5227272727272727,0.575,0.49,True
T1006,4,Tail,78,1,1,1,1,0,0.5,1.0,0.6666666666666666,0.49,True
T1007,39,Medium,78,5,10,6,4,4,0.6,0.6,0.6,0.49,True
T1008,35,Medium,78,4,9,0,4,9,0.0,0.0,0.0,0.49,True
T1010,20,Medium,78,3,5,2,1,3,0.6666666666666666,0.4,0.5,0.49,True
T1011,6,Tail,78,1,2,0,0,2,0.0,0.0,0.0,0.49,True
T1012,101,Head,88,13,25,4,1,21,0.8,0.16,0.26666666666666666,0.49,True
T1014,22,Medium,78,3,5,2,1,3,0.6666666666666666,0.4,0.5,0.49,True
T1016,208,Head,182,26,52,30,7,22,0.8108108108108109,0.5769230769230769,0.6741573033707865,0.49,True
T1018,46,Medium,78,6,12,6,3,6,0.6666666666666666,0.5,0.5714285714285715,0.49,True
T1020,21,Medium,78,3,5,1,4,4,0.2,0.2,0.20000000000000004,0.49,True
T1021,258,Head,226,32,64,30,12,34,0.7142857142857143,0.46875,0.5660377358490566,0.49,True
T1025,21,Medium,78,3,5,1,2,4,0.3333333333333333,0.2,0.25,0.49,True
T1027,1263,Head,1110,158,316,221,167,95,0.5695876288659794,0.6993670886075949,0.6278409090909091,0.49,True
T1029,14,Tail,78,2,4,1,0,3,1.0,0.25,0.4,0.49,True
T1030,10,Tail,78,1,3,2,0,1,1.0,0.6666666666666666,0.8,0.49,True
T1033,175,Head,153,22,44,26,12,18,0.6842105263157895,0.5909090909090909,0.6341463414634148,0.49,True
T1036,320,Head,280,40,80,43,27,37,0.6142857142857143,0.5375,0.5733333333333333,0.49,True
T1037,37,Medium,78,5,9,3,2,6,0.6,0.3333333333333333,0.42857142857142855,0.49,True
T1039,11,Tail,78,1,3,0,5,3,0.0,0.0,0.0,0.49,True
T1040,14,Tail,78,2,4,0,2,4,0.0,0.0,0.0,0.49,True
T1041,189,Head,165,24,47,23,6,24,0.7931034482758621,0.48936170212765956,0.6052631578947368,0.49,True
T1046,36,Medium,78,5,9,1,1,8,0.5,0.1111111111111111,0.1818181818181818,0.49,True
T1047,162,Head,142,20,40,31,6,9,0.8378378378378378,0.775,0.8051948051948051,0.49,True
T1048,42,Medium,78,5,11,1,4,10,0.2,0.09090909090909091,0.12500000000000003,0.49,True
T1049,58,Medium,78,7,14,5,1,9,0.8333333333333334,0.35714285714285715,0.5,0.49,True
T1052,12,Tail,78,2,3,1,3,2,0.25,0.3333333333333333,0.28571428571428575,0.49,True
T1053,277,Head,243,35,69,50,5,19,0.9090909090909091,0.7246376811594203,0.8064516129032259,0.49,True
T1055,574,Head,502,72,143,99,28,44,0.7795275590551181,0.6923076923076923,0.7333333333333334,0.49,True
T1056,178,Head,156,22,44,26,0,18,1.0,0.5909090909090909,0.7428571428571429,0.49,True
T1057,259,Head,227,32,65,41,12,24,0.7735849056603774,0.6307692307692307,0.6949152542372882,0.49,True
T1059,922,Head,808,115,231,146,74,85,0.6636363636363637,0.6320346320346321,0.6474501108647451,0.49,True
T1068,42,Medium,78,5,11,6,3,5,0.6666666666666666,0.5454545454545454,0.6,0.49,True
T1069,52,Medium,78,7,13,6,2,7,0.75,0.46153846153846156,0.5714285714285714,0.49,True
T1070,376,Head,329,47,94,52,8,42,0.8666666666666667,0.5531914893617021,0.6753246753246753,0.49,True
T1071,494,Head,432,62,124,99,25,25,0.7983870967741935,0.7983870967741935,0.7983870967741935,0.49,True
T1072,23,Medium,78,3,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091,0.49,True
T1074,118,Head,103,15,29,5,3,24,0.625,0.1724137931034483,0.2702702702702703,0.49,True
T1078,294,Head,263,37,74,33,1,41,0.9705882352941176,0.44594594594594594,0.6111111111111112,0.49,True
T1080,18,Tail,78,2,4,0,0,4,0.0,0.0,0.0,0.49,True
T1082,380,Head,332,48,95,54,9,41,0.8571428571428571,0.5684210526315789,0.6835443037974683,0.49,True
T1083,328,Head,287,41,82,47,22,35,0.6811594202898551,0.573170731707317,0.6225165562913908,0.49,True
T1087,76,Medium,78,10,19,3,3,16,0.5,0.15789473684210525,0.23999999999999996,0.49,True
T1090,290,Head,254,36,73,31,5,42,0.8611111111111112,0.4246575342465753,0.5688073394495413,0.49,True
T1091,20,Medium,78,3,5,1,1,4,0.5,0.2,0.28571428571428575,0.49,True
T1092,5,Tail,78,1,1,0,0,1,0.0,0.0,0.0,0.49,True
