Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1003,150,Head,134,19,37,29,1,8,0.9666666666666667,0.7837837837837838,0.8656716417910447,0.5,True
T1005,89,Medium,115,11,22,5,4,17,0.5555555555555556,0.22727272727272727,0.3225806451612903,0.5,True
T1012,33,Medium,116,4,8,5,3,3,0.625,0.625,0.625,0.5,True
T1016,53,Medium,115,7,13,9,2,4,0.8181818181818182,0.6923076923076923,0.7500000000000001,0.5,True
T1021,138,Head,128,17,34,23,4,11,0.8518518518518519,0.6764705882352942,0.7540983606557378,0.5,True
T1027,870,Head,791,109,218,152,46,66,0.7676767676767676,0.6972477064220184,0.7307692307692308,0.5,True
T1033,52,Medium,118,7,13,7,6,6,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5,True
T1036,101,Head,114,13,25,10,0,15,1.0,0.4,0.5714285714285715,0.5,True
T1041,116,Head,114,15,29,11,9,18,0.55,0.3793103448275862,0.4489795918367347,0.5,True
T1047,94,Medium,114,12,24,17,3,7,0.85,0.7083333333333334,0.7727272727272727,0.5,True
T1053,138,Head,125,17,35,28,1,7,0.9655172413793104,0.8,0.8750000000000001,0.5,True
T1055,379,Head,340,47,95,75,13,20,0.8522727272727273,0.7894736842105263,0.819672131147541,0.5,True
T1056,63,Medium,115,8,16,6,2,10,0.75,0.375,0.5,0.5,True
T1057,94,Medium,114,12,24,17,5,7,0.7727272727272727,0.7083333333333334,0.7391304347826088,0.5,True
T1059,372,Head,363,47,93,52,18,41,0.7428571428571429,0.5591397849462365,0.6380368098159509,0.5,True
T1068,13,Tail,114,2,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,True
T1070,104,Head,114,13,26,15,3,11,0.8333333333333334,0.5769230769230769,0.6818181818181818,0.5,True
T1071,203,Head,184,25,51,32,6,19,0.8421052631578947,0.6274509803921569,0.7191011235955056,0.5,True
T1072,15,Tail,114,2,4,2,0,2,1.0,0.5,0.6666666666666666,0.5,True
T1074,39,Medium,119,5,10,5,0,5,1.0,0.5,0.6666666666666666,0.5,True
T1078,222,Head,217,28,56,26,8,30,0.7647058823529411,0.4642857142857143,0.5777777777777777,0.5,True
T1082,146,Head,173,18,36,19,5,17,0.7916666666666666,0.5277777777777778,0.6333333333333333,0.5,True
T1083,124,Head,120,16,31,13,5,18,0.7222222222222222,0.41935483870967744,0.5306122448979592,0.5,True
T1090,191,Head,167,24,48,30,6,18,0.8333333333333334,0.625,0.7142857142857143,0.5,True
T1095,69,Medium,114,9,17,12,3,5,0.8,0.7058823529411765,0.7500000000000001,0.5,True
T1105,355,Head,324,44,89,62,20,27,0.7560975609756098,0.6966292134831461,0.7251461988304092,0.5,True
T1106,254,Head,244,32,64,35,21,29,0.625,0.546875,0.5833333333333334,0.5,True
T1110,72,Medium,116,9,18,8,1,10,0.8888888888888888,0.4444444444444444,0.5925925925925926,0.5,True
T1112,141,Head,131,18,35,21,4,14,0.84,0.6,0.7000000000000001,0.5,True
T1113,42,Medium,118,5,11,4,1,7,0.8,0.36363636363636365,0.5000000000000001,0.5,True
T1140,548,Head,485,69,137,111,27,26,0.8043478260869565,0.8102189781021898,0.8072727272727274,0.5,True
T1190,78,Medium,114,10,20,12,1,8,0.9230769230769231,0.6,0.7272727272727274,0.5,True
T1204,130,Head,118,16,32,17,5,15,0.7727272727272727,0.53125,0.6296296296296297,0.5,True
T1210,20,Medium,114,3,5,3,5,2,0.375,0.6,0.4615384615384615,0.5,True
T1218,67,Medium,114,8,17,10,4,7,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.5,True
T1219,78,Medium,116,10,19,10,1,9,0.9090909090909091,0.5263157894736842,0.6666666666666666,0.5,True
T1484,32,Medium,114,4,8,7,1,1,0.875,0.875,0.875,0.5,True
T1518,49,Medium,114,6,12,9,2,3,0.8181818181818182,0.75,0.7826086956521738,0.5,True
T1543,66,Medium,117,8,17,11,4,6,0.7333333333333333,0.6470588235294118,0.6875,0.5,True
T1547,92,Medium,114,12,23,18,3,5,0.8571428571428571,0.782608695652174,0.8181818181818182,0.5,True
T1548,35,Medium,114,4,9,7,3,2,0.7,0.7777777777777778,0.7368421052631577,0.5,True
T1552,32,Medium,114,4,8,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.5,True
T1557,8,Tail,114,1,2,0,0,2,0.0,0.0,0.0,0.5,True
T1562,124,Head,126,16,31,17,1,14,0.9444444444444444,0.5483870967741935,0.6938775510204082,0.5,True
T1564,24,Medium,117,3,6,5,4,1,0.5555555555555556,0.8333333333333334,0.6666666666666667,0.5,True
T1566,122,Head,114,15,31,21,4,10,0.84,0.6774193548387096,0.75,0.5,True
T1569,30,Medium,115,4,8,3,3,5,0.5,0.375,0.42857142857142855,0.5,True
T1570,83,Medium,114,10,21,10,0,11,1.0,0.47619047619047616,0.6451612903225806,0.5,True
T1573,82,Medium,115,10,21,8,5,13,0.6153846153846154,0.38095238095238093,0.47058823529411764,0.5,True
T1574,101,Head,114,13,25,19,5,6,0.7916666666666666,0.76,0.7755102040816326,0.5,True
