Technique_ID,Original_Train_Support,Frequency_Group,Validation_Support,Optimal_Threshold,Validation_F2,Fallback_Used
T1001,46,Medium,6,0.21,0.19607843137254902,False
T1003,122,Head,15,0.46,0.0,True
T1005,89,Medium,11,0.47,0.6730769230769231,False
T1006,4,Tail,1,0.46,0.0,True
T1007,39,Medium,5,0.28,0.78125,False
T1008,35,Medium,4,0.46,0.0,True
T1010,20,Medium,3,0.46,0.0,True
T1011,6,Tail,1,0.46,0.0,True
T1012,68,Medium,9,0.36,0.7843137254901961,False
T1014,22,Medium,3,0.46,0.0,True
T1016,155,Head,19,0.46,0.0,True
T1018,46,Medium,6,0.51,0.38461538461538464,False
T1020,21,Medium,3,0.46,0.0,True
T1021,120,Head,15,0.46,0.0,True
T1025,21,Medium,3,0.46,0.0,True
T1027,393,Head,49,0.46,0.0,True
T1029,14,Tail,2,0.46,0.0,True
T1030,10,Tail,1,0.46,0.0,True
T1033,123,Head,15,0.46,0.0,True
T1036,219,Head,27,0.46,0.0,True
T1037,37,Medium,5,0.37,0.22727272727272727,False
T1039,11,Tail,1,0.46,0.0,True
T1040,14,Tail,2,0.46,0.0,True
T1041,73,Medium,9,0.3,0.6,False
T1046,36,Medium,5,0.21,0.5,False
T1047,67,Medium,8,0.49,0.5405405405405406,False
T1048,42,Medium,5,0.33,0.5172413793103449,False
T1049,58,Medium,7,0.32,0.8333333333333334,False
T1052,12,Tail,2,0.46,0.0,True
T1053,138,Head,17,0.46,0.0,True
T1055,194,Head,24,0.46,0.0,True
T1056,114,Head,14,0.46,0.0,True
T1057,165,Head,21,0.46,0.0,True
T1059,550,Head,69,0.46,0.0,True
T1068,30,Medium,4,0.46,0.0,True
T1069,52,Medium,7,0.49,0.6060606060606061,False
T1070,272,Head,34,0.46,0.0,True
T1071,291,Head,36,0.46,0.0,True
T1072,8,Tail,1,0.46,0.0,True
T1074,78,Medium,10,0.18,0.25252525252525254,False
T1078,72,Medium,9,0.54,0.6976744186046512,False
T1080,18,Tail,2,0.46,0.0,True
T1082,234,Head,29,0.46,0.0,True
T1083,204,Head,26,0.46,0.0,True
T1087,76,Medium,10,0.28,0.6363636363636364,False
T1090,99,Medium,12,0.29,0.7246376811594203,False
T1091,20,Medium,3,0.46,0.0,True
T1092,5,Tail,1,0.46,0.0,True
T1095,43,Medium,5,0.35,0.7407407407407407,False
T1098,38,Medium,5,0.3,0.4166666666666667,False
T1102,81,Medium,10,0.39,0.4166666666666667,False
T1104,14,Tail,2,0.46,0.0,True
T1105,270,Head,34,0.46,0.0,True
T1106,93,Medium,12,0.29,0.45454545454545453,False
T1110,56,Medium,7,0.25,0.6382978723404256,False
T1111,10,Tail,1,0.46,0.0,True
T1112,91,Medium,11,0.41,0.5737704918032787,False
T1113,91,Medium,11,0.33,0.9259259259259259,False
T1114,41,Medium,5,0.37,0.43478260869565216,False
T1115,25,Medium,3,0.46,0.0,True
T1119,38,Medium,5,0.3,0.35714285714285715,False
T1120,35,Medium,4,0.46,0.0,True
T1123,22,Medium,3,0.46,0.0,True
T1124,51,Medium,6,0.36,1.0,False
T1125,22,Medium,3,0.46,0.0,True
T1127,10,Tail,1,0.46,0.0,True
T1129,17,Tail,2,0.46,0.0,True
T1132,75,Medium,9,0.19,0.5384615384615384,False
T1133,30,Medium,4,0.46,0.0,True
T1134,59,Medium,7,0.36,0.7575757575757576,False
T1135,35,Medium,4,0.46,0.0,True
T1136,31,Medium,4,0.46,0.0,True
T1137,43,Medium,5,0.44,0.43478260869565216,False
T1140,156,Head,20,0.46,0.0,True
T1176,13,Tail,2,0.46,0.0,True
T1185,17,Tail,2,0.46,0.0,True
T1187,14,Tail,2,0.46,0.0,True
T1189,42,Medium,5,0.42,0.6521739130434783,False
T1190,22,Medium,3,0.46,0.0,True
T1195,22,Medium,3,0.46,0.0,True
T1197,17,Tail,2,0.46,0.0,True
T1199,9,Tail,1,0.46,0.0,True
T1200,3,Tail,0,0.46,0.0,True
T1201,8,Tail,1,0.46,0.0,True
T1202,4,Tail,1,0.46,0.0,True
