Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1001,46,Medium,48,6,11,2,78,9,0.025,0.18181818181818182,0.04395604395604396,0.21,False
T1003,122,Head,107,15,30,15,7,15,0.6818181818181818,0.5,0.576923076923077,0.46,True
T1005,89,Medium,78,11,22,9,3,13,0.75,0.4090909090909091,0.5294117647058824,0.47,False
T1006,4,Tail,48,1,1,1,0,0,1.0,1.0,1.0,0.46,True
T1007,39,Medium,48,5,10,5,24,5,0.1724137931034483,0.5,0.25641025641025644,0.28,False
T1008,35,Medium,48,4,9,5,1,4,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.46,True
T1010,20,Medium,48,3,5,2,1,3,0.6666666666666666,0.4,0.5,0.46,True
T1011,6,Tail,48,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.46,True
T1012,68,Medium,59,9,17,8,10,9,0.4444444444444444,0.47058823529411764,0.45714285714285713,0.36,False
T1014,22,Medium,48,3,5,1,0,4,1.0,0.2,0.33333333333333337,0.46,True
T1016,155,Head,136,19,39,27,8,12,0.7714285714285715,0.6923076923076923,0.7297297297297296,0.46,True
T1018,46,Medium,48,6,12,1,2,11,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.51,False
T1020,21,Medium,48,3,5,0,2,5,0.0,0.0,0.0,0.46,True
T1021,120,Head,105,15,30,15,9,15,0.625,0.5,0.5555555555555556,0.46,True
T1025,21,Medium,48,3,5,1,0,4,1.0,0.2,0.33333333333333337,0.46,True
T1027,393,Head,344,49,98,68,33,30,0.6732673267326733,0.6938775510204082,0.6834170854271358,0.46,True
T1029,14,Tail,48,2,4,0,2,4,0.0,0.0,0.0,0.46,True
T1030,10,Tail,48,1,3,0,0,3,0.0,0.0,0.0,0.46,True
T1033,123,Head,108,15,31,25,6,6,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.46,True
T1036,219,Head,192,27,55,28,7,27,0.8,0.509090909090909,0.6222222222222221,0.46,True
T1037,37,Medium,48,5,9,1,3,8,0.25,0.1111111111111111,0.15384615384615383,0.37,False
T1039,11,Tail,48,1,3,1,4,2,0.2,0.3333333333333333,0.25,0.46,True
T1040,14,Tail,48,2,4,0,1,4,0.0,0.0,0.0,0.46,True
T1041,73,Medium,64,9,18,12,26,6,0.3157894736842105,0.6666666666666666,0.42857142857142855,0.3,False
T1046,36,Medium,48,5,9,6,57,3,0.09523809523809523,0.6666666666666666,0.16666666666666666,0.21,False
T1047,67,Medium,59,8,17,9,6,8,0.6,0.5294117647058824,0.5625,0.49,False
T1048,42,Medium,48,5,11,2,14,9,0.125,0.18181818181818182,0.14814814814814814,0.33,False
T1049,58,Medium,51,7,14,5,10,9,0.3333333333333333,0.35714285714285715,0.3448275862068965,0.32,False
T1052,12,Tail,48,2,3,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46,True
T1053,138,Head,121,17,35,25,9,10,0.7352941176470589,0.7142857142857143,0.7246376811594202,0.46,True
T1055,194,Head,170,24,49,33,4,16,0.8918918918918919,0.673469387755102,0.7674418604651163,0.46,True
T1056,114,Head,100,14,29,21,3,8,0.875,0.7241379310344828,0.7924528301886793,0.46,True
T1057,165,Head,144,21,41,33,7,8,0.825,0.8048780487804879,0.8148148148148149,0.46,True
T1059,550,Head,481,69,138,98,29,40,0.7716535433070866,0.7101449275362319,0.739622641509434,0.46,True
T1068,30,Medium,48,4,7,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.46,True
T1069,52,Medium,48,7,13,4,2,9,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.49,False
T1070,272,Head,238,34,68,42,5,26,0.8936170212765957,0.6176470588235294,0.7304347826086957,0.46,True
T1071,291,Head,255,36,73,61,11,12,0.8472222222222222,0.8356164383561644,0.8413793103448277,0.46,True
T1072,8,Tail,48,1,2,0,0,2,0.0,0.0,0.0,0.46,True
T1074,78,Medium,68,10,20,13,97,7,0.11818181818181818,0.65,0.19999999999999998,0.18,False
T1078,72,Medium,63,9,18,10,2,8,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.54,False
T1080,18,Tail,48,2,4,1,2,3,0.3333333333333333,0.25,0.28571428571428575,0.46,True
T1082,234,Head,205,29,59,48,14,11,0.7741935483870968,0.8135593220338984,0.7933884297520662,0.46,True
T1083,204,Head,178,26,51,27,14,24,0.6585365853658537,0.5294117647058824,0.5869565217391304,0.46,True
