Technique_ID,Original_Train_Support,Frequency_Group,Validation_Support,Optimal_Threshold,Validation_F2,Fallback_Used
T1001,46,Medium,6,0.39,0.16666666666666666,False
T1003,271,Head,34,0.49,0.0,True
T1005,178,Head,22,0.49,0.0,True
T1006,4,Tail,1,0.49,0.0,True
T1007,39,Medium,5,0.4,0.625,False
T1008,35,Medium,4,0.49,0.0,True
T1010,20,Medium,3,0.49,0.0,True
T1011,6,Tail,1,0.49,0.0,True
T1012,101,Head,13,0.49,0.0,True
T1014,22,Medium,3,0.49,0.0,True
T1016,208,Head,26,0.49,0.0,True
T1018,46,Medium,6,0.46,0.5555555555555556,False
T1020,21,Medium,3,0.49,0.0,True
T1021,258,Head,32,0.49,0.0,True
T1025,21,Medium,3,0.49,0.0,True
T1027,1263,Head,158,0.49,0.0,True
T1029,14,Tail,2,0.49,0.0,True
T1030,10,Tail,1,0.49,0.0,True
T1033,175,Head,22,0.49,0.0,True
T1036,320,Head,40,0.49,0.0,True
T1037,37,Medium,5,0.41,0.8,False
T1039,11,Tail,1,0.49,0.0,True
T1040,14,Tail,2,0.49,0.0,True
T1041,189,Head,24,0.49,0.0,True
T1046,36,Medium,5,0.42,0.43478260869565216,False
T1047,162,Head,20,0.49,0.0,True
T1048,42,Medium,5,0.26,0.1388888888888889,False
T1049,58,Medium,7,0.43,0.46875,False
T1052,12,Tail,2,0.49,0.0,True
T1053,277,Head,35,0.49,0.0,True
T1055,574,Head,72,0.49,0.0,True
T1056,178,Head,22,0.49,0.0,True
T1057,259,Head,32,0.49,0.0,True
T1059,922,Head,115,0.49,0.0,True
T1068,42,Medium,5,0.52,0.8333333333333334,False
T1069,52,Medium,7,0.4,0.7142857142857143,False
T1070,376,Head,47,0.49,0.0,True
T1071,494,Head,62,0.49,0.0,True
T1072,23,Medium,3,0.49,0.0,True
T1074,118,Head,15,0.49,0.0,True
T1078,294,Head,37,0.49,0.0,True
T1080,18,Tail,2,0.49,0.0,True
T1082,380,Head,48,0.49,0.0,True
T1083,328,Head,41,0.49,0.0,True
T1087,76,Medium,10,0.35,0.36764705882352944,False
T1090,290,Head,36,0.49,0.0,True
T1091,20,Medium,3,0.49,0.0,True
T1092,5,Tail,1,0.49,0.0,True
T1095,112,Head,14,0.49,0.0,True
T1098,38,Medium,5,0.38,0.5357142857142857,False
T1102,81,Medium,10,0.36,0.5084745762711864,False
T1104,14,Tail,2,0.49,0.0,True
T1105,625,Head,78,0.49,0.0,True
T1106,347,Head,43,0.49,0.0,True
T1110,128,Head,16,0.49,0.0,True
T1111,10,Tail,1,0.49,0.0,True
T1112,232,Head,29,0.49,0.0,True
T1113,134,Head,17,0.49,0.0,True
T1114,41,Medium,5,0.38,0.38461538461538464,False
T1115,25,Medium,3,0.49,0.0,True
T1119,38,Medium,5,0.05,0.02620545073375262,False
T1120,35,Medium,4,0.49,0.0,True
T1123,22,Medium,3,0.49,0.0,True
T1124,51,Medium,6,0.45,0.9375,False
T1125,22,Medium,3,0.49,0.0,True
T1127,10,Tail,1,0.49,0.0,True
T1129,17,Tail,2,0.49,0.0,True
T1132,75,Medium,9,0.49,0.5813953488372093,False
T1133,30,Medium,4,0.49,0.0,True
T1134,59,Medium,7,0.31,0.19607843137254902,False
T1135,35,Medium,4,0.49,0.0,True
T1136,31,Medium,4,0.49,0.0,True
T1137,43,Medium,5,0.48,0.45454545454545453,False
T1140,704,Head,88,0.49,0.0,True
T1176,13,Tail,2,0.49,0.0,True
T1185,17,Tail,2,0.49,0.0,True
T1187,14,Tail,2,0.49,0.0,True
T1189,42,Medium,5,0.44,0.45454545454545453,False
T1190,101,Head,13,0.49,0.0,True
T1195,22,Medium,3,0.49,0.0,True
T1197,17,Tail,2,0.49,0.0,True
T1199,9,Tail,1,0.49,0.0,True
T1200,3,Tail,0,0.49,0.0,True
T1201,8,Tail,1,0.49,0.0,True
T1202,4,Tail,1,0.49,0.0,True
T1203,50,Medium,6,0.4,0.6451612903225806,False
T1204,279,Head,35,0.49,0.0,True
T1205,23,Medium,3,0.49,0.0,True
T1207,6,Tail,1,0.49,0.0,True
T1210,38,Medium,5,0.48,0.6521739130434783,False
T1211,5,Tail,1,0.49,0.0,True
T1212,4,Tail,1,0.49,0.0,True
T1213,19,Tail,2,0.49,0.0,True
T1216,11,Tail,1,0.49,0.0,True
T1217,9,Tail,1,0.49,0.0,True
T1218,257,Head,32,0.49,0.0,True
T1219,98,Medium,12,0.37,0.6349206349206349,False
T1220,12,Tail,2,0.49,0.0,True
T1221,15,Tail,2,0.49,0.0,True
T1222,29,Medium,4,0.49,0.0,True
T1480,27,Medium,3,0.49,0.0,True
T1482,12,Tail,2,0.49,0.0,True
T1484,56,Medium,7,0.45,0.7352941176470589,False
T1485,19,Tail,2,0.49,0.0,True
T1486,42,Medium,5,0.39,0.5769230769230769,False
T1489,25,Medium,3,0.49,0.0,True
T1490,22,Medium,3,0.49,0.0,True
T1491,10,Tail,1,0.49,0.0,True
T1495,4,Tail,1,0.49,0.0,True
T1496,14,Tail,2,0.49,0.0,True
T1497,96,Medium,12,0.45,0.2830188679245283,False
T1498,26,Medium,3,0.49,0.0,True
T1499,39,Medium,5,0.45,0.19230769230769232,False
T1505,55,Medium,7,0.51,0.4838709677419355,False
T1518,146,Head,18,0.49,0.0,True
T1525,5,Tail,1,0.49,0.0,True
T1526,5,Tail,1,0.49,0.0,True
T1528,10,Tail,1,0.49,0.0,True
T1529,13,Tail,2,0.49,0.0,True
T1530,7,Tail,1,0.49,0.0,True
T1531,4,Tail,1,0.49,0.0,True
T1534,8,Tail,1,0.49,0.0,True
T1535,6,Tail,1,0.49,0.0,True
T1537,3,Tail,0,0.49,0.0,True
T1538,3,Tail,0,0.49,0.0,True
T1539,14,Tail,2,0.49,0.0,True
T1542,33,Medium,4,0.49,0.0,True
T1543,207,Head,26,0.49,0.0,True
T1546,139,Head,17,0.49,0.0,True
T1547,386,Head,48,0.49,0.0,True
T1548,105,Head,13,0.49,0.0,True
T1550,50,Medium,6,0.42,0.35714285714285715,False
T1552,98,Medium,12,0.28,0.35,False
T1553,112,Head,14,0.49,0.0,True
T1554,13,Tail,2,0.49,0.0,True
T1555,113,Head,14,0.49,0.0,True
T1556,34,Medium,4,0.49,0.0,True
T1557,35,Medium,4,0.49,0.0,True
T1558,42,Medium,5,0.43,0.5769230769230769,False
T1559,38,Medium,5,0.44,0.45454545454545453,False
T1560,112,Head,14,0.49,0.0,True
T1561,25,Medium,3,0.49,0.0,True
T1562,263,Head,33,0.49,0.0,True
T1563,18,Tail,2,0.49,0.0,True
T1564,160,Head,20,0.49,0.0,True
T1565,18,Tail,2,0.49,0.0,True
T1566,277,Head,35,0.49,0.0,True
T1567,22,Medium,3,0.49,0.0,True
T1568,44,Medium,6,0.34,0.7575757575757576,False
T1569,78,Medium,10,0.37,0.38461538461538464,False
T1570,99,Medium,12,0.57,0.7758620689655172,False
