Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1001,46,Medium,78,6,11,0,15,11,0.0,0.0,0.0,0.39,False
T1003,271,Head,237,34,68,41,14,27,0.7454545454545455,0.6029411764705882,0.6666666666666666,0.49,True
T1005,178,Head,156,22,44,23,10,21,0.696969696969697,0.5227272727272727,0.5974025974025974,0.49,True
T1006,4,Tail,78,1,1,1,1,0,0.5,1.0,0.6666666666666666,0.49,True
T1007,39,Medium,78,5,10,7,6,3,0.5384615384615384,0.7,0.608695652173913,0.4,False
T1008,35,Medium,78,4,9,0,3,9,0.0,0.0,0.0,0.49,True
T1010,20,Medium,78,3,5,0,1,5,0.0,0.0,0.0,0.49,True
T1011,6,Tail,78,1,2,0,0,2,0.0,0.0,0.0,0.49,True
T1012,101,Head,88,13,25,13,9,12,0.5909090909090909,0.52,0.5531914893617023,0.49,True
T1014,22,Medium,78,3,5,2,1,3,0.6666666666666666,0.4,0.5,0.49,True
T1016,208,Head,182,26,52,31,10,21,0.7560975609756098,0.5961538461538461,0.6666666666666667,0.49,True
T1018,46,Medium,78,6,12,7,3,5,0.7,0.5833333333333334,0.6363636363636365,0.46,False
T1020,21,Medium,78,3,5,1,3,4,0.25,0.2,0.22222222222222224,0.49,True
T1021,258,Head,226,32,64,31,15,33,0.6739130434782609,0.484375,0.5636363636363637,0.49,True
T1025,21,Medium,78,3,5,1,1,4,0.5,0.2,0.28571428571428575,0.49,True
T1027,1263,Head,1110,158,316,215,117,101,0.6475903614457831,0.680379746835443,0.6635802469135802,0.49,True
T1029,14,Tail,78,2,4,1,0,3,1.0,0.25,0.4,0.49,True
T1030,10,Tail,78,1,3,0,0,3,0.0,0.0,0.0,0.49,True
T1033,175,Head,153,22,44,27,12,17,0.6923076923076923,0.6136363636363636,0.6506024096385543,0.49,True
T1036,320,Head,280,40,80,40,18,40,0.6896551724137931,0.5,0.5797101449275363,0.49,True
T1037,37,Medium,78,5,9,3,7,6,0.3,0.3333333333333333,0.3157894736842105,0.41,False
T1039,11,Tail,78,1,3,0,2,3,0.0,0.0,0.0,0.49,True
T1040,14,Tail,78,2,4,0,2,4,0.0,0.0,0.0,0.49,True
T1041,189,Head,165,24,47,27,19,20,0.5869565217391305,0.574468085106383,0.5806451612903226,0.49,True
T1046,36,Medium,78,5,9,1,8,8,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.42,False
T1047,162,Head,142,20,40,29,4,11,0.8787878787878788,0.725,0.7945205479452054,0.49,True
T1048,42,Medium,78,5,11,3,113,8,0.02586206896551724,0.2727272727272727,0.047244094488188976,0.26,False
T1049,58,Medium,78,7,14,7,5,7,0.5833333333333334,0.5,0.5384615384615384,0.43,False
T1052,12,Tail,78,2,3,1,1,2,0.5,0.3333333333333333,0.4,0.49,True
T1053,277,Head,243,35,69,50,4,19,0.9259259259259259,0.7246376811594203,0.8130081300813008,0.49,True
T1055,574,Head,502,72,143,105,26,38,0.8015267175572519,0.7342657342657343,0.7664233576642335,0.49,True
T1056,178,Head,156,22,44,29,1,15,0.9666666666666667,0.6590909090909091,0.7837837837837838,0.49,True
T1057,259,Head,227,32,65,42,14,23,0.75,0.6461538461538462,0.694214876033058,0.49,True
T1059,922,Head,808,115,231,151,65,80,0.6990740740740741,0.6536796536796536,0.6756152125279641,0.49,True
T1068,42,Medium,78,5,11,6,1,5,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.52,False
T1069,52,Medium,78,7,13,7,12,6,0.3684210526315789,0.5384615384615384,0.4375,0.4,False
T1070,376,Head,329,47,94,57,11,37,0.8382352941176471,0.6063829787234043,0.7037037037037038,0.49,True
T1071,494,Head,432,62,124,98,25,26,0.7967479674796748,0.7903225806451613,0.7935222672064778,0.49,True
T1072,23,Medium,78,3,6,5,0,1,1.0,0.8333333333333334,0.9090909090909091,0.49,True
T1074,118,Head,103,15,29,6,4,23,0.6,0.20689655172413793,0.3076923076923077,0.49,True
T1078,294,Head,263,37,74,45,18,29,0.7142857142857143,0.6081081081081081,0.6569343065693432,0.49,True
T1080,18,Tail,78,2,4,0,0,4,0.0,0.0,0.0,0.49,True
T1082,380,Head,332,48,95,60,14,35,0.8108108108108109,0.631578947368421,0.7100591715976332,0.49,True
T1083,328,Head,287,41,82,47,20,35,0.7014925373134329,0.573170731707317,0.6308724832214765,0.49,True
T1087,76,Medium,78,10,19,9,58,10,0.13432835820895522,0.47368421052631576,0.20930232558139533,0.35,False
T1090,290,Head,254,36,73,45,10,28,0.8181818181818182,0.6164383561643836,0.703125,0.49,True
T1091,20,Medium,78,3,5,1,0,4,1.0,0.2,0.33333333333333337,0.49,True
T1092,5,Tail,78,1,1,0,0,1,0.0,0.0,0.0,0.49,True
T1095,112,Head,98,14,28,13,10,15,0.5652173913043478,0.4642857142857143,0.5098039215686274,0.49,True
T1098,38,Medium,78,5,10,4,23,6,0.14814814814814814,0.4,0.21621621621621623,0.38,False
T1102,81,Medium,78,10,20,9,49,11,0.15517241379310345,0.45,0.23076923076923075,0.36,False
T1104,14,Tail,78,2,3,0,0,3,0.0,0.0,0.0,0.49,True
T1105,625,Head,547,78,156,116,38,40,0.7532467532467533,0.7435897435897436,0.7483870967741936,0.49,True
T1106,347,Head,305,43,87,41,32,46,0.5616438356164384,0.47126436781609193,0.5125000000000001,0.49,True
T1110,128,Head,112,16,32,18,5,14,0.782608695652174,0.5625,0.6545454545454547,0.49,True
T1111,10,Tail,78,1,3,0,0,3,0.0,0.0,0.0,0.49,True
T1112,232,Head,203,29,58,26,15,32,0.6341463414634146,0.4482758620689655,0.5252525252525253,0.49,True
T1113,134,Head,117,17,33,25,1,8,0.9615384615384616,0.7575757575757576,0.8474576271186441,0.49,True
T1114,41,Medium,78,5,10,5,13,5,0.2777777777777778,0.5,0.35714285714285715,0.38,False
T1115,25,Medium,78,3,6,4,0,2,1.0,0.6666666666666666,0.8,0.49,True
T1119,38,Medium,78,5,10,8,1775,2,0.00448681996634885,0.8,0.008923591745677636,0.05,False
T1120,35,Medium,78,4,9,3,4,6,0.42857142857142855,0.3333333333333333,0.375,0.49,True
T1123,22,Medium,78,3,5,2,0,3,1.0,0.4,0.5714285714285715,0.49,True
T1124,51,Medium,78,6,13,12,5,1,0.7058823529411765,0.9230769230769231,0.8000000000000002,0.45,False
T1125,22,Medium,78,3,5,0,2,5,0.0,0.0,0.0,0.49,True
T1127,10,Tail,78,1,3,1,0,2,1.0,0.3333333333333333,0.5,0.49,True
T1129,17,Tail,78,2,4,1,1,3,0.5,0.25,0.3333333333333333,0.49,True
T1132,75,Medium,78,9,19,9,3,10,0.75,0.47368421052631576,0.5806451612903226,0.49,False
T1133,30,Medium,78,4,8,2,6,6,0.25,0.25,0.25,0.49,True
T1134,59,Medium,78,7,15,9,48,6,0.15789473684210525,0.6,0.25,0.31,False
T1135,35,Medium,78,4,9,3,4,6,0.42857142857142855,0.3333333333333333,0.375,0.49,True
T1136,31,Medium,78,4,8,4,2,4,0.6666666666666666,0.5,0.5714285714285715,0.49,True
T1137,43,Medium,78,5,11,4,1,7,0.8,0.36363636363636365,0.5000000000000001,0.48,False
T1140,704,Head,616,88,176,129,21,47,0.86,0.7329545454545454,0.7914110429447853,0.49,True
T1176,13,Tail,78,2,3,1,1,2,0.5,0.3333333333333333,0.4,0.49,True
T1185,17,Tail,78,2,4,0,1,4,0.0,0.0,0.0,0.49,True
T1187,14,Tail,78,2,4,0,0,4,0.0,0.0,0.0,0.49,True
T1189,42,Medium,78,5,10,3,5,7,0.375,0.3,0.33333333333333326,0.44,False
T1190,101,Head,88,13,25,10,1,15,0.9090909090909091,0.4,0.5555555555555556,0.49,True
T1195,22,Medium,78,3,6,2,0,4,1.0,0.3333333333333333,0.5,0.49,True
T1197,17,Tail,78,2,4,2,2,2,0.5,0.5,0.5,0.49,True
T1199,9,Tail,78,1,2,0,0,2,0.0,0.0,0.0,0.49,True
T1200,3,Tail,78,0,1,0,0,1,0.0,0.0,0.0,0.49,True
T1201,8,Tail,78,1,2,0,1,2,0.0,0.0,0.0,0.49,True
T1202,4,Tail,78,1,1,0,0,1,0.0,0.0,0.0,0.49,True
T1203,50,Medium,78,6,12,6,8,6,0.42857142857142855,0.5,0.4615384615384615,0.4,False
T1204,279,Head,244,35,70,40,16,30,0.7142857142857143,0.5714285714285714,0.634920634920635,0.49,True
T1205,23,Medium,78,3,6,1,1,5,0.5,0.16666666666666666,0.25,0.49,True
T1207,6,Tail,78,1,2,0,0,2,0.0,0.0,0.0,0.49,True
T1210,38,Medium,78,5,10,4,2,6,0.6666666666666666,0.4,0.5,0.48,False
T1211,5,Tail,78,1,1,0,0,1,0.0,0.0,0.0,0.49,True
T1212,4,Tail,78,1,1,0,2,1,0.0,0.0,0.0,0.49,True
T1213,19,Tail,78,2,5,3,0,2,1.0,0.6,0.7499999999999999,0.49,True
T1216,11,Tail,78,1,3,0,0,3,0.0,0.0,0.0,0.49,True
T1217,9,Tail,78,1,2,0,2,2,0.0,0.0,0.0,0.49,True
T1218,257,Head,225,32,64,32,8,32,0.8,0.5,0.6153846153846154,0.49,True
T1219,98,Medium,86,12,24,10,19,14,0.3448275862068966,0.4166666666666667,0.37735849056603776,0.37,False
T1220,12,Tail,78,2,3,0,0,3,0.0,0.0,0.0,0.49,True
T1221,15,Tail,78,2,4,0,0,4,0.0,0.0,0.0,0.49,True
T1222,29,Medium,78,4,7,0,2,7,0.0,0.0,0.0,0.49,True
T1480,27,Medium,78,3,7,2,0,5,1.0,0.2857142857142857,0.4444444444444445,0.49,True
T1482,12,Tail,78,2,3,3,1,0,0.75,1.0,0.8571428571428571,0.49,True
T1484,56,Medium,78,7,14,3,6,11,0.3333333333333333,0.21428571428571427,0.2608695652173913,0.45,False
T1485,19,Tail,78,2,5,1,2,4,0.3333333333333333,0.2,0.25,0.49,True
T1486,42,Medium,78,5,11,3,13,8,0.1875,0.2727272727272727,0.2222222222222222,0.39,False
T1489,25,Medium,78,3,6,1,2,5,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.49,True
T1490,22,Medium,78,3,6,6,5,0,0.5454545454545454,1.0,0.7058823529411764,0.49,True
T1491,10,Tail,78,1,3,0,0,3,0.0,0.0,0.0,0.49,True
T1495,4,Tail,78,1,1,0,0,1,0.0,0.0,0.0,0.49,True
T1496,14,Tail,78,2,4,1,1,3,0.5,0.25,0.3333333333333333,0.49,True
T1497,96,Medium,84,12,24,5,5,19,0.5,0.20833333333333334,0.29411764705882354,0.45,False
T1498,26,Medium,78,3,6,0,1,6,0.0,0.0,0.0,0.49,True
T1499,39,Medium,78,5,10,0,3,10,0.0,0.0,0.0,0.45,False
T1505,55,Medium,78,7,14,3,0,11,1.0,0.21428571428571427,0.35294117647058826,0.51,False
T1518,146,Head,128,18,37,17,11,20,0.6071428571428571,0.4594594594594595,0.5230769230769231,0.49,True
T1525,5,Tail,78,1,1,0,0,1,0.0,0.0,0.0,0.49,True
T1526,5,Tail,78,1,1,0,2,1,0.0,0.0,0.0,0.49,True
T1528,10,Tail,78,1,2,0,0,2,0.0,0.0,0.0,0.49,True
T1529,13,Tail,78,2,3,1,1,2,0.5,0.3333333333333333,0.4,0.49,True
T1530,7,Tail,78,1,2,0,1,2,0.0,0.0,0.0,0.49,True
T1531,4,Tail,78,1,1,0,0,1,0.0,0.0,0.0,0.49,True
T1534,8,Tail,78,1,2,0,0,2,0.0,0.0,0.0,0.49,True
T1535,6,Tail,78,1,2,0,0,2,0.0,0.0,0.0,0.49,True
T1537,3,Tail,78,0,1,0,0,1,0.0,0.0,0.0,0.49,True
T1538,3,Tail,78,0,1,0,0,1,0.0,0.0,0.0,0.49,True
T1539,14,Tail,78,2,4,1,0,3,1.0,0.25,0.4,0.49,True
T1542,33,Medium,78,4,8,1,0,7,1.0,0.125,0.2222222222222222,0.49,True
T1543,207,Head,182,26,52,34,19,18,0.6415094339622641,0.6538461538461539,0.6476190476190475,0.49,True
T1546,139,Head,122,17,35,5,6,30,0.45454545454545453,0.14285714285714285,0.21739130434782608,0.49,True
T1547,386,Head,338,48,96,58,23,38,0.7160493827160493,0.6041666666666666,0.655367231638418,0.49,True
T1548,105,Head,92,13,26,10,2,16,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.49,True
T1550,50,Medium,78,6,13,7,12,6,0.3684210526315789,0.5384615384615384,0.4375,0.42,False
T1552,98,Medium,86,12,25,12,90,13,0.11764705882352941,0.48,0.18897637795275588,0.28,False
T1553,112,Head,98,14,28,8,2,20,0.8,0.2857142857142857,0.4210526315789473,0.49,True
T1554,13,Tail,78,2,3,2,0,1,1.0,0.6666666666666666,0.8,0.49,True
T1555,113,Head,99,14,28,13,10,15,0.5652173913043478,0.4642857142857143,0.5098039215686274,0.49,True
T1556,34,Medium,78,4,8,1,2,7,0.3333333333333333,0.125,0.18181818181818182,0.49,True
T1557,35,Medium,78,4,9,4,2,5,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.49,True
T1558,42,Medium,78,5,11,4,12,7,0.25,0.36363636363636365,0.2962962962962963,0.43,False
T1559,38,Medium,78,5,10,1,1,9,0.5,0.1,0.16666666666666669,0.44,False
T1560,112,Head,98,14,28,8,5,20,0.6153846153846154,0.2857142857142857,0.3902439024390244,0.49,True
T1561,25,Medium,78,3,6,2,1,4,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.49,True
T1562,263,Head,231,33,66,26,20,40,0.5652173913043478,0.3939393939393939,0.4642857142857143,0.49,True
T1563,18,Tail,78,2,5,0,2,5,0.0,0.0,0.0,0.49,True
