Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1003,150,Head,134,19,37,31,2,6,0.9393939393939394,0.8378378378378378,0.8857142857142858,0.47,True
T1005,89,Medium,115,11,22,7,7,15,0.5,0.3181818181818182,0.3888888888888889,0.46,False
T1012,33,Medium,116,4,8,5,3,3,0.625,0.625,0.625,0.47,True
T1016,53,Medium,115,7,13,9,5,4,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.45,False
T1021,138,Head,128,17,34,25,5,9,0.8333333333333334,0.7352941176470589,0.78125,0.47,True
T1027,870,Head,791,109,218,170,81,48,0.6772908366533864,0.7798165137614679,0.7249466950959488,0.47,True
T1033,52,Medium,118,7,13,8,28,5,0.2222222222222222,0.6153846153846154,0.326530612244898,0.35,False
T1036,101,Head,114,13,25,12,1,13,0.9230769230769231,0.48,0.631578947368421,0.47,True
T1041,116,Head,114,15,29,11,11,18,0.5,0.3793103448275862,0.4313725490196078,0.47,True
T1047,94,Medium,114,12,24,18,6,6,0.75,0.75,0.75,0.39,False
T1053,138,Head,125,17,35,28,1,7,0.9655172413793104,0.8,0.8750000000000001,0.47,True
T1055,379,Head,340,47,95,73,9,22,0.8902439024390244,0.7684210526315789,0.8248587570621468,0.47,True
T1056,63,Medium,115,8,16,11,11,5,0.5,0.6875,0.5789473684210527,0.31,False
T1057,94,Medium,114,12,24,17,10,7,0.6296296296296297,0.7083333333333334,0.6666666666666667,0.41,False
T1059,372,Head,363,47,93,61,28,32,0.6853932584269663,0.6559139784946236,0.6703296703296703,0.47,True
T1068,13,Tail,114,2,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.47,True
T1070,104,Head,114,13,26,15,4,11,0.7894736842105263,0.5769230769230769,0.6666666666666666,0.47,True
T1071,203,Head,184,25,51,32,11,19,0.7441860465116279,0.6274509803921569,0.6808510638297872,0.47,True
T1072,15,Tail,114,2,4,2,0,2,1.0,0.5,0.6666666666666666,0.47,True
T1074,39,Medium,119,5,10,5,5,5,0.5,0.5,0.5,0.4,False
T1078,222,Head,217,28,56,31,9,25,0.775,0.5535714285714286,0.6458333333333333,0.47,True
T1082,146,Head,173,18,36,21,8,15,0.7241379310344828,0.5833333333333334,0.6461538461538462,0.47,True
T1083,124,Head,120,16,31,13,7,18,0.65,0.41935483870967744,0.5098039215686274,0.47,True
T1090,191,Head,167,24,48,32,6,16,0.8421052631578947,0.6666666666666666,0.744186046511628,0.47,True
T1095,69,Medium,114,9,17,12,7,5,0.631578947368421,0.7058823529411765,0.6666666666666667,0.44,False
T1105,355,Head,324,44,89,64,24,25,0.7272727272727273,0.7191011235955056,0.7231638418079096,0.47,True
T1106,254,Head,244,32,64,36,21,28,0.631578947368421,0.5625,0.5950413223140496,0.47,True
T1110,72,Medium,116,9,18,8,22,10,0.26666666666666666,0.4444444444444444,0.33333333333333337,0.29,False
T1112,141,Head,131,18,35,23,4,12,0.8518518518518519,0.6571428571428571,0.7419354838709677,0.47,True
T1113,42,Medium,118,5,11,4,5,7,0.4444444444444444,0.36363636363636365,0.39999999999999997,0.4,False
T1140,548,Head,485,69,137,114,32,23,0.7808219178082192,0.8321167883211679,0.8056537102473498,0.47,True
T1190,78,Medium,114,10,20,13,5,7,0.7222222222222222,0.65,0.6842105263157895,0.38,False
T1204,130,Head,118,16,32,18,6,14,0.75,0.5625,0.6428571428571429,0.47,True
T1210,20,Medium,114,3,5,3,3,2,0.5,0.6,0.5454545454545454,0.47,True
T1218,67,Medium,114,8,17,10,13,7,0.43478260869565216,0.5882352941176471,0.5,0.35,False
T1219,78,Medium,116,10,19,14,10,5,0.5833333333333334,0.7368421052631579,0.6511627906976745,0.34,False
T1484,32,Medium,114,4,8,7,0,1,1.0,0.875,0.9333333333333333,0.47,True
T1518,49,Medium,114,6,12,10,2,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.47,False
T1543,66,Medium,117,8,17,12,10,5,0.5454545454545454,0.7058823529411765,0.6153846153846153,0.34,False
T1547,92,Medium,114,12,23,19,9,4,0.6785714285714286,0.8260869565217391,0.7450980392156864,0.37,False
T1548,35,Medium,114,4,9,7,3,2,0.7,0.7777777777777778,0.7368421052631577,0.47,True
T1552,32,Medium,114,4,8,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.47,True
T1557,8,Tail,114,1,2,0,0,2,0.0,0.0,0.0,0.47,True
T1562,124,Head,126,16,31,19,2,12,0.9047619047619048,0.6129032258064516,0.7307692307692307,0.47,True
T1564,24,Medium,117,3,6,5,2,1,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.47,True
T1566,122,Head,114,15,31,20,3,11,0.8695652173913043,0.6451612903225806,0.7407407407407407,0.47,True
T1569,30,Medium,115,4,8,3,3,5,0.5,0.375,0.42857142857142855,0.47,True
T1570,83,Medium,114,10,21,10,8,11,0.5555555555555556,0.47619047619047616,0.5128205128205129,0.39,False
T1573,82,Medium,115,10,21,10,9,11,0.5263157894736842,0.47619047619047616,0.5,0.44,False
T1574,101,Head,114,13,25,19,5,6,0.7916666666666666,0.76,0.7755102040816326,0.47,True
