Technique_ID,Original_Train_Support,Frequency_Group
T1001,46,Medium
T1003,271,Head
T1005,178,Head
T1006,4,Tail
T1007,39,Medium
T1008,35,Medium
T1010,20,Medium
T1011,6,Tail
T1012,101,Head
T1014,22,Medium
T1016,208,Head
T1018,46,Medium
T1020,21,Medium
T1021,258,Head
T1025,21,Medium
T1027,1263,Head
T1029,14,Tail
T1030,10,Tail
T1033,175,Head
T1036,320,Head
T1037,37,Medium
T1039,11,Tail
T1040,14,Tail
T1041,189,Head
T1046,36,Medium
T1047,162,Head
T1048,42,Medium
T1049,58,Medium
T1052,12,Tail
T1053,277,Head
T1055,574,Head
T1056,178,Head
T1057,259,Head
T1059,922,Head
T1068,42,Medium
T1069,52,Medium
T1070,376,Head
T1071,494,Head
T1072,23,Medium
T1074,118,Head
T1078,294,Head
T1080,18,Tail
T1082,380,Head
T1083,328,Head
T1087,76,Medium
T1090,290,Head
T1091,20,Medium
T1092,5,Tail
T1095,112,Head
T1098,38,Medium
T1102,81,Medium
T1104,14,Tail
T1105,625,Head
T1106,347,Head
T1110,128,Head
T1111,10,Tail
T1112,232,Head
T1113,134,Head
T1114,41,Medium
T1115,25,Medium
T1119,38,Medium
T1120,35,Medium
T1123,22,Medium
T1124,51,Medium
T1125,22,Medium
T1127,10,Tail
T1129,17,Tail
T1132,75,Medium
T1133,30,Medium
T1134,59,Medium
T1135,35,Medium
T1136,31,Medium
T1137,43,Medium
T1140,704,Head
T1176,13,Tail
T1185,17,Tail
T1187,14,Tail
T1189,42,Medium
T1190,101,Head
T1195,22,Medium
T1197,17,Tail
T1199,9,Tail
T1200,3,Tail
T1201,8,Tail
T1202,4,Tail
T1203,50,Medium
T1204,279,Head
T1205,23,Medium
T1207,6,Tail
T1210,38,Medium
T1211,5,Tail
T1212,4,Tail
T1213,19,Tail
T1216,11,Tail
T1217,9,Tail
T1218,257,Head
T1219,98,Medium
T1220,12,Tail
T1221,15,Tail
T1222,29,Medium
T1480,27,Medium
T1482,12,Tail
T1484,56,Medium
T1485,19,Tail
T1486,42,Medium
T1489,25,Medium
T1490,22,Medium
T1491,10,Tail
T1495,4,Tail
T1496,14,Tail
T1497,96,Medium
T1498,26,Medium
T1499,39,Medium
T1505,55,Medium
T1518,146,Head
T1525,5,Tail
T1526,5,Tail
T1528,10,Tail
T1529,13,Tail
T1530,7,Tail
T1531,4,Tail
T1534,8,Tail
T1535,6,Tail
T1537,3,Tail
T1538,3,Tail
T1539,14,Tail
T1542,33,Medium
T1543,207,Head
T1546,139,Head
T1547,386,Head
T1548,105,Head
T1550,50,Medium
T1552,98,Medium
T1553,112,Head
T1554,13,Tail
T1555,113,Head
T1556,34,Medium
T1557,35,Medium
T1558,42,Medium
T1559,38,Medium
T1560,112,Head
T1561,25,Medium
T1562,263,Head
T1563,18,Tail
T1564,160,Head
T1565,18,Tail
T1566,277,Head
T1567,22,Medium
T1568,44,Medium
T1569,78,Medium
T1570,99,Medium
T1571,26,Medium
T1572,16,Tail
T1573,236,Head
T1574,248,Head
T1578,15,Tail
T1580,8,Tail
T1583,59,Medium
T1584,35,Medium
T1585,29,Medium
T1586,22,Medium
T1587,38,Medium
T1588,85,Medium
T1589,26,Medium
T1590,28,Medium
T1591,20,Medium
T1592,20,Medium
T1593,13,Tail
T1594,5,Tail
T1595,15,Tail
T1596,27,Medium
T1597,12,Tail
T1598,26,Medium
T1599,15,Tail
T1600,13,Tail
T1601,27,Medium
T1602,14,Tail
T1606,21,Medium
T1608,47,Medium
T1609,6,Tail
T1610,7,Tail
T1611,9,Tail
T1612,4,Tail
T1613,6,Tail
T1614,28,Medium
T1615,6,Tail
T1619,4,Tail
T1620,8,Tail
