Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1001,46,Medium,78,6,11,0,2,11,0.0,0.0,0.0,0.54,True
T1003,271,Head,237,34,68,39,7,29,0.8478260869565217,0.5735294117647058,0.6842105263157895,0.54,True
T1005,178,Head,156,22,44,19,7,25,0.7307692307692307,0.4318181818181818,0.5428571428571428,0.54,True
T1006,4,Tail,78,1,1,1,0,0,1.0,1.0,1.0,0.54,True
T1007,39,Medium,78,5,10,4,1,6,0.8,0.4,0.5333333333333333,0.54,True
T1008,35,Medium,78,4,9,0,4,9,0.0,0.0,0.0,0.54,True
T1010,20,Medium,78,3,5,1,1,4,0.5,0.2,0.28571428571428575,0.54,True
T1011,6,Tail,78,1,2,0,0,2,0.0,0.0,0.0,0.54,True
T1012,101,Head,88,13,25,7,5,18,0.5833333333333334,0.28,0.3783783783783784,0.54,True
T1014,22,Medium,78,3,5,3,0,2,1.0,0.6,0.7499999999999999,0.54,True
T1016,208,Head,182,26,52,34,9,18,0.7906976744186046,0.6538461538461539,0.7157894736842104,0.54,True
T1018,46,Medium,78,6,12,5,1,7,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.54,True
T1020,21,Medium,78,3,5,1,5,4,0.16666666666666666,0.2,0.1818181818181818,0.54,True
T1021,258,Head,226,32,64,18,2,46,0.9,0.28125,0.4285714285714286,0.54,True
T1025,21,Medium,78,3,5,1,1,4,0.5,0.2,0.28571428571428575,0.54,True
T1027,1263,Head,1110,158,316,200,87,116,0.6968641114982579,0.6329113924050633,0.6633499170812605,0.54,True
T1029,14,Tail,78,2,4,0,0,4,0.0,0.0,0.0,0.54,True
T1030,10,Tail,78,1,3,3,0,0,1.0,1.0,1.0,0.54,True
T1033,175,Head,153,22,44,29,8,15,0.7837837837837838,0.6590909090909091,0.7160493827160493,0.54,True
T1036,320,Head,280,40,80,30,11,50,0.7317073170731707,0.375,0.4958677685950414,0.54,True
T1037,37,Medium,78,5,9,1,4,8,0.2,0.1111111111111111,0.14285714285714285,0.54,True
T1039,11,Tail,78,1,3,1,3,2,0.25,0.3333333333333333,0.28571428571428575,0.54,True
T1040,14,Tail,78,2,4,0,1,4,0.0,0.0,0.0,0.54,True
T1041,189,Head,165,24,47,24,11,23,0.6857142857142857,0.5106382978723404,0.5853658536585366,0.54,True
T1046,36,Medium,78,5,9,1,0,8,1.0,0.1111111111111111,0.19999999999999998,0.54,True
T1047,162,Head,142,20,40,30,6,10,0.8333333333333334,0.75,0.7894736842105262,0.54,True
T1048,42,Medium,78,5,11,0,0,11,0.0,0.0,0.0,0.54,True
T1049,58,Medium,78,7,14,6,0,8,1.0,0.42857142857142855,0.6,0.54,True
T1052,12,Tail,78,2,3,1,5,2,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.54,True
T1053,277,Head,243,35,69,46,3,23,0.9387755102040817,0.6666666666666666,0.7796610169491526,0.54,True
T1055,574,Head,502,72,143,115,29,28,0.7986111111111112,0.8041958041958042,0.8013937282229965,0.54,True
T1056,178,Head,156,22,44,31,4,13,0.8857142857142857,0.7045454545454546,0.7848101265822784,0.54,True
T1057,259,Head,227,32,65,51,25,14,0.6710526315789473,0.7846153846153846,0.7234042553191491,0.54,True
