Technique_ID,Original_Train_Support,Frequency_Group
T1003,150,Head
T1005,89,Medium
T1012,33,Medium
T1016,53,Medium
T1021,138,Head
T1027,870,Head
T1033,52,Medium
T1036,101,Head
T1041,116,Head
T1047,94,Medium
T1053,138,Head
T1055,379,Head
T1056,63,Medium
T1057,94,Medium
T1059,372,Head
T1068,13,Tail
T1070,104,Head
T1071,203,Head
T1072,15,Tail
T1074,39,Medium
T1078,222,Head
T1082,146,Head
T1083,124,Head
T1090,191,Head
T1095,69,Medium
T1105,355,Head
T1106,254,Head
T1110,72,Medium
T1112,141,Head
T1113,42,Medium
T1140,548,Head
T1190,78,Medium
T1204,130,Head
T1210,20,Medium
T1218,67,Medium
T1219,78,Medium
T1484,32,Medium
T1518,49,Medium
T1543,66,Medium
T1547,92,Medium
T1548,35,Medium
T1552,32,Medium
T1557,8,Tail
T1562,124,Head
T1564,24,Medium
T1566,122,Head
T1569,30,Medium
T1570,83,Medium
T1573,82,Medium
T1574,101,Head
