Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1003,150,Head,134,19,37,29,1,8,0.9666666666666667,0.7837837837837838,0.8656716417910447,0.48,True
T1005,89,Medium,115,11,22,6,6,16,0.5,0.2727272727272727,0.3529411764705882,0.48,True
T1012,33,Medium,116,4,8,5,6,3,0.45454545454545453,0.625,0.5263157894736842,0.48,True
T1016,53,Medium,115,7,13,8,5,5,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.48,True
T1021,138,Head,128,17,34,26,7,8,0.7878787878787878,0.7647058823529411,0.7761194029850745,0.48,True
T1027,870,Head,791,109,218,146,49,72,0.7487179487179487,0.6697247706422018,0.7070217917675544,0.48,True
T1033,52,Medium,118,7,13,7,7,6,0.5,0.5384615384615384,0.5185185185185186,0.48,True
T1036,101,Head,114,13,25,12,2,13,0.8571428571428571,0.48,0.6153846153846153,0.48,True
T1041,116,Head,114,15,29,14,23,15,0.3783783783783784,0.4827586206896552,0.42424242424242425,0.48,True
T1047,94,Medium,114,12,24,17,3,7,0.85,0.7083333333333334,0.7727272727272727,0.48,True
T1053,138,Head,125,17,35,28,1,7,0.9655172413793104,0.8,0.8750000000000001,0.48,True
T1055,379,Head,340,47,95,71,9,24,0.8875,0.7473684210526316,0.8114285714285715,0.48,True
T1056,63,Medium,115,8,16,5,0,11,1.0,0.3125,0.47619047619047616,0.48,True
T1057,94,Medium,114,12,24,19,8,5,0.7037037037037037,0.7916666666666666,0.7450980392156864,0.48,True
T1059,372,Head,363,47,93,62,28,31,0.6888888888888889,0.6666666666666666,0.6775956284153005,0.48,True
T1068,13,Tail,114,2,3,2,2,1,0.5,0.6666666666666666,0.5714285714285715,0.48,True
T1070,104,Head,114,13,26,15,4,11,0.7894736842105263,0.5769230769230769,0.6666666666666666,0.48,True
T1071,203,Head,184,25,51,30,11,21,0.7317073170731707,0.5882352941176471,0.6521739130434783,0.48,True
T1072,15,Tail,114,2,4,2,1,2,0.6666666666666666,0.5,0.5714285714285715,0.48,True
T1074,39,Medium,119,5,10,5,4,5,0.5555555555555556,0.5,0.5263157894736842,0.48,True
T1078,222,Head,217,28,56,29,8,27,0.7837837837837838,0.5178571428571429,0.6236559139784947,0.48,True
T1082,146,Head,173,18,36,18,4,18,0.8181818181818182,0.5,0.6206896551724137,0.48,True
T1083,124,Head,120,16,31,15,4,16,0.7894736842105263,0.4838709677419355,0.6,0.48,True
T1090,191,Head,167,24,48,29,6,19,0.8285714285714286,0.6041666666666666,0.6987951807228916,0.48,True
T1095,69,Medium,114,9,17,12,4,5,0.75,0.7058823529411765,0.7272727272727272,0.48,True
T1105,355,Head,324,44,89,65,18,24,0.7831325301204819,0.7303370786516854,0.7558139534883721,0.48,True
T1106,254,Head,244,32,64,37,20,27,0.6491228070175439,0.578125,0.6115702479338843,0.48,True
T1110,72,Medium,116,9,18,7,0,11,1.0,0.3888888888888889,0.56,0.48,True
T1112,141,Head,131,18,35,23,5,12,0.8214285714285714,0.6571428571428571,0.73015873015873,0.48,True
T1113,42,Medium,118,5,11,5,1,6,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.48,True
T1140,548,Head,485,69,137,110,22,27,0.8333333333333334,0.8029197080291971,0.8178438661710038,0.48,True
T1190,78,Medium,114,10,20,12,1,8,0.9230769230769231,0.6,0.7272727272727274,0.48,True
T1204,130,Head,118,16,32,22,4,10,0.8461538461538461,0.6875,0.7586206896551724,0.48,True
T1210,20,Medium,114,3,5,3,2,2,0.6,0.6,0.6,0.48,True
T1218,67,Medium,114,8,17,9,3,8,0.75,0.5294117647058824,0.6206896551724139,0.48,True
T1219,78,Medium,116,10,19,15,2,4,0.8823529411764706,0.7894736842105263,0.8333333333333333,0.48,True
T1484,32,Medium,114,4,8,7,1,1,0.875,0.875,0.875,0.48,True
T1518,49,Medium,114,6,12,8,0,4,1.0,0.6666666666666666,0.8,0.48,True
T1543,66,Medium,117,8,17,11,4,6,0.7333333333333333,0.6470588235294118,0.6875,0.48,True
T1547,92,Medium,114,12,23,19,4,4,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.48,True
T1548,35,Medium,114,4,9,7,2,2,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.48,True
T1552,32,Medium,114,4,8,6,5,2,0.5454545454545454,0.75,0.631578947368421,0.48,True
T1557,8,Tail,114,1,2,0,0,2,0.0,0.0,0.0,0.48,True
T1562,124,Head,126,16,31,21,3,10,0.875,0.6774193548387096,0.7636363636363636,0.48,True
T1564,24,Medium,117,3,6,4,6,2,0.4,0.6666666666666666,0.5,0.48,True
T1566,122,Head,114,15,31,20,2,11,0.9090909090909091,0.6451612903225806,0.7547169811320754,0.48,True
T1569,30,Medium,115,4,8,4,9,4,0.3076923076923077,0.5,0.380952380952381,0.48,True
T1570,83,Medium,114,10,21,10,3,11,0.7692307692307693,0.47619047619047616,0.588235294117647,0.48,True
T1573,82,Medium,115,10,21,8,9,13,0.47058823529411764,0.38095238095238093,0.42105263157894735,0.48,True
T1574,101,Head,114,13,25,17,5,8,0.7727272727272727,0.68,0.7234042553191491,0.48,True
