Technique_ID,Original_Train_Support,Frequency_Group,Validation_Support,Optimal_Threshold,Validation_F2,Fallback_Used
T1001,46,Medium,6,0.32,0.19230769230769232,False
T1003,122,Head,15,0.46,0.0,True
T1005,89,Medium,11,0.52,0.6862745098039216,False
T1006,4,Tail,1,0.46,0.0,True
T1007,39,Medium,5,0.32,0.8333333333333334,False
T1008,35,Medium,4,0.46,0.0,True
T1010,20,Medium,3,0.46,0.0,True
T1011,6,Tail,1,0.46,0.0,True
T1012,68,Medium,9,0.38,0.9183673469387755,False
T1014,22,Medium,3,0.46,0.0,True
T1016,155,Head,19,0.46,0.0,True
T1018,46,Medium,6,0.38,0.38461538461538464,False
T1020,21,Medium,3,0.46,0.0,True
T1021,120,Head,15,0.46,0.0,True
T1025,21,Medium,3,0.46,0.0,True
T1027,393,Head,49,0.46,0.0,True
T1029,14,Tail,2,0.46,0.0,True
T1030,10,Tail,1,0.46,0.0,True
T1033,123,Head,15,0.46,0.0,True
T1036,219,Head,27,0.46,0.0,True
T1037,37,Medium,5,0.4,0.22727272727272727,False
T1039,11,Tail,1,0.46,0.0,True
T1040,14,Tail,2,0.46,0.0,True
T1041,73,Medium,9,0.43,0.6976744186046512,False
T1046,36,Medium,5,0.34,0.625,False
T1047,67,Medium,8,0.34,0.5,False
T1048,42,Medium,5,0.24,0.2564102564102564,False
T1049,58,Medium,7,0.26,0.6097560975609756,False
T1052,12,Tail,2,0.46,0.0,True
T1053,138,Head,17,0.46,0.0,True
T1055,194,Head,24,0.46,0.0,True
T1056,114,Head,14,0.46,0.0,True
T1057,165,Head,21,0.46,0.0,True
T1059,550,Head,69,0.46,0.0,True
T1068,30,Medium,4,0.46,0.0,True
T1069,52,Medium,7,0.37,0.5882352941176471,False
T1070,272,Head,34,0.46,0.0,True
T1071,291,Head,36,0.46,0.0,True
T1072,8,Tail,1,0.46,0.0,True
T1074,78,Medium,10,0.38,0.21739130434782608,False
T1078,72,Medium,9,0.31,0.6730769230769231,False
T1080,18,Tail,2,0.46,0.0,True
T1082,234,Head,29,0.46,0.0,True
T1083,204,Head,26,0.46,0.0,True
T1087,76,Medium,10,0.39,0.6,False
T1090,99,Medium,12,0.21,0.6470588235294118,False
T1091,20,Medium,3,0.46,0.0,True
T1092,5,Tail,1,0.46,0.0,True
T1095,43,Medium,5,0.34,0.7407407407407407,False
T1098,38,Medium,5,0.43,0.45454545454545453,False
T1102,81,Medium,10,0.31,0.45454545454545453,False
T1104,14,Tail,2,0.46,0.0,True
T1105,270,Head,34,0.46,0.0,True
T1106,93,Medium,12,0.34,0.37037037037037035,False
T1110,56,Medium,7,0.37,0.5882352941176471,False
T1111,10,Tail,1,0.46,0.0,True
T1112,91,Medium,11,0.38,0.44642857142857145,False
T1113,91,Medium,11,0.33,0.9259259259259259,False
T1114,41,Medium,5,0.29,0.5769230769230769,False
T1115,25,Medium,3,0.46,0.0,True
T1119,38,Medium,5,0.31,0.37037037037037035,False
T1120,35,Medium,4,0.46,0.0,True
T1123,22,Medium,3,0.46,0.0,True
T1124,51,Medium,6,0.53,1.0,False
T1125,22,Medium,3,0.46,0.0,True
T1127,10,Tail,1,0.46,0.0,True
T1129,17,Tail,2,0.46,0.0,True
T1132,75,Medium,9,0.21,0.4838709677419355,False
T1133,30,Medium,4,0.46,0.0,True
T1134,59,Medium,7,0.36,0.7575757575757576,False
T1135,35,Medium,4,0.46,0.0,True
T1136,31,Medium,4,0.46,0.0,True
T1137,43,Medium,5,0.43,0.43478260869565216,False
T1140,156,Head,20,0.46,0.0,True
T1176,13,Tail,2,0.46,0.0,True
T1185,17,Tail,2,0.46,0.0,True
T1187,14,Tail,2,0.46,0.0,True
T1189,42,Medium,5,0.34,0.6521739130434783,False
T1190,22,Medium,3,0.46,0.0,True
T1195,22,Medium,3,0.46,0.0,True
T1197,17,Tail,2,0.46,0.0,True
T1199,9,Tail,1,0.46,0.0,True
T1200,3,Tail,0,0.46,0.0,True
T1201,8,Tail,1,0.46,0.0,True
T1202,4,Tail,1,0.46,0.0,True
T1203,50,Medium,6,0.51,0.8620689655172413,False
T1204,150,Head,19,0.46,0.0,True
T1205,23,Medium,3,0.46,0.0,True
T1207,6,Tail,1,0.46,0.0,True
T1210,18,Tail,2,0.46,0.0,True
T1211,5,Tail,1,0.46,0.0,True
T1212,4,Tail,1,0.46,0.0,True
T1213,19,Tail,2,0.46,0.0,True
T1216,11,Tail,1,0.46,0.0,True
T1217,9,Tail,1,0.46,0.0,True
T1218,190,Head,24,0.46,0.0,True
T1219,20,Medium,3,0.46,0.0,True
T1220,12,Tail,2,0.46,0.0,True
T1221,15,Tail,2,0.46,0.0,True
T1222,29,Medium,4,0.46,0.0,True
T1480,27,Medium,3,0.46,0.0,True
T1482,12,Tail,2,0.46,0.0,True
T1484,24,Medium,3,0.46,0.0,True
T1485,19,Tail,2,0.46,0.0,True
T1486,42,Medium,5,0.43,0.8,False
T1489,25,Medium,3,0.46,0.0,True
T1490,22,Medium,3,0.46,0.0,True
T1491,10,Tail,1,0.46,0.0,True
T1495,4,Tail,1,0.46,0.0,True
T1496,14,Tail,2,0.46,0.0,True
T1497,96,Medium,12,0.25,0.352112676056338,False
T1498,26,Medium,3,0.46,0.0,True
T1499,39,Medium,5,0.34,0.45454545454545453,False
T1505,55,Medium,7,0.3,0.5714285714285714,False
T1518,98,Medium,12,0.3,0.7352941176470589,False
T1525,5,Tail,1,0.46,0.0,True
T1526,5,Tail,1,0.46,0.0,True
T1528,10,Tail,1,0.46,0.0,True
T1529,13,Tail,2,0.46,0.0,True
T1530,7,Tail,1,0.46,0.0,True
T1531,4,Tail,1,0.46,0.0,True
T1534,8,Tail,1,0.46,0.0,True
T1535,6,Tail,1,0.46,0.0,True
T1537,3,Tail,0,0.46,0.0,True
T1538,3,Tail,0,0.46,0.0,True
T1539,14,Tail,2,0.46,0.0,True
T1542,33,Medium,4,0.46,0.0,True
T1543,141,Head,18,0.46,0.0,True
T1546,139,Head,17,0.46,0.0,True
T1547,294,Head,37,0.46,0.0,True
T1548,70,Medium,9,0.29,0.3333333333333333,False
T1550,50,Medium,6,0.42,0.37037037037037035,False
T1552,66,Medium,8,0.35,0.4878048780487805,False
T1553,112,Head,14,0.46,0.0,True
T1554,13,Tail,2,0.46,0.0,True
T1555,113,Head,14,0.46,0.0,True
T1556,34,Medium,4,0.46,0.0,True
T1557,27,Medium,3,0.46,0.0,True
T1558,42,Medium,5,0.07,0.03937007874015748,False
T1559,38,Medium,5,0.34,0.5555555555555556,False
T1560,112,Head,14,0.46,0.0,True
T1561,25,Medium,3,0.46,0.0,True
T1562,139,Head,17,0.46,0.0,True
T1563,18,Tail,2,0.46,0.0,True
T1564,136,Head,17,0.46,0.0,True
T1565,18,Tail,2,0.46,0.0,True
T1566,154,Head,19,0.46,0.0,True
T1567,22,Medium,3,0.46,0.0,True
T1568,44,Medium,6,0.47,0.38461538461538464,False
T1569,48,Medium,6,0.21,0.20833333333333334,False
T1570,16,Tail,2,0.46,0.0,True
T1571,26,Medium,3,0.46,0.0,True
T1572,16,Tail,2,0.46,0.0,True
T1573,154,Head,19,0.46,0.0,True
T1574,147,Head,18,0.46,0.0,True
T1578,15,Tail,2,0.46,0.0,True
T1580,8,Tail,1,0.46,0.0,True
T1583,59,Medium,7,0.4,0.5405405405405406,False
T1584,35,Medium,4,0.46,0.0,True
T1585,29,Medium,4,0.46,0.0,True
T1586,22,Medium,3,0.46,0.0,True
T1587,38,Medium,5,0.76,0.23809523809523808,False
T1588,85,Medium,11,0.29,0.5172413793103449,False
T1589,26,Medium,3,0.46,0.0,True
T1590,28,Medium,4,0.46,0.0,True
T1591,20,Medium,3,0.46,0.0,True
T1592,20,Medium,3,0.46,0.0,True
T1593,13,Tail,2,0.46,0.0,True
T1594,5,Tail,1,0.46,0.0,True
T1595,15,Tail,2,0.46,0.0,True
T1596,27,Medium,3,0.46,0.0,True
T1597,12,Tail,2,0.46,0.0,True
T1598,26,Medium,3,0.46,0.0,True
T1599,15,Tail,2,0.46,0.0,True
T1600,13,Tail,2,0.46,0.0,True
T1601,27,Medium,3,0.46,0.0,True
T1602,14,Tail,2,0.46,0.0,True
T1606,21,Medium,3,0.46,0.0,True
T1608,47,Medium,6,0.33,0.5555555555555556,False
T1609,6,Tail,1,0.46,0.0,True
T1610,7,Tail,1,0.46,0.0,True
T1611,9,Tail,1,0.46,0.0,True
T1612,4,Tail,1,0.46,0.0,True
T1613,6,Tail,1,0.46,0.0,True
T1614,28,Medium,4,0.46,0.0,True
T1615,6,Tail,1,0.46,0.0,True
T1619,4,Tail,1,0.46,0.0,True
T1620,8,Tail,1,0.46,0.0,True
