Technique_ID,Original_Train_Support,Frequency_Group,Augmented_Train_Support,Validation_Support,Test_Support,TP,FP,FN,Precision,Recall,F1,Threshold,Threshold_Fallback
T1001,46,Medium,48,6,11,1,15,10,0.0625,0.09090909090909091,0.07407407407407407,0.32,False
T1003,122,Head,107,15,30,12,6,18,0.6666666666666666,0.4,0.5,0.46,True
T1005,89,Medium,78,11,22,11,3,11,0.7857142857142857,0.5,0.6111111111111112,0.52,False
T1006,4,Tail,48,1,1,0,0,1,0.0,0.0,0.0,0.46,True
T1007,39,Medium,48,5,10,6,14,4,0.3,0.6,0.4,0.32,False
T1008,35,Medium,48,4,9,4,3,5,0.5714285714285714,0.4444444444444444,0.5,0.46,True
T1010,20,Medium,48,3,5,3,1,2,0.75,0.6,0.6666666666666665,0.46,True
T1011,6,Tail,48,1,2,1,0,1,1.0,0.5,0.6666666666666666,0.46,True
T1012,68,Medium,59,9,17,9,10,8,0.47368421052631576,0.5294117647058824,0.5,0.38,False
T1014,22,Medium,48,3,5,2,0,3,1.0,0.4,0.5714285714285715,0.46,True
T1016,155,Head,136,19,39,28,11,11,0.717948717948718,0.717948717948718,0.717948717948718,0.46,True
T1018,46,Medium,48,6,12,3,11,9,0.21428571428571427,0.25,0.23076923076923075,0.38,False
T1020,21,Medium,48,3,5,1,3,4,0.25,0.2,0.22222222222222224,0.46,True
T1021,120,Head,105,15,30,14,7,16,0.6666666666666666,0.4666666666666667,0.5490196078431373,0.46,True
T1025,21,Medium,48,3,5,1,1,4,0.5,0.2,0.28571428571428575,0.46,True
T1027,393,Head,344,49,98,60,31,38,0.6593406593406593,0.6122448979591837,0.6349206349206349,0.46,True
T1029,14,Tail,48,2,4,0,1,4,0.0,0.0,0.0,0.46,True
T1030,10,Tail,48,1,3,0,0,3,0.0,0.0,0.0,0.46,True
T1033,123,Head,108,15,31,23,7,8,0.7666666666666667,0.7419354838709677,0.7540983606557377,0.46,True
T1036,219,Head,192,27,55,27,8,28,0.7714285714285715,0.4909090909090909,0.6,0.46,True
T1037,37,Medium,48,5,9,1,7,8,0.125,0.1111111111111111,0.11764705882352941,0.4,False
T1039,11,Tail,48,1,3,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46,True
T1040,14,Tail,48,2,4,0,1,4,0.0,0.0,0.0,0.46,True
T1041,73,Medium,64,9,18,11,15,7,0.4230769230769231,0.6111111111111112,0.5,0.43,False
T1046,36,Medium,48,5,9,4,5,5,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.34,False
T1047,67,Medium,59,8,17,12,8,5,0.6,0.7058823529411765,0.6486486486486486,0.34,False
T1048,42,Medium,48,5,11,2,38,9,0.05,0.18181818181818182,0.07843137254901962,0.24,False
T1049,58,Medium,51,7,14,5,17,9,0.22727272727272727,0.35714285714285715,0.2777777777777778,0.26,False
T1052,12,Tail,48,2,3,1,1,2,0.5,0.3333333333333333,0.4,0.46,True
T1053,138,Head,121,17,35,26,7,9,0.7878787878787878,0.7428571428571429,0.7647058823529412,0.46,True
