Scenario,Model,Strategy,Macro_F1,Micro_F1,Precision_Macro,Recall_Macro,Hamming_Loss,Exact_Match_Acc
Scenario A (CTI-to-MITRE),Logistic Regression,NO_AUG,0.4978,0.653,0.522,0.5359,0.0041,0.4617
Scenario A (CTI-to-MITRE),Linear SVC,NO_AUG,0.5071,0.7061,0.6456,0.4487,0.0029,0.5733
Scenario A (CTI-to-MITRE),Logistic Regression,SR,0.5056,0.6604,0.5398,0.5312,0.004,0.4648
Scenario A (CTI-to-MITRE),Linear SVC,SR,0.5044,0.7056,0.6437,0.4438,0.0028,0.5737
Scenario A (CTI-to-MITRE),Logistic Regression,RI,0.5052,0.6596,0.5382,0.5301,0.004,0.4609
Scenario A (CTI-to-MITRE),Linear SVC,RI,0.5047,0.705,0.6429,0.444,0.0028,0.5721
Scenario A (CTI-to-MITRE),Logistic Regression,RS,0.51,0.659,0.5352,0.5431,0.004,0.4598
Scenario A (CTI-to-MITRE),Linear SVC,RS,0.504,0.7023,0.6476,0.4418,0.0029,0.5687
Scenario A (CTI-to-MITRE),Logistic Regression,RD,0.5068,0.6589,0.5381,0.5341,0.004,0.4617
Scenario A (CTI-to-MITRE),Linear SVC,RD,0.5046,0.7048,0.6466,0.4435,0.0028,0.5706
Scenario A (CTI-to-MITRE),Logistic Regression,EDA,0.5112,0.6595,0.5439,0.5416,0.004,0.4602
Scenario A (CTI-to-MITRE),Linear SVC,EDA,0.5109,0.7034,0.6508,0.4505,0.0029,0.5702
Scenario B (TRAM),Logistic Regression,NO_AUG,0.7825,0.8036,0.7512,0.8335,0.0093,0.6381
Scenario B (TRAM),Linear SVC,NO_AUG,0.8163,0.8471,0.8582,0.7886,0.0067,0.7349
Scenario B (TRAM),Logistic Regression,SR,0.7852,0.8054,0.7628,0.8261,0.0092,0.637
Scenario B (TRAM),Linear SVC,SR,0.8189,0.8471,0.8652,0.7901,0.0067,0.7355
Scenario B (TRAM),Logistic Regression,RI,0.7856,0.804,0.7619,0.8267,0.0093,0.6346
Scenario B (TRAM),Linear SVC,RI,0.8204,0.8482,0.8681,0.7895,0.0066,0.7361
Scenario B (TRAM),Logistic Regression,RS,0.7828,0.8044,0.7476,0.8379,0.0093,0.6381
Scenario B (TRAM),Linear SVC,RS,0.8248,0.8471,0.8657,0.8003,0.0067,0.7331
Scenario B (TRAM),Logistic Regression,RD,0.788,0.8068,0.7691,0.8239,0.0092,0.6393
Scenario B (TRAM),Linear SVC,RD,0.8195,0.8454,0.8724,0.7891,0.0067,0.7296
Scenario B (TRAM),Logistic Regression,EDA,0.7793,0.8021,0.7427,0.8346,0.0094,0.6276
Scenario B (TRAM),Linear SVC,EDA,0.8199,0.846,0.8637,0.7914,0.0067,0.729
C1 (Train CTI -> Test TRAM),Logistic Regression,NO_AUG,0.54,0.6014,0.6569,0.519,0.0159,0.407
C2 (Train TRAM -> Test CTI),Logistic Regression,NO_AUG,0.4778,0.5281,0.4899,0.5904,0.0145,0.469
C1 (Train CTI -> Test TRAM),Logistic Regression,EDA,0.5255,0.5904,0.6414,0.515,0.0165,0.3918
C2 (Train TRAM -> Test CTI),Logistic Regression,EDA,0.48,0.5367,0.4842,0.5836,0.0139,0.4856
Scenario D (Joint Dataset),Logistic Regression,NO_AUG,0.487,0.6806,0.4894,0.5429,0.0041,0.4684
Scenario D (Joint Dataset),Linear SVC,NO_AUG,0.467,0.7462,0.5727,0.4204,0.0027,0.6078
Scenario D (Joint Dataset),Logistic Regression,SR,0.4925,0.6836,0.5078,0.5291,0.0041,0.4666
Scenario D (Joint Dataset),Linear SVC,SR,0.469,0.7421,0.5851,0.4174,0.0027,0.6031
Scenario D (Joint Dataset),Logistic Regression,RI,0.4866,0.683,0.4981,0.5278,0.0041,0.4621
Scenario D (Joint Dataset),Linear SVC,RI,0.4665,0.7412,0.5815,0.4157,0.0027,0.6022
Scenario D (Joint Dataset),Logistic Regression,RS,0.4979,0.6823,0.5029,0.5489,0.0041,0.4612
Scenario D (Joint Dataset),Linear SVC,RS,0.4818,0.7429,0.5947,0.4304,0.0027,0.6017
Scenario D (Joint Dataset),Logistic Regression,RD,0.4888,0.6824,0.4962,0.5296,0.0041,0.4631
Scenario D (Joint Dataset),Linear SVC,RD,0.4695,0.7415,0.5864,0.4184,0.0027,0.6027
Scenario D (Joint Dataset),Logistic Regression,EDA,0.5053,0.6815,0.5047,0.5586,0.0041,0.4572
Scenario D (Joint Dataset),Linear SVC,EDA,0.4798,0.7406,0.5898,0.4307,0.0027,0.5999
