Scenario,Model,Strategy,Macro_F1,Micro_F1,Precision_Macro,Recall_Macro,Hamming_Loss,Exact_Match_Acc
Scenario A (CTI-to-MITRE),Logistic Regression,NO_AUG,0.4978,0.653,0.522,0.5359,0.0041,0.4617
Scenario A (CTI-to-MITRE),Linear SVC,NO_AUG,0.5071,0.7061,0.6456,0.4487,0.0029,0.5733
Scenario A (CTI-to-MITRE),Logistic Regression,SR,0.5056,0.6604,0.5398,0.5312,0.004,0.4648
Scenario A (CTI-to-MITRE),Linear SVC,SR,0.5044,0.7056,0.6437,0.4438,0.0028,0.5737
Scenario A (CTI-to-MITRE),Logistic Regression,RI,0.5052,0.6596,0.5382,0.5301,0.004,0.4609
Scenario A (CTI-to-MITRE),Linear SVC,RI,0.5047,0.705,0.6429,0.444,0.0028,0.5721
Scenario A (CTI-to-MITRE),Logistic Regression,RS,0.51,0.659,0.5352,0.5431,0.004,0.4598
Scenario A (CTI-to-MITRE),Linear SVC,RS,0.504,0.7023,0.6476,0.4418,0.0029,0.5687
Scenario A (CTI-to-MITRE),Logistic Regression,RD,0.5068,0.6589,0.5381,0.5341,0.004,0.4617
Scenario A (CTI-to-MITRE),Linear SVC,RD,0.5046,0.7048,0.6466,0.4435,0.0028,0.5706
Scenario A (CTI-to-MITRE),Logistic Regression,EDA,0.5112,0.6595,0.5439,0.5416,0.004,0.4602
Scenario A (CTI-to-MITRE),Linear SVC,EDA,0.5109,0.7034,0.6508,0.4505,0.0029,0.5702
