Scenario,Model,Strategy,Macro_F1,Micro_F1,Precision_Macro,Recall_Macro,Hamming_Loss,Exact_Match_Acc
Scenario D (Joint Dataset),Logistic Regression,NO_AUG,0.487,0.6806,0.4894,0.5429,0.0041,0.4684
Scenario D (Joint Dataset),Linear SVC,NO_AUG,0.467,0.7462,0.5727,0.4204,0.0027,0.6078
Scenario D (Joint Dataset),Logistic Regression,SR,0.4925,0.6836,0.5078,0.5291,0.0041,0.4666
Scenario D (Joint Dataset),Linear SVC,SR,0.469,0.7421,0.5851,0.4174,0.0027,0.6031
Scenario D (Joint Dataset),Logistic Regression,RI,0.4866,0.683,0.4981,0.5278,0.0041,0.4621
Scenario D (Joint Dataset),Linear SVC,RI,0.4665,0.7412,0.5815,0.4157,0.0027,0.6022
Scenario D (Joint Dataset),Logistic Regression,RS,0.4979,0.6823,0.5029,0.5489,0.0041,0.4612
Scenario D (Joint Dataset),Linear SVC,RS,0.4818,0.7429,0.5947,0.4304,0.0027,0.6017
Scenario D (Joint Dataset),Logistic Regression,RD,0.4888,0.6824,0.4962,0.5296,0.0041,0.4631
Scenario D (Joint Dataset),Linear SVC,RD,0.4695,0.7415,0.5864,0.4184,0.0027,0.6027
Scenario D (Joint Dataset),Logistic Regression,EDA,0.5053,0.6815,0.5047,0.5586,0.0041,0.4572
Scenario D (Joint Dataset),Linear SVC,EDA,0.4798,0.7406,0.5898,0.4307,0.0027,0.5999
