Label,Tier,Train_Count,Precision,Recall,F1_Score
T1006,Tail (<30),4,0.0,0.0,0.0
T1039,Tail (<30),11,0.0,0.0,0.0
T1072,Tail (<30),8,0.0,0.0,0.0
T1092,Tail (<30),5,0.0,0.0,0.0
T1119,Medium (30-99),38,0.0,0.0,0.0
T1199,Tail (<30),9,0.0,0.0,0.0
T1200,Tail (<30),3,0.0,0.0,0.0
T1201,Tail (<30),8,0.0,0.0,0.0
T1202,Tail (<30),4,0.0,0.0,0.0
T1207,Tail (<30),6,0.0,0.0,0.0
T1210,Tail (<30),18,0.0,0.0,0.0
T1211,Tail (<30),5,0.0,0.0,0.0
T1212,Tail (<30),4,0.0,0.0,0.0
T1222,Medium (30-99),30,0.0,0.0,0.0
T1495,Tail (<30),4,0.0,0.0,0.0
T1496,Tail (<30),14,0.0,0.0,0.0
T1498,Tail (<30),26,0.0,0.0,0.0
T1499,Medium (30-99),39,0.0,0.0,0.0
T1525,Tail (<30),5,0.0,0.0,0.0
T1526,Tail (<30),5,0.0,0.0,0.0
T1530,Tail (<30),7,0.0,0.0,0.0
T1531,Tail (<30),4,0.0,0.0,0.0
T1534,Tail (<30),8,0.0,0.0,0.0
T1535,Tail (<30),6,0.0,0.0,0.0
T1537,Tail (<30),3,0.0,0.0,0.0
T1538,Tail (<30),3,0.0,0.0,0.0
T1554,Tail (<30),13,0.0,0.0,0.0
T1563,Tail (<30),18,0.0,0.0,0.0
T1570,Tail (<30),16,0.0,0.0,0.0
T1580,Tail (<30),8,0.0,0.0,0.0
T1594,Tail (<30),5,0.0,0.0,0.0
T1602,Tail (<30),14,0.0,0.0,0.0
T1610,Tail (<30),7,0.0,0.0,0.0
T1611,Tail (<30),9,0.0,0.0,0.0
T1613,Tail (<30),6,0.0,0.0,0.0
T1615,Tail (<30),6,0.0,0.0,0.0
T1619,Tail (<30),4,0.0,0.0,0.0
T1620,Tail (<30),8,0.0,0.0,0.0
