Config ID,Alpha,Val Macro F1,Val Major F1,Val Medium F1,Val Tail F1,Val ZeroF1,Test Macro F1,Test ZeroF1,Delta Val F1,Delta Test F1,Time (s)
Config_0,0.0,0.4549,0.7871,0.5799,0.3055,63,0.4937,40,0.0,0.0,17.71
Config_1,0.01,0.4571,0.7888,0.589,0.3042,63,0.4898,39,0.0022,-0.0039,57.12
Config_2,0.02,0.4634,0.7918,0.5889,0.3146,62,0.4938,39,0.0085,0.0,62.43
Config_3,0.03,0.4649,0.7878,0.5864,0.3197,61,0.4861,40,0.01,-0.0077,53.31
Config_4,0.04,0.4542,0.7891,0.5823,0.3025,63,0.4889,39,-0.0007,-0.0048,57.63
Config_5,0.05,0.4568,0.7897,0.5784,0.3089,62,0.4858,41,0.0019,-0.0079,56.43
Config_6,0.06,0.459,0.7888,0.5865,0.3089,63,0.4847,40,0.0041,-0.009,47.17
Config_7,0.07,0.4613,0.7859,0.5882,0.3127,62,0.4919,38,0.0064,-0.0019,47.49
Config_8,0.08,0.4711,0.7892,0.5841,0.3316,60,0.4946,38,0.0162,0.0008,43.2
Config_9,0.09,0.4634,0.7881,0.5849,0.3177,62,0.4897,40,0.0085,-0.0041,42.2
Config_10,0.1,0.4647,0.7899,0.5866,0.3187,62,0.4866,40,0.0098,-0.0071,41.37
Config_11,0.11,0.4647,0.7841,0.582,0.3224,61,0.4875,41,0.0098,-0.0062,40.84
Config_12,0.12,0.4745,0.7878,0.5899,0.3347,60,0.4886,40,0.0195,-0.0051,41.58
Config_13,0.13,0.4734,0.7876,0.5906,0.3325,59,0.4922,39,0.0185,-0.0015,39.58
Config_14,0.14,0.4706,0.7873,0.6003,0.3227,60,0.4954,38,0.0157,0.0016,38.93
Config_15,0.15,0.468,0.7875,0.579,0.329,59,0.4917,40,0.0131,-0.002,40.03
Config_16,0.16,0.4631,0.7858,0.5912,0.3145,60,0.4955,39,0.0082,0.0017,38.78
Config_17,0.17,0.4666,0.7869,0.5954,0.3183,60,0.5026,37,0.0117,0.0089,39.93
Config_18,0.18,0.4629,0.7892,0.5888,0.3145,61,0.4947,39,0.008,0.001,39.01
Config_19,0.19,0.4588,0.7879,0.5873,0.3082,62,0.5062,37,0.0038,0.0124,37.55
Config_20,0.2,0.4668,0.7881,0.5909,0.3206,62,0.4994,38,0.0119,0.0057,38.67
