Config ID,Alpha,Val Macro F1,Val Major F1,Val Medium F1,Val Tail F1,Val ZeroF1,Test Macro F1,Test ZeroF1,Delta Val F1,Delta Test F1,Time (s)
Config_0,0.0,0.5083,0.7904,0.616,0.3405,56,0.4794,41,0.0,0.0,41.64
Config_1,0.01,0.5175,0.7912,0.6217,0.355,54,0.4849,40,0.0092,0.0055,112.01
Config_2,0.02,0.5113,0.7917,0.6226,0.3428,55,0.4779,41,0.003,-0.0015,110.08
Config_3,0.03,0.5179,0.7939,0.6172,0.357,54,0.4794,42,0.0095,-0.0,112.45
Config_4,0.04,0.5151,0.7904,0.6193,0.352,55,0.483,40,0.0068,0.0036,111.37
Config_5,0.05,0.5178,0.7938,0.6241,0.3533,54,0.4838,41,0.0095,0.0044,108.9
Config_6,0.06,0.5081,0.7915,0.6107,0.3424,57,0.4847,40,-0.0002,0.0053,120.99
Config_7,0.07,0.5159,0.7926,0.6044,0.3603,55,0.4863,39,0.0076,0.0069,107.95
Config_8,0.08,0.5132,0.7945,0.6091,0.3519,55,0.4814,42,0.0049,0.002,110.15
Config_9,0.09,0.5076,0.7917,0.6042,0.345,55,0.4812,43,-0.0007,0.0018,104.04
Config_10,0.1,0.5105,0.7907,0.6052,0.3501,55,0.4826,41,0.0022,0.0032,104.07
Config_11,0.11,0.5165,0.7909,0.6071,0.3607,52,0.488,39,0.0082,0.0086,105.58
Config_12,0.12,0.5152,0.7895,0.6231,0.3506,55,0.4855,40,0.0069,0.0061,140.38
Config_13,0.13,0.5146,0.7925,0.6115,0.354,54,0.4935,39,0.0063,0.0141,103.77
Config_14,0.14,0.5127,0.7917,0.6188,0.3469,54,0.4877,38,0.0044,0.0083,104.68
Config_15,0.15,0.5228,0.7903,0.6136,0.3693,53,0.4944,38,0.0145,0.015,106.62
Config_16,0.16,0.513,0.7938,0.6109,0.3511,55,0.495,36,0.0047,0.0156,106.87
Config_17,0.17,0.5184,0.7923,0.6154,0.3592,54,0.498,39,0.0101,0.0186,115.39
Config_18,0.18,0.5247,0.7936,0.6309,0.3631,52,0.4925,38,0.0164,0.0131,135.07
Config_19,0.19,0.5273,0.7919,0.6341,0.3668,52,0.4923,38,0.019,0.0129,180.52
Config_20,0.2,0.5365,0.7879,0.6326,0.3862,49,0.4907,37,0.0282,0.0113,121.11
Config_21,0.21,0.5544,0.7924,0.6286,0.4209,47,0.4971,36,0.0461,0.0177,120.23
Config_22,0.22,0.5437,0.7931,0.6201,0.4047,48,0.4987,36,0.0354,0.0193,123.59
Config_23,0.23,0.5308,0.7915,0.6198,0.3808,52,0.4994,37,0.0224,0.02,123.24
Config_24,0.24,0.5358,0.797,0.6213,0.3879,52,0.4966,37,0.0275,0.0172,124.21
Config_25,0.25,0.5387,0.7932,0.6094,0.4005,52,0.4925,39,0.0304,0.0131,123.64
Config_26,0.26,0.539,0.7906,0.6245,0.3943,51,0.4929,41,0.0307,0.0135,124.51
Config_27,0.27,0.5433,0.7937,0.6213,0.403,50,0.4959,39,0.035,0.0164,136.14
Config_28,0.28,0.5476,0.7957,0.61,0.4162,48,0.4871,41,0.0393,0.0077,125.06
Config_29,0.29,0.5433,0.7948,0.6143,0.4063,49,0.491,42,0.035,0.0116,124.54
Config_30,0.3,0.5318,0.7941,0.6158,0.3839,51,0.4854,41,0.0235,0.006,127.29
