,precision,recall,f1-score,support
T0810,0.0625,0.125,0.08333333333333333,8.0
T0813,0.0,0.0,0.0,4.0
T0835,0.0,0.0,0.0,7.0
T0846,0.0,0.0,0.0,3.0
T0851,0.0,0.0,0.0,2.0
T0853,0.0,0.0,0.0,2.0
T0856,0.0,0.0,0.0,4.0
T0859,0.16,0.4,0.22857142857142856,10.0
T0884,0.0,0.0,0.0,3.0
T1001,0.0,0.0,0.0,8.0
T1003,0.0,0.0,0.0,21.0
T1005,0.0,0.0,0.0,26.0
T1006,0.0,0.0,0.0,4.0
T1020,0.0,0.0,0.0,7.0
T1021,0.1111111111111111,0.09090909090909091,0.1,22.0
T1027,0.0,0.0,0.0,28.0
T1036,0.0,0.0,0.0,13.0
T1037,0.0,0.0,0.0,2.0
T1040,0.0,0.0,0.0,47.0
T1041,0.0,0.0,0.0,11.0
T1046,0.0,0.0,0.0,14.0
T1047,0.0,0.0,0.0,9.0
T1048,0.0,0.0,0.0,6.0
T1053,0.0625,0.03333333333333333,0.043478260869565216,30.0
T1055,0.0,0.0,0.0,26.0
T1056,0.15384615384615385,0.04081632653061224,0.06451612903225806,49.0
T1057,0.0,0.0,0.0,2.0
T1059,0.11764705882352941,0.028985507246376812,0.046511627906976744,138.0
T1068,0.047619047619047616,0.038461538461538464,0.0425531914893617,26.0
T1069,0.0,0.0,0.0,4.0
T1070,0.05263157894736842,0.05263157894736842,0.05263157894736842,19.0
T1071,0.0,0.0,0.0,48.0
T1078,0.0,0.0,0.0,49.0
T1081,0.0,0.0,0.0,5.0
T1082,0.0,0.0,0.0,6.0
T1083,0.013888888888888888,0.2,0.025974025974025976,5.0
T1086,0.0,0.0,0.0,4.0
T1087,0.0,0.0,0.0,14.0
T1090,0.0,0.0,0.0,5.0
T1091,0.0,0.0,0.0,2.0
T1098,0.0,0.0,0.0,5.0
T1102,0.0,0.0,0.0,3.0
T1105,0.0,0.0,0.0,11.0
T1110,0.14814814814814814,0.0851063829787234,0.10810810810810811,47.0
T1112,0.0,0.0,0.0,2.0
T1113,0.0,0.0,0.0,6.0
T1114,0.0,0.0,0.0,8.0
T1115,0.0,0.0,0.0,4.0
T1119,0.0,0.0,0.0,5.0
T1123,0.0,0.0,0.0,13.0
T1125,0.08695652173913043,0.6666666666666666,0.15384615384615385,3.0
T1129,0.0,0.0,0.0,2.0
T1133,0.0,0.0,0.0,4.0
T1134,0.0,0.0,0.0,5.0
T1136,0.0,0.0,0.0,3.0
T1140,0.0,0.0,0.0,5.0
T1176,0.05,0.08333333333333333,0.0625,12.0
T1185,0.0,0.0,0.0,7.0
T1189,0.07692307692307693,0.05714285714285714,0.06557377049180328,35.0
T1190,0.06666666666666667,0.027777777777777776,0.0392156862745098,36.0
T1195,0.11594202898550725,0.16,0.13445378151260504,50.0
T1200,0.0,0.0,0.0,30.0
T1201,0.0,0.0,0.0,16.0
T1202,0.0,0.0,0.0,3.0
T1203,0.0,0.0,0.0,142.0
T1204,0.125,0.02857142857142857,0.046511627906976744,70.0
T1205,0.0,0.0,0.0,4.0
T1207,0.0,0.0,0.0,3.0
T1208,0.0,0.0,0.0,15.0
T1210,0.0,0.0,0.0,22.0
T1211,0.0,0.0,0.0,6.0
T1212,0.0,0.0,0.0,2.0
T1213,0.0,0.0,0.0,9.0
T1214,0.07407407407407407,0.25,0.11428571428571428,8.0
T1218,0.0,0.0,0.0,16.0
T1222,0.0,0.0,0.0,3.0
T1412,0.0,0.0,0.0,2.0
T1420,0.0,0.0,0.0,3.0
T1421,0.0,0.0,0.0,6.0
T1429,0.0,0.0,0.0,2.0
T1430,0.0,0.0,0.0,7.0
T1431,0.0,0.0,0.0,4.0
T1437,0.0,0.0,0.0,2.0
T1476,0.0,0.0,0.0,3.0
T1485,0.0,0.0,0.0,4.0
T1486,0.0,0.0,0.0,8.0
T1490,0.0,0.0,0.0,2.0
T1491,0.0,0.0,0.0,4.0
T1495,0.0,0.0,0.0,8.0
T1496,0.0,0.0,0.0,17.0
T1497,0.0,0.0,0.0,4.0
T1498,0.038461538461538464,0.058823529411764705,0.046511627906976744,17.0
T1499,0.0,0.0,0.0,99.0
T1505,0.04,0.125,0.06060606060606061,8.0
T1525,0.0,0.0,0.0,3.0
T1528,0.0,0.0,0.0,3.0
T1530,0.0,0.0,0.0,36.0
T1531,0.0,0.0,0.0,6.0
T1537,0.0,0.0,0.0,5.0
T1539,0.0,0.0,0.0,6.0
T1542,0.024390243902439025,0.04,0.030303030303030304,25.0
T1543,0.0,0.0,0.0,11.0
T1546,0.0,0.0,0.0,20.0
T1547,0.0,0.0,0.0,16.0
