,precision,recall,f1-score,support
T0810,0.5454545454545454,0.75,0.631578947368421,8.0
T0813,0.16666666666666666,0.25,0.2,4.0
T0835,0.7777777777777778,1.0,0.875,7.0
T0846,0.0,0.0,0.0,3.0
T0851,0.0,0.0,0.0,2.0
T0853,0.3333333333333333,0.5,0.4,2.0
T0856,0.6,0.75,0.6666666666666666,4.0
T0859,0.9,0.9,0.9,10.0
T0884,0.0,0.0,0.0,3.0
T1001,0.1,0.125,0.1111111111111111,8.0
T1003,0.5,0.47619047619047616,0.4878048780487805,21.0
T1005,0.5277777777777778,0.7307692307692307,0.6129032258064516,26.0
T1006,0.5,0.75,0.6,4.0
T1020,0.14285714285714285,0.14285714285714285,0.14285714285714285,7.0
T1021,0.5714285714285714,0.7272727272727273,0.64,22.0
T1027,0.40540540540540543,0.5357142857142857,0.46153846153846156,28.0
T1036,0.4444444444444444,0.3076923076923077,0.36363636363636365,13.0
T1037,0.0,0.0,0.0,2.0
T1040,0.5333333333333333,0.6808510638297872,0.5981308411214953,47.0
T1041,0.42857142857142855,0.5454545454545454,0.48,11.0
T1046,0.375,0.42857142857142855,0.4,14.0
T1047,0.6363636363636364,0.7777777777777778,0.7,9.0
T1048,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
T1053,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0
T1055,0.3870967741935484,0.46153846153846156,0.42105263157894735,26.0
T1056,0.6904761904761905,0.5918367346938775,0.6373626373626373,49.0
T1057,1.0,0.5,0.6666666666666666,2.0
T1059,0.6481481481481481,0.5072463768115942,0.5691056910569106,138.0
T1068,0.4,0.5384615384615384,0.45901639344262296,26.0
T1069,0.0,0.0,0.0,4.0
T1070,0.3333333333333333,0.3157894736842105,0.32432432432432434,19.0
T1071,0.5416666666666666,0.5416666666666666,0.5416666666666666,48.0
T1078,0.44680851063829785,0.42857142857142855,0.4375,49.0
T1081,0.5,0.2,0.2857142857142857,5.0
T1082,0.0,0.0,0.0,6.0
T1083,0.5,0.6,0.5454545454545454,5.0
T1086,0.0,0.0,0.0,4.0
T1087,0.09090909090909091,0.07142857142857142,0.08,14.0
T1090,0.0,0.0,0.0,5.0
T1091,0.0,0.0,0.0,2.0
T1098,0.0,0.0,0.0,5.0
T1102,1.0,0.3333333333333333,0.5,3.0
T1105,0.4444444444444444,0.36363636363636365,0.4,11.0
T1110,0.5660377358490566,0.6382978723404256,0.6,47.0
T1112,0.0,0.0,0.0,2.0
T1113,0.5,0.5,0.5,6.0
T1114,0.3333333333333333,0.5,0.4,8.0
T1115,0.5,0.5,0.5,4.0
T1119,0.0,0.0,0.0,5.0
T1123,0.5555555555555556,0.7692307692307693,0.6451612903225806,13.0
T1125,0.4,0.6666666666666666,0.5,3.0
T1129,0.0,0.0,0.0,2.0
T1133,0.16666666666666666,0.25,0.2,4.0
T1134,1.0,0.6,0.75,5.0
T1136,0.0,0.0,0.0,3.0
T1140,0.0,0.0,0.0,5.0
T1176,0.7692307692307693,0.8333333333333334,0.8,12.0
T1185,0.25,0.14285714285714285,0.18181818181818182,7.0
T1189,0.627906976744186,0.7714285714285715,0.6923076923076923,35.0
