,precision,recall,f1-score,support
T0810,0.46153846153846156,0.75,0.5714285714285714,8.0
T0813,0.18181818181818182,0.5,0.26666666666666666,4.0
T0835,0.875,1.0,0.9333333333333333,7.0
T0846,0.0,0.0,0.0,3.0
T0851,0.0,0.0,0.0,2.0
T0853,0.3333333333333333,0.5,0.4,2.0
T0856,0.4,0.5,0.4444444444444444,4.0
T0859,0.8181818181818182,0.9,0.8571428571428571,10.0
T0884,0.0,0.0,0.0,3.0
T1001,0.125,0.5,0.2,8.0
T1003,1.0,0.3333333333333333,0.5,21.0
T1005,0.52,0.5,0.5098039215686274,26.0
T1006,0.5,0.75,0.6,4.0
T1020,0.0,0.0,0.0,7.0
T1021,0.48,0.5454545454545454,0.5106382978723404,22.0
T1027,0.42857142857142855,0.42857142857142855,0.42857142857142855,28.0
T1036,0.25,0.07692307692307693,0.11764705882352941,13.0
T1037,0.0,0.0,0.0,2.0
T1040,0.4772727272727273,0.44680851063829785,0.46153846153846156,47.0
T1041,0.2857142857142857,0.36363636363636365,0.32,11.0
T1046,0.24324324324324326,0.6428571428571429,0.35294117647058826,14.0
T1047,0.5333333333333333,0.8888888888888888,0.6666666666666666,9.0
T1048,0.07692307692307693,0.16666666666666666,0.10526315789473684,6.0
T1053,0.6774193548387096,0.7,0.6885245901639344,30.0
T1055,0.3448275862068966,0.38461538461538464,0.36363636363636365,26.0
T1056,0.7272727272727273,0.32653061224489793,0.4507042253521127,49.0
T1057,1.0,0.5,0.6666666666666666,2.0
T1059,0.8367346938775511,0.2971014492753623,0.4385026737967914,138.0
T1068,0.28,0.5384615384615384,0.3684210526315789,26.0
T1069,0.0,0.0,0.0,4.0
T1070,0.3157894736842105,0.3157894736842105,0.3157894736842105,19.0
T1071,0.6521739130434783,0.3125,0.4225352112676056,48.0
T1078,0.6666666666666666,0.12244897959183673,0.20689655172413793,49.0
T1081,0.0,0.0,0.0,5.0
T1082,0.06666666666666667,0.16666666666666666,0.09523809523809523,6.0
T1083,0.2222222222222222,0.4,0.2857142857142857,5.0
T1086,0.2,0.25,0.2222222222222222,4.0
T1087,0.0,0.0,0.0,14.0
T1090,0.08333333333333333,0.2,0.11764705882352941,5.0
T1091,0.3333333333333333,1.0,0.5,2.0
T1098,0.07692307692307693,0.4,0.12903225806451613,5.0
T1102,1.0,0.6666666666666666,0.8,3.0
T1105,0.6666666666666666,0.36363636363636365,0.47058823529411764,11.0
T1110,0.5471698113207547,0.6170212765957447,0.58,47.0
T1112,0.0,0.0,0.0,2.0
T1113,0.36363636363636365,0.6666666666666666,0.47058823529411764,6.0
T1114,0.23529411764705882,0.5,0.32,8.0
T1115,0.125,0.25,0.16666666666666666,4.0
T1119,0.0,0.0,0.0,5.0
T1123,0.42857142857142855,0.6923076923076923,0.5294117647058824,13.0
T1125,0.4,0.6666666666666666,0.5,3.0
T1129,0.0,0.0,0.0,2.0
T1133,0.2,0.25,0.2222222222222222,4.0
T1134,0.42857142857142855,0.6,0.5,5.0
T1136,0.25,0.3333333333333333,0.2857142857142857,3.0
T1140,0.0,0.0,0.0,5.0
T1176,0.5882352941176471,0.8333333333333334,0.6896551724137931,12.0
T1185,0.25,0.2857142857142857,0.26666666666666666,7.0
T1189,0.43333333333333335,0.7428571428571429,0.5473684210526316,35.0
T1190,0.25862068965517243,0.4166666666666667,0.3191489361702128,36.0
T1195,0.358695652173913,0.66,0.4647887323943662,50.0
T1200,0.32,0.26666666666666666,0.2909090909090909,30.0
T1201,0.32,0.5,0.3902439024390244,16.0
T1202,1.0,0.6666666666666666,0.8,3.0
T1203,0.6515151515151515,0.3028169014084507,0.41346153846153844,142.0
T1204,0.3333333333333333,0.15714285714285714,0.21359223300970873,70.0
T1205,0.0,0.0,0.0,4.0
T1207,0.0,0.0,0.0,3.0
T1208,0.4827586206896552,0.9333333333333333,0.6363636363636364,15.0
T1210,0.3,0.13636363636363635,0.1875,22.0
T1211,0.0,0.0,0.0,6.0
T1212,0.5,0.5,0.5,2.0
T1213,0.0,0.0,0.0,9.0
T1214,0.42105263157894735,1.0,0.5925925925925926,8.0
T1218,0.5,0.625,0.5555555555555556,16.0
T1222,0.25,0.3333333333333333,0.2857142857142857,3.0
T1412,0.0,0.0,0.0,2.0
T1420,0.0,0.0,0.0,3.0
T1421,0.03571428571428571,0.16666666666666666,0.058823529411764705,6.0
T1429,0.2,0.5,0.2857142857142857,2.0
T1430,0.2,0.2857142857142857,0.23529411764705882,7.0
T1431,0.8,1.0,0.8888888888888888,4.0
T1437,1.0,1.0,1.0,2.0
T1476,0.2,0.6666666666666666,0.3076923076923077,3.0
T1485,0.0,0.0,0.0,4.0
T1486,0.4117647058823529,0.875,0.56,8.0
T1490,0.5,0.5,0.5,2.0
T1491,0.0,0.0,0.0,4.0
T1495,0.14814814814814814,0.5,0.22857142857142856,8.0
T1496,0.6428571428571429,0.5294117647058824,0.5806451612903226,17.0
T1497,0.6666666666666666,0.5,0.5714285714285714,4.0
T1498,0.3333333333333333,0.8823529411764706,0.4838709677419355,17.0
T1499,0.7894736842105263,0.30303030303030304,0.43795620437956206,99.0
T1505,0.17647058823529413,0.375,0.24,8.0
T1525,0.0,0.0,0.0,3.0
T1528,0.2,0.3333333333333333,0.25,3.0
T1530,0.5652173913043478,0.3611111111111111,0.4406779661016949,36.0
T1531,0.11764705882352941,0.3333333333333333,0.17391304347826086,6.0
T1537,0.11764705882352941,0.4,0.18181818181818182,5.0
T1539,0.125,0.5,0.2,6.0
T1542,0.2948717948717949,0.92,0.44660194174757284,25.0
T1543,0.3333333333333333,0.2727272727272727,0.3,11.0
T1546,0.42857142857142855,0.15,0.2222222222222222,20.0
T1547,0.3333333333333333,0.6875,0.4489795918367347,16.0
T1548,0.13333333333333333,0.13333333333333333,0.13333333333333333,15.0
T1550,0.10714285714285714,0.375,0.16666666666666666,8.0
T1552,0.6826923076923077,0.71,0.696078431372549,100.0
T1553,0.0,0.0,0.0,6.0
T1554,0.16666666666666666,0.375,0.23076923076923078,8.0
T1555,0.6,0.46153846153846156,0.5217391304347826,13.0
T1556,0.5,0.04,0.07407407407407407,25.0
T1557,0.625,0.20833333333333334,0.3125,144.0
T1560,0.0,0.0,0.0,2.0
T1562,0.3333333333333333,0.17391304347826086,0.22857142857142856,23.0
T1564,0.2222222222222222,0.2857142857142857,0.25,7.0
T1565,0.0,0.0,0.0,42.0
T1566,0.5555555555555556,0.5882352941176471,0.5714285714285714,68.0
T1569,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
T1572,0.3333333333333333,0.5,0.4,2.0
T1573,0.5,0.5,0.5,2.0
T1574,0.6875,0.6111111111111112,0.6470588235294118,18.0
T1583,0.7142857142857143,0.29411764705882354,0.4166666666666667,17.0
T1584,0.3333333333333333,0.25,0.2857142857142857,8.0
T1585,0.3125,0.5263157894736842,0.39215686274509803,19.0
T1586,0.0,0.0,0.0,10.0
T1587,0.3333333333333333,0.14285714285714285,0.2,7.0
T1588,0.0,0.0,0.0,3.0
T1589,0.1111111111111111,0.06666666666666667,0.08333333333333333,15.0
T1590,0.16666666666666666,0.2,0.18181818181818182,5.0
T1591,0.0,0.0,0.0,2.0
T1592,0.375,0.125,0.1875,24.0
T1595,1.0,0.03225806451612903,0.0625,31.0
T1596,0.0,0.0,0.0,3.0
T1598,1.0,0.5,0.6666666666666666,2.0
T1600,0.5609756097560976,0.4791666666666667,0.5168539325842697,48.0
T1601,0.4166666666666667,0.19230769230769232,0.2631578947368421,26.0
T1602,0.2916666666666667,0.4117647058823529,0.34146341463414637,17.0
T1603,0.2222222222222222,1.0,0.36363636363636365,2.0
T1606,0.6906474820143885,0.7272727272727273,0.7084870848708487,132.0
T1608,0.14285714285714285,0.058823529411764705,0.08333333333333333,17.0
T1609,0.4666666666666667,0.12727272727272726,0.2,55.0
T1611,0.14583333333333334,0.4375,0.21875,16.0
T1614,0.3333333333333333,0.5,0.4,2.0
T1615,0.0,0.0,0.0,2.0
T1621,0.07142857142857142,0.2,0.10526315789473684,5.0
T1622,0.375,0.6666666666666666,0.48,9.0
T1630,0.6666666666666666,1.0,0.8,2.0
T1631,0.125,0.5714285714285714,0.20512820512820512,7.0
T1636,0.16666666666666666,0.25,0.2,4.0
T1640,0.2222222222222222,1.0,0.36363636363636365,2.0
T1642,0.15625,1.0,0.2702702702702703,5.0
T1646,0.0,0.0,0.0,2.0
T1647,0.02857142857142857,0.14285714285714285,0.047619047619047616,7.0
T1648,0.0,0.0,0.0,2.0
accuracy,0.3919483478921382,0.3919483478921382,0.3919483478921382,0.3919483478921382
macro avg,0.3241221765930769,0.37605898159501944,0.30953880158325675,2633.0
weighted avg,0.49020691846022485,0.3919483478921382,0.38731426643718647,2633.0
