true_label,predicted_label,error_count
T1203,T1068,14
T1557,T1421,11
T1499,T1498,11
T1059,T1195,8
T1203,T1631,8
T1071,T1048,8
T1557,T1040,7
T1606,T1082,7
T1078,T1098,7
T1565,T1606,6
T1203,T1204,6
T1203,T1647,6
T1204,T1189,6
T1600,T1495,6
T1595,T1203,6
T1059,T1505,6
T1595,T1046,6
T1601,T1542,5
T1204,T1566,5
T1059,T1027,5
T1592,T1208,5
T1059,T1190,5
T1606,T1550,5
T1606,T1611,5
T1608,T1195,5
T1059,T1204,5
T1059,T1542,5
T1557,T1189,5
T1499,T1606,5
T1557,T1642,5
T1499,T1203,5
T1021,T1046,4
T1499,T1001,4
T1565,T1642,4
T1565,T1647,4
T1203,T1059,4
T1557,T1550,4
T1059,T1053,4
T1059,T1189,4
T1059,T1055,4
T1203,T1195,4
T1204,T1195,4
T1204,T1486,4
T1562,T1098,4
T1566,T1585,4
T1609,T1195,4
T1204,T1027,4
T1557,T1498,4
T1557,T1585,4
T1557,T1566,4
T1530,T1552,4
T1078,T1550,4
T1556,T1566,4
T1078,T1552,4
T1005,T1602,4
T1557,T1190,4
T1557,T1195,4
T1554,T1195,4
T1070,T1547,3
T1190,T1195,3
T1608,T1542,3
T1078,T1134,3
T1055,T1068,3
T1543,T1542,3
T1499,T1421,3
T1546,T1548,3
T1566,T1647,3
T1056,T1566,3
T1556,T1195,3
T1557,T1001,3
T1041,T1552,3
T1059,T1047,3
T1195,T1554,3
T1552,T1081,3
T1556,T1631,3
T1499,T1542,3
T1200,T1091,3
T1601,T1602,3
T1203,T1566,3
T1040,T1110,3
T1606,T1189,3
T1056,T1115,3
T1586,T1606,3
T1204,T1200,3
T1595,T1190,3
T1078,T1110,3
T1499,T1201,3
T1059,T1547,3
T1565,T1531,3
T1557,T1200,3
T1609,T1606,3
T1609,T1589,3
T1609,T1554,3
T1059,T1140,3
T1059,T1218,3
T1027,T1055,3
T1609,T1552,3
T1189,T1204,3
T1530,T1642,3
T1557,T1631,3
T1600,T1201,3
T1552,T1110,3
T1557,T1606,3
T1557,T1609,3
T1499,T1600,3
T1203,T1190,3
T1203,T1201,3
T1071,T1539,3
T1552,T1550,3
T1078,T1021,2
T1589,T1110,2
T1557,T1602,2
T1204,T1547,2
T1204,T1542,2
T1587,T1606,2
T1078,T0810,2
T1552,T1542,2
