,precision,recall,f1-score,support
T0810,0.0,0.0,0.0,8.0
T0813,0.0,0.0,0.0,4.0
T0835,0.0,0.0,0.0,7.0
T0846,0.0,0.0,0.0,3.0
T0851,0.0,0.0,0.0,2.0
T0853,0.0,0.0,0.0,2.0
T0856,0.0,0.0,0.0,4.0
T0859,0.0,0.0,0.0,10.0
T0884,0.0,0.0,0.0,3.0
T1001,0.0,0.0,0.0,8.0
T1003,0.0,0.0,0.0,21.0
T1005,0.0,0.0,0.0,26.0
T1006,0.0,0.0,0.0,4.0
T1020,0.0,0.0,0.0,7.0
T1021,0.0,0.0,0.0,22.0
T1027,0.0,0.0,0.0,28.0
T1036,0.0,0.0,0.0,13.0
T1037,0.0,0.0,0.0,2.0
T1040,0.0,0.0,0.0,47.0
T1041,0.0,0.0,0.0,11.0
T1046,0.0,0.0,0.0,14.0
T1047,0.0,0.0,0.0,9.0
T1048,0.0,0.0,0.0,6.0
T1053,0.3333333333333333,0.03333333333333333,0.06060606060606061,30.0
T1055,0.0,0.0,0.0,26.0
T1056,1.0,0.10204081632653061,0.18518518518518517,49.0
T1057,0.0,0.0,0.0,2.0
T1059,0.17146974063400577,0.8623188405797102,0.2860576923076923,138.0
T1068,0.0,0.0,0.0,26.0
T1069,0.0,0.0,0.0,4.0
T1070,0.0,0.0,0.0,19.0
T1071,0.8888888888888888,0.16666666666666666,0.2807017543859649,48.0
T1078,0.0,0.0,0.0,49.0
T1081,0.0,0.0,0.0,5.0
T1082,0.0,0.0,0.0,6.0
T1083,0.0,0.0,0.0,5.0
T1086,0.0,0.0,0.0,4.0
T1087,0.0,0.0,0.0,14.0
T1090,0.0,0.0,0.0,5.0
T1091,0.0,0.0,0.0,2.0
T1098,0.0,0.0,0.0,5.0
T1102,0.0,0.0,0.0,3.0
T1105,0.0,0.0,0.0,11.0
T1110,0.8421052631578947,0.3404255319148936,0.48484848484848486,47.0
T1112,0.0,0.0,0.0,2.0
T1113,0.0,0.0,0.0,6.0
T1114,0.0,0.0,0.0,8.0
T1115,0.0,0.0,0.0,4.0
T1119,0.0,0.0,0.0,5.0
T1123,0.0,0.0,0.0,13.0
T1125,0.0,0.0,0.0,3.0
T1129,0.0,0.0,0.0,2.0
T1133,0.0,0.0,0.0,4.0
T1134,0.0,0.0,0.0,5.0
T1136,0.0,0.0,0.0,3.0
T1140,0.0,0.0,0.0,5.0
T1176,0.0,0.0,0.0,12.0
T1185,0.0,0.0,0.0,7.0
T1189,1.0,0.08571428571428572,0.15789473684210525,35.0
T1190,0.0,0.0,0.0,36.0
T1195,0.8636363636363636,0.38,0.5277777777777778,50.0
T1200,0.0,0.0,0.0,30.0
T1201,0.0,0.0,0.0,16.0
T1202,0.0,0.0,0.0,3.0
T1203,0.2625,0.5915492957746479,0.36363636363636365,142.0
T1204,0.5,0.08571428571428572,0.14634146341463414,70.0
T1205,0.0,0.0,0.0,4.0
T1207,0.0,0.0,0.0,3.0
T1208,0.0,0.0,0.0,15.0
T1210,0.0,0.0,0.0,22.0
T1211,0.0,0.0,0.0,6.0
T1212,0.0,0.0,0.0,2.0
T1213,0.0,0.0,0.0,9.0
T1214,0.0,0.0,0.0,8.0
T1218,0.0,0.0,0.0,16.0
T1222,0.0,0.0,0.0,3.0
T1412,0.0,0.0,0.0,2.0
T1420,0.0,0.0,0.0,3.0
T1421,0.0,0.0,0.0,6.0
T1429,0.0,0.0,0.0,2.0
T1430,0.0,0.0,0.0,7.0
T1431,0.0,0.0,0.0,4.0
T1437,0.0,0.0,0.0,2.0
T1476,0.0,0.0,0.0,3.0
T1485,0.0,0.0,0.0,4.0
T1486,0.0,0.0,0.0,8.0
T1490,0.0,0.0,0.0,2.0
T1491,0.0,0.0,0.0,4.0
T1495,0.0,0.0,0.0,8.0
T1496,0.0,0.0,0.0,17.0
T1497,0.0,0.0,0.0,4.0
T1498,0.0,0.0,0.0,17.0
T1499,0.5581395348837209,0.48484848484848486,0.518918918918919,99.0
T1505,0.0,0.0,0.0,8.0
T1525,0.0,0.0,0.0,3.0
T1528,0.0,0.0,0.0,3.0
T1530,0.0,0.0,0.0,36.0
T1531,0.0,0.0,0.0,6.0
T1537,0.0,0.0,0.0,5.0
T1539,0.0,0.0,0.0,6.0
T1542,1.0,0.04,0.07692307692307693,25.0
T1543,0.0,0.0,0.0,11.0
T1546,0.0,0.0,0.0,20.0
T1547,0.0,0.0,0.0,16.0
T1548,0.0,0.0,0.0,15.0
T1550,0.0,0.0,0.0,8.0
T1552,0.3791469194312796,0.8,0.5144694533762058,100.0
T1553,0.0,0.0,0.0,6.0
T1554,0.0,0.0,0.0,8.0
T1555,0.0,0.0,0.0,13.0
T1556,0.0,0.0,0.0,25.0
T1557,0.13647642679900746,0.7638888888888888,0.23157894736842105,144.0
T1560,0.0,0.0,0.0,2.0
T1562,0.0,0.0,0.0,23.0
T1564,0.0,0.0,0.0,7.0
T1565,0.0,0.0,0.0,42.0
T1566,0.5,0.3235294117647059,0.39285714285714285,68.0
T1569,0.0,0.0,0.0,3.0
T1572,0.0,0.0,0.0,2.0
T1573,0.0,0.0,0.0,2.0
T1574,0.0,0.0,0.0,18.0
T1583,0.0,0.0,0.0,17.0
T1584,0.0,0.0,0.0,8.0
T1585,0.0,0.0,0.0,19.0
T1586,0.0,0.0,0.0,10.0
T1587,0.0,0.0,0.0,7.0
T1588,0.0,0.0,0.0,3.0
T1589,0.0,0.0,0.0,15.0
T1590,0.0,0.0,0.0,5.0
T1591,0.0,0.0,0.0,2.0
T1592,0.0,0.0,0.0,24.0
T1595,0.0,0.0,0.0,31.0
T1596,0.0,0.0,0.0,3.0
T1598,0.0,0.0,0.0,2.0
T1600,1.0,0.041666666666666664,0.08,48.0
T1601,0.0,0.0,0.0,26.0
T1602,0.0,0.0,0.0,17.0
T1603,0.0,0.0,0.0,2.0
T1606,0.30710659898477155,0.9166666666666666,0.4600760456273764,132.0
T1608,0.0,0.0,0.0,17.0
T1609,1.0,0.03636363636363636,0.07017543859649122,55.0
T1611,0.0,0.0,0.0,16.0
T1614,0.0,0.0,0.0,2.0
T1615,0.0,0.0,0.0,2.0
T1621,0.0,0.0,0.0,5.0
T1622,0.0,0.0,0.0,9.0
T1630,0.0,0.0,0.0,2.0
T1631,0.0,0.0,0.0,7.0
T1636,0.0,0.0,0.0,4.0
T1640,0.0,0.0,0.0,2.0
T1642,0.0,0.0,0.0,5.0
T1646,0.0,0.0,0.0,2.0
T1647,0.0,0.0,0.0,7.0
T1648,0.0,0.0,0.0,2.0
accuracy,0.2457273072540828,0.2457273072540828,0.2457273072540828,0.2457273072540828
macro avg,0.06975846149187835,0.039316407865087034,0.03141589962773962,2633.0
weighted avg,0.23954669154806757,0.2457273072540828,0.15710580618970854,2633.0
