,precision,recall,f1-score,support
T0810,0.6,0.75,0.6666666666666666,8.0
T0813,0.5,0.25,0.3333333333333333,4.0
T0835,0.7777777777777778,1.0,0.875,7.0
T0846,0.0,0.0,0.0,3.0
T0851,0.0,0.0,0.0,2.0
T0853,0.0,0.0,0.0,2.0
T0856,0.25,0.25,0.25,4.0
T0859,0.8181818181818182,0.9,0.8571428571428571,10.0
T0884,0.0,0.0,0.0,3.0
T1001,0.0,0.0,0.0,8.0
T1003,0.7777777777777778,0.3333333333333333,0.4666666666666667,21.0
T1005,0.5652173913043478,0.5,0.5306122448979592,26.0
T1006,0.75,0.75,0.75,4.0
T1020,0.0,0.0,0.0,7.0
T1021,0.4166666666666667,0.45454545454545453,0.43478260869565216,22.0
T1027,0.7,0.25,0.3684210526315789,28.0
T1036,0.0,0.0,0.0,13.0
T1037,0.0,0.0,0.0,2.0
T1040,0.6153846153846154,0.3404255319148936,0.4383561643835616,47.0
T1041,0.6666666666666666,0.18181818181818182,0.2857142857142857,11.0
T1046,0.35,0.5,0.4117647058823529,14.0
T1047,0.6153846153846154,0.8888888888888888,0.7272727272727273,9.0
T1048,0.0,0.0,0.0,6.0
T1053,0.696969696969697,0.7666666666666667,0.7301587301587301,30.0
T1055,0.29411764705882354,0.19230769230769232,0.23255813953488372,26.0
T1056,0.5952380952380952,0.5102040816326531,0.5494505494505495,49.0
T1057,0.0,0.0,0.0,2.0
T1059,0.3811659192825112,0.6159420289855072,0.4709141274238227,138.0
T1068,0.40625,0.5,0.4482758620689655,26.0
T1069,0.0,0.0,0.0,4.0
T1070,0.8,0.21052631578947367,0.3333333333333333,19.0
T1071,0.5,0.4375,0.4666666666666667,48.0
T1078,0.3888888888888889,0.2857142857142857,0.32941176470588235,49.0
T1081,0.0,0.0,0.0,5.0
T1082,0.0,0.0,0.0,6.0
T1083,0.0,0.0,0.0,5.0
T1086,0.5,0.25,0.3333333333333333,4.0
T1087,0.0,0.0,0.0,14.0
T1090,0.0,0.0,0.0,5.0
T1091,0.0,0.0,0.0,2.0
T1098,0.0,0.0,0.0,5.0
T1102,0.0,0.0,0.0,3.0
T1105,1.0,0.09090909090909091,0.16666666666666666,11.0
T1110,0.4084507042253521,0.6170212765957447,0.4915254237288136,47.0
T1112,0.0,0.0,0.0,2.0
T1113,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
T1114,0.36363636363636365,0.5,0.42105263157894735,8.0
T1115,0.5,0.5,0.5,4.0
T1119,0.0,0.0,0.0,5.0
T1123,0.38461538461538464,0.7692307692307693,0.5128205128205128,13.0
T1125,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
T1129,0.0,0.0,0.0,2.0
T1133,0.0,0.0,0.0,4.0
T1134,1.0,0.6,0.75,5.0
T1136,0.0,0.0,0.0,3.0
T1140,0.0,0.0,0.0,5.0
T1176,0.6428571428571429,0.75,0.6923076923076923,12.0
T1185,0.5,0.14285714285714285,0.2222222222222222,7.0
T1189,0.45652173913043476,0.6,0.5185185185185185,35.0
T1190,0.45161290322580644,0.3888888888888889,0.417910447761194,36.0
T1195,0.4358974358974359,0.68,0.53125,50.0
T1200,0.4,0.2,0.26666666666666666,30.0
T1201,0.5,0.25,0.3333333333333333,16.0
T1202,0.0,0.0,0.0,3.0
T1203,0.34210526315789475,0.5492957746478874,0.42162162162162165,142.0
T1204,0.21311475409836064,0.18571428571428572,0.1984732824427481,70.0
T1205,0.0,0.0,0.0,4.0
T1207,0.0,0.0,0.0,3.0
T1208,0.7368421052631579,0.9333333333333333,0.8235294117647058,15.0
T1210,0.0,0.0,0.0,22.0
T1211,0.0,0.0,0.0,6.0
T1212,0.0,0.0,0.0,2.0
T1213,0.0,0.0,0.0,9.0
T1214,0.47058823529411764,1.0,0.64,8.0
T1218,0.6923076923076923,0.5625,0.6206896551724138,16.0
T1222,1.0,0.3333333333333333,0.5,3.0
T1412,0.0,0.0,0.0,2.0
T1420,0.0,0.0,0.0,3.0
T1421,0.0,0.0,0.0,6.0
T1429,0.0,0.0,0.0,2.0
T1430,0.5,0.2857142857142857,0.36363636363636365,7.0
T1431,0.8,1.0,0.8888888888888888,4.0
T1437,0.6666666666666666,1.0,0.8,2.0
T1476,0.0,0.0,0.0,3.0
T1485,0.0,0.0,0.0,4.0
T1486,0.4375,0.875,0.5833333333333334,8.0
T1490,0.0,0.0,0.0,2.0
T1491,0.0,0.0,0.0,4.0
T1495,0.0,0.0,0.0,8.0
T1496,0.6428571428571429,0.5294117647058824,0.5806451612903226,17.0
T1497,0.5,0.25,0.3333333333333333,4.0
T1498,0.8181818181818182,0.5294117647058824,0.6428571428571429,17.0
T1499,0.5192307692307693,0.5454545454545454,0.5320197044334976,99.0
T1505,0.6,0.375,0.46153846153846156,8.0
T1525,0.0,0.0,0.0,3.0
T1528,0.0,0.0,0.0,3.0
T1530,0.5833333333333334,0.3888888888888889,0.4666666666666667,36.0
T1531,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
T1537,0.5,0.2,0.2857142857142857,5.0
T1539,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0
T1542,0.3076923076923077,0.8,0.4444444444444444,25.0
T1543,0.5,0.09090909090909091,0.15384615384615385,11.0
T1546,0.4444444444444444,0.2,0.27586206896551724,20.0
T1547,0.32142857142857145,0.5625,0.4090909090909091,16.0
T1548,0.25,0.13333333333333333,0.17391304347826086,15.0
T1550,0.3333333333333333,0.125,0.18181818181818182,8.0
T1552,0.5163398692810458,0.79,0.6245059288537549,100.0
T1553,0.0,0.0,0.0,6.0
T1554,1.0,0.125,0.2222222222222222,8.0
T1555,0.5,0.07692307692307693,0.13333333333333333,13.0
T1556,0.6666666666666666,0.08,0.14285714285714285,25.0
T1557,0.2702702702702703,0.625,0.37735849056603776,144.0
T1560,0.0,0.0,0.0,2.0
T1562,0.4,0.08695652173913043,0.14285714285714285,23.0
T1564,0.75,0.42857142857142855,0.5454545454545454,7.0
T1565,0.0,0.0,0.0,42.0
T1566,0.39215686274509803,0.5882352941176471,0.47058823529411764,68.0
T1569,0.0,0.0,0.0,3.0
T1572,1.0,0.5,0.6666666666666666,2.0
T1573,1.0,0.5,0.6666666666666666,2.0
T1574,0.9166666666666666,0.6111111111111112,0.7333333333333333,18.0
T1583,0.7142857142857143,0.29411764705882354,0.4166666666666667,17.0
T1584,1.0,0.125,0.2222222222222222,8.0
T1585,0.5,0.3157894736842105,0.3870967741935484,19.0
T1586,0.0,0.0,0.0,10.0
T1587,0.0,0.0,0.0,7.0
T1588,0.0,0.0,0.0,3.0
T1589,0.25,0.06666666666666667,0.10526315789473684,15.0
T1590,0.0,0.0,0.0,5.0
T1591,0.0,0.0,0.0,2.0
T1592,1.0,0.041666666666666664,0.08,24.0
T1595,0.8,0.12903225806451613,0.2222222222222222,31.0
T1596,0.0,0.0,0.0,3.0
T1598,0.0,0.0,0.0,2.0
T1600,0.6578947368421053,0.5208333333333334,0.5813953488372093,48.0
T1601,0.36363636363636365,0.15384615384615385,0.21621621621621623,26.0
T1602,0.5714285714285714,0.47058823529411764,0.5161290322580645,17.0
T1603,0.0,0.0,0.0,2.0
T1606,0.4296875,0.8333333333333334,0.5670103092783505,132.0
T1608,1.0,0.058823529411764705,0.1111111111111111,17.0
T1609,0.2962962962962963,0.14545454545454545,0.1951219512195122,55.0
T1611,0.2608695652173913,0.375,0.3076923076923077,16.0
T1614,1.0,0.5,0.6666666666666666,2.0
T1615,0.0,0.0,0.0,2.0
T1621,0.0,0.0,0.0,5.0
T1622,0.5454545454545454,0.6666666666666666,0.6,9.0
T1630,0.5,0.5,0.5,2.0
T1631,0.0,0.0,0.0,7.0
T1636,1.0,0.25,0.4,4.0
T1640,0.0,0.0,0.0,2.0
T1642,0.16666666666666666,0.2,0.18181818181818182,5.0
T1646,0.0,0.0,0.0,2.0
T1647,0.0,0.0,0.0,7.0
T1648,0.5,0.5,0.5,2.0
