Technique_ID,Sample_Count
T1027,1432
T1059,1028
T1140,854
T1105,670
T1055,618
T1071,513
T1082,419
T1106,406
T1070,402
T1547,387
T1083,351
T1036,324
T1090,310
T1078,310
T1053,299
T1204,285
T1057,285
T1566,283
T1003,282
T1562,276
T1218,274
T1021,267
T1574,265
T1112,254
T1573,241
T1016,225
T1056,218
T1543,214
T1041,194
T1033,191
T1005,185
T1047,177
T1113,162
T1564,162
T1518,151
T1110,143
T1546,139
T1095,126
T1074,119
T1555,113
T1560,112
T1553,112
T1548,111
T1190,106
T1012,104
T1570,101
T1219,101
T1552,98
T1497,96
T1588,85
T1102,81
T1569,79
T1087,77
T1132,75
T1583,59
T1134,59
T1484,58
T1049,58
T1505,55
T1069,52
T1124,51
T1203,50
T1550,50
T1608,47
T1018,46
T1001,46
T1568,44
T1189,44
T1068,43
T1137,43
T1558,42
T1048,42
T1486,42
T1210,41
T1114,41
T1007,40
T1499,39
T1559,38
T1119,38
T1098,38
T1587,38
T1037,37
T1557,36
T1046,36
T1008,35
T1135,35
T1584,35
T1120,35
T1556,34
T1542,33
T1136,31
T1133,30
T1222,30
T1585,29
T1614,28
T1590,28
T1596,27
T1480,27
T1601,27
T1571,26
T1498,26
T1589,26
T1598,26
T1115,25
T1489,25
T1561,25
T1072,23
T1205,23
T1123,22
T1490,22
T1195,22
T1567,22
T1014,22
T1125,22
T1586,22
T1010,22
T1020,21
T1606,21
T1025,21
T1091,20
T1591,20
T1592,20
T1213,19
T1485,19
T1129,18
T1563,18
T1080,18
T1565,18
T1185,17
T1197,17
T1572,16
T1595,15
T1599,15
T1578,15
T1221,15
T1104,14
T1602,14
T1539,14
T1040,14
T1187,14
T1029,14
T1496,14
T1529,13
T1600,13
T1593,13
T1554,13
T1176,13
T1597,12
T1482,12
T1052,12
T1220,12
T1216,11
T1039,11
T1491,10
T1030,10
T1111,10
T1127,10
T1528,10
T1217,9
T1611,9
T1199,9
T1580,8
T1620,8
T1534,8
T1201,8
T1530,7
T1610,7
T1011,6
T1609,6
T1613,6
T1615,6
T1535,6
T1207,6
T1092,5
T1211,5
T1594,5
T1525,5
T1526,5
T1495,4
T1531,4
T1202,4
T1619,4
T1612,4
T1212,4
T1006,4
T1538,3
T1537,3
T1200,3
