Technique_ID,Sample_Count
T1027,1034
T1140,698
T1059,470
T1055,423
T1105,398
T1106,314
T1078,238
T1071,222
T1090,210
T1082,185
T1112,162
T1053,161
T1003,160
T1021,147
T1083,146
T1562,136
T1204,135
T1566,129
T1070,127
T1041,121
T1574,118
T1057,117
T1047,110
T1036,105
T1005,96
T1547,93
T1110,87
T1056,87
T1573,86
T1218,85
T1570,85
T1190,83
T1095,82
T1219,81
T1543,73
T1016,70
T1033,67
T1113,65
T1518,54
T1074,41
T1548,40
T1012,36
T1484,34
T1552,32
T1569,31
T1564,26
T1210,22
T1072,15
T1068,14
T1557,9
