model,dataset,scenario,group,n_labels,mean_precision,mean_recall,mean_f1,median_f1,f1_zero_pct,total_test_support
TextCNN,cti-mitre,A0,Head,30,0.7591132699693848,0.5796671778944834,0.6432991955483044,0.6613122171945701,0.0,1426
TextCNN,cti-mitre,A0,Medium,89,0.6550112926560525,0.3070970325586157,0.3906083977980943,0.4,11.235955056179774,973
TextCNN,cti-mitre,A0,Tail,69,0.179951690821256,0.0765700483091787,0.1030710835058661,0.0,79.71014492753623,183
TextCNN,cti-mitre,G0,Head,30,0.7515812842827342,0.5547622887876464,0.6264115415870251,0.6141815973276648,0.0,1426
TextCNN,cti-mitre,G0,Medium,89,0.5794648162295222,0.3473578629271775,0.4029207753463225,0.4,11.235955056179774,973
TextCNN,cti-mitre,G0,Tail,69,0.2007648953301127,0.1487922705314009,0.1610539219234871,0.0,63.76811594202898,183
TextCNN,cti-mitre,B1,Head,30,0.7795846339496326,0.5694838709765636,0.6447566366731403,0.6634304207119741,0.0,1426
TextCNN,cti-mitre,B1,Medium,89,0.6091452720005264,0.3538867691891977,0.4142942859857624,0.4285714285714285,8.98876404494382,973
TextCNN,cti-mitre,B1,Tail,69,0.2491545893719806,0.172463768115942,0.1900631574544617,0.0,59.42028985507246,183
TextCNN,cti-mitre,G1,Head,30,0.7764490888856906,0.5704135803300917,0.645255118989523,0.6551724137931034,0.0,1426
TextCNN,cti-mitre,G1,Medium,89,0.4916424373925651,0.4095474281134637,0.403952283013021,0.3870967741935484,7.865168539325842,973
TextCNN,cti-mitre,G1,Tail,69,0.1743961352657004,0.1043478260869565,0.1240510697032436,0.0,72.46376811594203,183
TextCNN,cti-mitre,B2,Head,30,0.776548957942809,0.599314722295727,0.6661671600272442,0.6841742961382253,0.0,1426
TextCNN,cti-mitre,B2,Medium,89,0.4873818932099423,0.3835114639940624,0.3760839816827144,0.375,6.741573033707865,973
TextCNN,cti-mitre,B2,Tail,69,0.2625603864734299,0.1301932367149758,0.1653439153439153,0.0,66.66666666666666,183
TextCNN,joint,A0,Head,45,0.7303793577715775,0.5778134260122718,0.632303718524472,0.6388888888888888,0.0,3258
TextCNN,joint,A0,Medium,77,0.5826433667342759,0.2824092088514507,0.361897697844138,0.3636363636363636,18.181818181818183,785
TextCNN,joint,A0,Tail,66,0.1212121212121212,0.0505050505050505,0.0695165945165945,0.0,84.84848484848484,172
TextCNN,joint,G0,Head,45,0.7185814862826866,0.4801315081898564,0.5610464209257162,0.5862068965517242,0.0,3258
TextCNN,joint,G0,Medium,77,0.6016440630076993,0.3160141062704288,0.3811321242265722,0.3999999999999999,9.090909090909092,785
TextCNN,joint,G0,Tail,66,0.217087542087542,0.1351010101010101,0.1549644799644799,0.0,65.15151515151516,172
TextCNN,joint,B1,Head,45,0.7679089681271483,0.5076533733912448,0.5911718901617857,0.6071428571428571,0.0,3258
TextCNN,joint,B1,Medium,77,0.548566368696239,0.3418828004986582,0.3911233184404679,0.4,6.493506493506493,785
TextCNN,joint,B1,Tail,66,0.1983164983164983,0.1603535353535353,0.1606865356865356,0.0,65.15151515151516,172
TextCNN,joint,G1,Head,45,0.7237859112948605,0.516225375310191,0.5933480020458856,0.6065573770491804,0.0,3258
TextCNN,joint,G1,Medium,77,0.4695684719875991,0.3296367648452405,0.3432467629625008,0.32,9.090909090909092,785
TextCNN,joint,G1,Tail,66,0.1843434343434343,0.0714646464646464,0.0997835497835497,0.0,78.78787878787878,172
TextCNN,joint,B2,Head,45,0.7243775537406983,0.5514561657819665,0.6176293476653288,0.634920634920635,0.0,3258
TextCNN,joint,B2,Medium,77,0.4640191593289339,0.358286226191216,0.3533877725929322,0.3333333333333332,9.090909090909092,785
TextCNN,joint,B2,Tail,66,0.2184343434343434,0.1325757575757575,0.1527417027417027,0.0,68.18181818181817,172
TextCNN,tram,A0,Head,22,0.7960371433039698,0.5902917804969046,0.6667178171711424,0.7040816326530612,0.0,1258
TextCNN,tram,A0,Medium,25,0.8329510824572744,0.5510941564007252,0.6467348668703274,0.6666666666666667,0.0,370
TextCNN,tram,A0,Tail,3,0.6666666666666666,0.3055555555555555,0.4000000000000001,0.4,33.33333333333333,9
TextCNN,tram,G0,Head,22,0.8172916275307313,0.5969866895107402,0.6855810606838996,0.712657349588661,0.0,1258
TextCNN,tram,G0,Medium,25,0.7670241736247928,0.5938225665093346,0.6515191745453547,0.6666666666666666,0.0,370
TextCNN,tram,G0,Tail,3,0.4444444444444444,0.3055555555555555,0.3619047619047619,0.2857142857142857,33.33333333333333,9
TextCNN,tram,B1,Head,22,0.8117496758941732,0.6134999056232767,0.6920615616964283,0.7071428571428572,0.0,1258
TextCNN,tram,B1,Medium,25,0.7444492174492175,0.5990457742702998,0.6442304256563002,0.6666666666666666,0.0,370
TextCNN,tram,B1,Tail,3,0.5555555555555555,0.3888888888888888,0.4444444444444444,0.6666666666666666,33.33333333333333,9
TextCNN,tram,G1,Head,22,0.8539333712819296,0.5867064435018291,0.6916263491468173,0.7098765432098766,0.0,1258
TextCNN,tram,G1,Medium,25,0.701804202711289,0.6088506757671518,0.62750619884067,0.625,0.0,370
TextCNN,tram,G1,Tail,3,0.6666666666666666,0.3055555555555555,0.4000000000000001,0.4,33.33333333333333,9
TextCNN,tram,B2,Head,22,0.7839396178517505,0.6461508843175024,0.7033735208792269,0.7240552684519292,0.0,1258
TextCNN,tram,B2,Medium,25,0.5857046888191053,0.6415817090359424,0.603799372310887,0.625,0.0,370
TextCNN,tram,B2,Tail,3,0.5555555555555555,0.3888888888888888,0.4444444444444444,0.6666666666666666,33.33333333333333,9
CySecBERT,cti-mitre,A0,Head,30,0.7976499181755946,0.8338670548409165,0.8108661625458792,0.8237577639751552,0.0,1426
CySecBERT,cti-mitre,A0,Medium,89,0.7566492291911125,0.6424356382342925,0.6676470312622513,0.6666666666666666,1.1235955056179776,973
CySecBERT,cti-mitre,A0,Tail,69,0.3654589371980676,0.2070048309178744,0.2514837819185645,0.0,56.52173913043478,183
CySecBERT,cti-mitre,G0,Head,30,0.8727420753825023,0.7837184044843296,0.8193957112139384,0.8337520319196099,0.0,1426
CySecBERT,cti-mitre,G0,Medium,89,0.8221331196024207,0.5732830578508161,0.6450913009071225,0.7058823529411765,3.3707865168539324,973
CySecBERT,cti-mitre,G0,Tail,69,0.5253623188405797,0.3468599033816425,0.3930986887508627,0.4,37.68115942028986,183
CySecBERT,cti-mitre,B1,Head,30,0.8081211919602137,0.837950471138525,0.8193898161937586,0.8360922659430121,0.0,1426
CySecBERT,cti-mitre,B1,Medium,89,0.7709120941097519,0.6616350460023372,0.6933383323561543,0.7272727272727273,1.1235955056179776,973
CySecBERT,cti-mitre,B1,Tail,69,0.5386473429951691,0.4072463768115942,0.4413534935274066,0.5,31.88405797101449,183
CySecBERT,cti-mitre,G1,Head,30,0.8367950000026665,0.8171002772619244,0.8234583506253335,0.8372274143302181,0.0,1426
CySecBERT,cti-mitre,G1,Medium,89,0.8048019459079744,0.6580809468005183,0.7031992389984092,0.7368421052631579,0.0,973
CySecBERT,cti-mitre,G1,Tail,69,0.5475845410628019,0.3671497584541063,0.4151023694501955,0.4444444444444444,36.231884057971016,183
CySecBERT,cti-mitre,B2,Head,30,0.8196688361630485,0.8468756802586762,0.8308647830046303,0.85239651416122,0.0,1426
CySecBERT,cti-mitre,B2,Medium,89,0.7788329530417665,0.6792423202641282,0.7067330101263252,0.7346938775510204,1.1235955056179776,973
CySecBERT,cti-mitre,B2,Tail,69,0.5439613526570048,0.3908212560386473,0.432965263400046,0.5,34.78260869565217,183
CySecBERT,joint,A0,Head,45,0.7992045081141422,0.809681214156706,0.8018714691526122,0.8131539611360239,0.0,3258
CySecBERT,joint,A0,Medium,77,0.7552433686917623,0.573356669532336,0.6242115574725363,0.6666666666666666,3.896103896103896,785
CySecBERT,joint,A0,Tail,66,0.3803030303030303,0.2229797979797979,0.2665945165945166,0.0,54.54545454545454,172
