model,dataset,scenario,total_test_labels,missed_labels,missed_pct
BERT,cti-mitre,A0,188,55,29.25531914893617
BERT,cti-mitre,G0,188,25,13.297872340425531
BERT,cti-mitre,B1,188,30,15.957446808510639
BERT,cti-mitre,G1,188,23,12.23404255319149
BERT,cti-mitre,B2,188,28,14.893617021276595
BERT,joint,A0,188,55,29.25531914893617
BERT,joint,G0,188,21,11.170212765957446
BERT,joint,B1,188,23,12.23404255319149
BERT,joint,G1,188,23,12.23404255319149
BERT,joint,B2,188,28,14.893617021276595
BERT,tram,A0,50,3,6.0
BERT,tram,G0,50,0,0.0
BERT,tram,B1,50,0,0.0
BERT,tram,G1,50,1,2.0
BERT,tram,B2,50,1,2.0
DistilBERT,cti-mitre,A0,188,50,26.595744680851062
DistilBERT,cti-mitre,G0,188,26,13.829787234042554
DistilBERT,cti-mitre,B1,188,27,14.361702127659576
DistilBERT,cti-mitre,G1,188,28,14.893617021276595
DistilBERT,cti-mitre,B2,188,29,15.425531914893616
DistilBERT,joint,A0,188,42,22.340425531914892
DistilBERT,joint,G0,188,18,9.574468085106384
DistilBERT,joint,B1,188,23,12.23404255319149
DistilBERT,joint,G1,188,21,11.170212765957446
DistilBERT,joint,B2,188,25,13.297872340425531
DistilBERT,tram,A0,50,1,2.0
DistilBERT,tram,G0,50,0,0.0
DistilBERT,tram,B1,50,0,0.0
DistilBERT,tram,G1,50,1,2.0
DistilBERT,tram,B2,50,1,2.0
CySecBERT,cti-mitre,A0,188,40,21.27659574468085
CySecBERT,cti-mitre,G0,188,29,15.425531914893616
CySecBERT,cti-mitre,B1,188,23,12.23404255319149
CySecBERT,cti-mitre,G1,188,25,13.297872340425531
CySecBERT,cti-mitre,B2,188,25,13.297872340425531
CySecBERT,joint,A0,188,39,20.74468085106383
CySecBERT,joint,G0,188,21,11.170212765957446
CySecBERT,joint,B1,188,21,11.170212765957446
CySecBERT,joint,G1,188,21,11.170212765957446
CySecBERT,joint,B2,188,26,13.829787234042554
CySecBERT,tram,A0,50,2,4.0
CySecBERT,tram,G0,50,0,0.0
CySecBERT,tram,B1,50,0,0.0
CySecBERT,tram,G1,50,0,0.0
CySecBERT,tram,B2,50,0,0.0
ModernBERT,cti-mitre,A0,188,47,25.0
ModernBERT,cti-mitre,G0,188,34,18.085106382978726
ModernBERT,cti-mitre,B1,188,30,15.957446808510639
ModernBERT,cti-mitre,G1,188,36,19.148936170212767
ModernBERT,cti-mitre,B2,188,35,18.617021276595743
ModernBERT,joint,A0,188,45,23.93617021276596
ModernBERT,joint,G0,188,25,13.297872340425531
ModernBERT,joint,B1,188,29,15.425531914893616
ModernBERT,joint,G1,188,25,13.297872340425531
ModernBERT,joint,B2,188,23,12.23404255319149
ModernBERT,tram,A0,50,2,4.0
ModernBERT,tram,G0,50,0,0.0
ModernBERT,tram,B1,50,0,0.0
ModernBERT,tram,G1,50,0,0.0
ModernBERT,tram,B2,50,0,0.0
SecBERT,cti-mitre,A0,188,46,24.46808510638298
SecBERT,cti-mitre,G0,188,26,13.829787234042554
SecBERT,cti-mitre,B1,188,26,13.829787234042554
SecBERT,cti-mitre,G1,188,30,15.957446808510639
SecBERT,cti-mitre,B2,188,27,14.361702127659576
SecBERT,joint,A0,188,43,22.872340425531913
SecBERT,joint,G0,188,26,13.829787234042554
SecBERT,joint,B1,188,16,8.51063829787234
SecBERT,joint,G1,188,26,13.829787234042554
SecBERT,joint,B2,188,24,12.76595744680851
SecBERT,tram,A0,50,1,2.0
SecBERT,tram,G0,50,0,0.0
SecBERT,tram,B1,50,0,0.0
SecBERT,tram,G1,50,1,2.0
SecBERT,tram,B2,50,1,2.0
SecureBERT,cti-mitre,A0,188,45,23.93617021276596
SecureBERT,cti-mitre,G0,188,30,15.957446808510639
SecureBERT,cti-mitre,B1,188,29,15.425531914893616
SecureBERT,cti-mitre,G1,188,29,15.425531914893616
SecureBERT,cti-mitre,B2,188,31,16.48936170212766
SecureBERT,joint,A0,188,46,24.46808510638298
SecureBERT,joint,G0,188,21,11.170212765957446
SecureBERT,joint,B1,188,23,12.23404255319149
SecureBERT,joint,G1,188,28,14.893617021276595
SecureBERT,joint,B2,188,24,12.76595744680851
SecureBERT,tram,A0,50,1,2.0
SecureBERT,tram,G0,50,0,0.0
SecureBERT,tram,B1,50,0,0.0
SecureBERT,tram,G1,50,0,0.0
SecureBERT,tram,B2,50,0,0.0
TextCNN,cti-mitre,A0,188,65,34.57446808510639
TextCNN,cti-mitre,G0,188,54,28.723404255319153
TextCNN,cti-mitre,B1,188,49,26.063829787234045
TextCNN,cti-mitre,G1,188,57,30.319148936170215
TextCNN,cti-mitre,B2,188,52,27.659574468085108
TextCNN,joint,A0,188,70,37.234042553191486
TextCNN,joint,G0,188,50,26.595744680851062
TextCNN,joint,B1,188,48,25.53191489361702
TextCNN,joint,G1,188,59,31.382978723404253
TextCNN,joint,B2,188,52,27.659574468085108
TextCNN,tram,A0,50,1,2.0
TextCNN,tram,G0,50,1,2.0
TextCNN,tram,B1,50,1,2.0
TextCNN,tram,G1,50,1,2.0
TextCNN,tram,B2,50,1,2.0
