Config ID,Alpha,Val Macro F1,Val Major F1,Val Medium F1,Val Tail F1,Val ZeroF1,Test Macro F1,Test ZeroF1,Delta Val F1,Delta Test F1,Time (s)
Config_0,0.0,0.469,0.7972,0.5576,0.2955,61,0.5139,36,0.0,0.0,36.9
Config_1,0.01,0.4813,0.7889,0.5791,0.3106,59,0.5315,32,0.0123,0.0176,59.93
Config_2,0.02,0.4854,0.7891,0.5835,0.316,59,0.5351,32,0.0165,0.0213,59.6
Config_3,0.03,0.4827,0.7909,0.5783,0.3129,59,0.5327,32,0.0137,0.0188,58.69
Config_4,0.04,0.4805,0.7908,0.5741,0.3109,58,0.5395,31,0.0115,0.0257,59.72
Config_5,0.05,0.4857,0.7902,0.579,0.3187,58,0.5307,33,0.0168,0.0169,59.04
Config_6,0.06,0.4863,0.7904,0.5736,0.3226,58,0.5335,32,0.0174,0.0196,57.89
Config_7,0.07,0.4855,0.7942,0.576,0.3185,58,0.5309,32,0.0165,0.0171,60.74
Config_8,0.08,0.4861,0.7901,0.582,0.3178,59,0.5314,32,0.0171,0.0175,59.88
Config_9,0.09,0.4909,0.791,0.5728,0.3312,57,0.533,31,0.0219,0.0191,59.49
Config_10,0.1,0.4876,0.7874,0.5768,0.3242,58,0.5367,31,0.0186,0.0228,59.22
Config_11,0.11,0.4931,0.7872,0.5843,0.3308,57,0.5302,31,0.0242,0.0163,59.01
Config_12,0.12,0.4927,0.7875,0.5805,0.3318,57,0.532,32,0.0237,0.0181,59.31
Config_13,0.13,0.4975,0.79,0.5779,0.3415,56,0.5287,32,0.0286,0.0148,58.38
Config_14,0.14,0.495,0.7878,0.5701,0.3418,55,0.537,30,0.026,0.0231,58.89
Config_15,0.15,0.4948,0.7873,0.575,0.3391,54,0.529,32,0.0258,0.0151,57.59
Config_16,0.16,0.4906,0.7898,0.5777,0.3287,55,0.5302,31,0.0216,0.0164,58.67
Config_17,0.17,0.4845,0.7863,0.5711,0.322,55,0.5262,32,0.0156,0.0123,57.69
Config_18,0.18,0.4761,0.7908,0.5458,0.3176,58,0.5361,31,0.0072,0.0223,58.36
Config_19,0.19,0.4851,0.7941,0.5696,0.3211,57,0.532,31,0.0162,0.0182,57.91
Config_20,0.2,0.4952,0.793,0.57,0.3406,54,0.5279,32,0.0263,0.0141,59.66
Config_21,0.21,0.4912,0.7925,0.5597,0.3384,54,0.5284,32,0.0223,0.0146,57.96
Config_22,0.22,0.4898,0.794,0.567,0.3314,54,0.5364,30,0.0209,0.0226,58.7
Config_23,0.23,0.4915,0.7935,0.5622,0.3374,54,0.5241,29,0.0226,0.0102,58.17
Config_24,0.24,0.4925,0.7905,0.563,0.3399,53,0.5197,31,0.0236,0.0058,58.08
Config_25,0.25,0.4907,0.7897,0.57,0.333,55,0.5243,32,0.0217,0.0105,58.85
Config_26,0.26,0.4868,0.7909,0.5643,0.3283,55,0.5273,32,0.0179,0.0134,58.24
Config_27,0.27,0.4849,0.7908,0.5672,0.3231,55,0.5255,30,0.0159,0.0117,57.92
Config_28,0.28,0.4799,0.7898,0.5588,0.3183,56,0.5262,29,0.011,0.0123,58.56
Config_29,0.29,0.4854,0.7896,0.5638,0.326,55,0.5273,30,0.0164,0.0134,58.44
Config_30,0.3,0.4837,0.7917,0.5734,0.3172,56,0.528,31,0.0147,0.0141,57.83
