Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,40,11,0.5714285714285714,0.36363636363636365,0.4444444444444444,4,3,7,0.6,Medium,global
T1003,237,237,68,0.9245283018867925,0.7205882352941176,0.8099173553719008,49,4,19,0.6,Head,global
T1005,156,156,44,0.7142857142857143,0.6818181818181818,0.6976744186046512,30,12,14,0.6,Head,global
T1006,3,3,1,0.0,0.0,0.0,0,0,1,0.6,Tail,global
T1007,34,34,10,0.7142857142857143,0.5,0.5882352941176471,5,2,5,0.6,Medium,global
T1008,31,31,9,0.6666666666666666,0.2222222222222222,0.3333333333333333,2,1,7,0.6,Medium,global
T1010,17,17,5,1.0,0.8,0.8888888888888888,4,0,1,0.6,Tail,global
T1011,5,5,2,0.0,0.0,0.0,0,0,2,0.6,Tail,global
T1012,88,88,25,0.7619047619047619,0.64,0.6956521739130435,16,5,9,0.6,Medium,global
T1014,19,19,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.6,Tail,global
T1016,182,182,52,0.8043478260869565,0.7115384615384616,0.7551020408163265,37,9,15,0.6,Head,global
T1018,40,40,12,0.875,0.5833333333333334,0.7,7,1,5,0.6,Medium,global
T1020,18,18,5,0.5,0.2,0.2857142857142857,1,1,4,0.6,Tail,global
T1021,226,226,64,0.7727272727272727,0.796875,0.7846153846153846,51,15,13,0.6,Head,global
T1025,18,18,5,1.0,0.2,0.3333333333333333,1,0,4,0.6,Tail,global
T1027,1105,1105,316,0.7692307692307693,0.7911392405063291,0.7800312012480499,250,75,66,0.6,Head,global
T1029,12,12,4,1.0,0.25,0.4,1,0,3,0.6,Tail,global
T1030,9,9,3,0.0,0.0,0.0,0,0,3,0.6,Tail,global
T1033,153,153,44,0.78,0.8863636363636364,0.8297872340425532,39,11,5,0.6,Head,global
T1036,280,280,80,0.7564102564102564,0.7375,0.7468354430379747,59,19,21,0.6,Head,global
T1037,32,32,9,0.0,0.0,0.0,0,0,9,0.6,Medium,global
T1039,10,10,3,0.0,0.0,0.0,0,0,3,0.6,Tail,global
T1040,12,12,4,0.0,0.0,0.0,0,0,4,0.6,Tail,global
T1041,165,165,47,0.7906976744186046,0.723404255319149,0.7555555555555555,34,9,13,0.6,Head,global
T1046,31,31,9,1.0,0.5555555555555556,0.7142857142857143,5,0,4,0.6,Medium,global
T1047,142,142,40,0.85,0.85,0.85,34,6,6,0.6,Head,global
T1048,37,37,11,0.6,0.2727272727272727,0.375,3,2,8,0.6,Medium,global
T1049,51,51,14,0.7272727272727273,0.5714285714285714,0.64,8,3,6,0.6,Medium,global
T1052,10,10,3,1.0,0.3333333333333333,0.5,1,0,2,0.6,Tail,global
T1053,242,242,69,0.9393939393939394,0.8985507246376812,0.9185185185185185,62,4,7,0.6,Head,global
T1055,502,502,143,0.9044117647058824,0.8601398601398601,0.8817204301075269,123,13,20,0.6,Head,global
T1056,156,156,44,0.9285714285714286,0.8863636363636364,0.9069767441860465,39,3,5,0.6,Head,global
T1057,227,227,65,0.875,0.8615384615384616,0.8682170542635659,56,8,9,0.6,Head,global
T1059,807,807,231,0.852017937219731,0.8225108225108225,0.8370044052863436,190,33,41,0.6,Head,global
T1068,37,37,11,1.0,0.36363636363636365,0.5333333333333333,4,0,7,0.6,Medium,global
T1069,45,45,13,1.0,0.5384615384615384,0.7,7,0,6,0.6,Medium,global
T1070,329,329,94,0.7924528301886793,0.8936170212765957,0.84,84,22,10,0.6,Head,global
T1071,432,432,124,0.8515625,0.8790322580645161,0.8650793650793651,109,19,15,0.6,Head,global
T1072,20,20,6,0.0,0.0,0.0,0,0,6,0.6,Medium,global
T1074,103,103,29,0.8636363636363636,0.6551724137931034,0.7450980392156863,19,3,10,0.6,Head,global
T1078,257,257,74,0.7466666666666667,0.7567567567567568,0.7516778523489933,56,19,18,0.6,Head,global
T1080,16,16,4,1.0,0.25,0.4,1,0,3,0.6,Tail,global
T1082,332,332,95,0.803921568627451,0.8631578947368421,0.8324873096446701,82,20,13,0.6,Head,global
T1083,287,287,82,0.84,0.7682926829268293,0.802547770700637,63,12,19,0.6,Head,global
T1087,66,66,19,0.6470588235294118,0.5789473684210527,0.6111111111111112,11,6,8,0.6,Medium,global
T1090,254,254,73,0.8378378378378378,0.8493150684931506,0.8435374149659864,62,12,11,0.6,Head,global
T1091,17,17,5,1.0,0.2,0.3333333333333333,1,0,4,0.6,Tail,global
T1092,4,4,1,0.0,0.0,0.0,0,0,1,0.6,Tail,global
T1095,98,98,28,0.7419354838709677,0.8214285714285714,0.7796610169491526,23,8,5,0.6,Medium,global
T1098,33,33,10,1.0,0.3,0.46153846153846156,3,0,7,0.6,Medium,global
T1102,71,71,20,0.8,0.6,0.6857142857142857,12,3,8,0.6,Medium,global
T1104,12,12,3,0.0,0.0,0.0,0,0,3,0.6,Tail,global
T1105,547,547,156,0.8223684210526315,0.8012820512820513,0.8116883116883117,125,27,31,0.6,Head,global
T1106,304,304,87,0.7391304347826086,0.7816091954022989,0.7597765363128491,68,24,19,0.6,Head,global
T1110,112,112,32,0.8709677419354839,0.84375,0.8571428571428571,27,4,5,0.6,Head,global
T1111,9,9,3,0.0,0.0,0.0,0,0,3,0.6,Tail,global
T1112,203,203,58,0.7777777777777778,0.8448275862068966,0.8099173553719008,49,14,9,0.6,Head,global
T1113,117,117,33,0.9354838709677419,0.8787878787878788,0.90625,29,2,4,0.6,Head,global
T1114,36,36,10,0.5,0.2,0.2857142857142857,2,2,8,0.6,Medium,global
T1115,22,22,6,1.0,0.8333333333333334,0.9090909090909091,5,0,1,0.6,Medium,global
T1119,33,33,10,0.0,0.0,0.0,0,1,10,0.6,Medium,global
T1120,31,31,9,1.0,0.5555555555555556,0.7142857142857143,5,0,4,0.6,Medium,global
T1123,19,19,5,1.0,0.6,0.75,3,0,2,0.6,Tail,global
T1124,45,45,13,0.8571428571428571,0.9230769230769231,0.8888888888888888,12,2,1,0.6,Medium,global
T1125,19,19,5,1.0,0.4,0.5714285714285714,2,0,3,0.6,Tail,global
T1127,9,9,3,1.0,0.3333333333333333,0.5,1,0,2,0.6,Tail,global
T1129,15,15,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.6,Tail,global
