Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,131,37,0.9473684210526315,0.972972972972973,0.96,36,2,1,0.56,Head,global
T1005,78,78,22,0.625,0.45454545454545453,0.5263157894736842,10,6,12,0.56,Medium,global
T1012,29,29,8,1.0,0.5,0.6666666666666666,4,0,4,0.56,Medium,global
T1016,46,46,13,0.8333333333333334,0.7692307692307693,0.8,10,2,3,0.56,Medium,global
T1021,121,121,34,0.8571428571428571,0.8823529411764706,0.8695652173913043,30,5,4,0.56,Head,global
T1027,761,761,218,0.7563025210084033,0.8256880733944955,0.7894736842105263,180,58,38,0.56,Head,global
T1033,45,45,13,0.5555555555555556,0.38461538461538464,0.45454545454545453,5,4,8,0.56,Medium,global
T1036,88,88,25,0.8214285714285714,0.92,0.8679245283018868,23,5,2,0.56,Medium,global
T1041,101,101,29,0.5882352941176471,0.6896551724137931,0.6349206349206349,20,14,9,0.56,Head,global
T1047,82,82,24,0.9565217391304348,0.9166666666666666,0.9361702127659575,22,1,2,0.56,Medium,global
T1053,121,121,35,0.9354838709677419,0.8285714285714286,0.8787878787878788,29,2,6,0.56,Head,global
T1055,332,332,95,0.8571428571428571,0.8842105263157894,0.8704663212435233,84,14,11,0.56,Head,global
T1056,55,55,16,1.0,1.0,1.0,16,0,0,0.56,Medium,global
T1057,82,82,24,0.9047619047619048,0.7916666666666666,0.8444444444444444,19,2,5,0.56,Medium,global
T1059,325,325,93,0.6972477064220184,0.8172043010752689,0.7524752475247525,76,33,17,0.56,Head,global
T1068,11,11,3,0.75,1.0,0.8571428571428571,3,1,0,0.56,Tail,global
T1070,91,91,26,0.6896551724137931,0.7692307692307693,0.7272727272727273,20,9,6,0.56,Medium,global
T1071,178,178,51,0.8541666666666666,0.803921568627451,0.8282828282828283,41,7,10,0.56,Head,global
T1072,13,13,4,1.0,0.25,0.4,1,0,3,0.56,Tail,global
T1074,34,34,10,0.8571428571428571,0.6,0.7058823529411765,6,1,4,0.56,Medium,global
T1078,194,194,56,0.7413793103448276,0.7678571428571429,0.7543859649122807,43,15,13,0.56,Head,global
T1082,128,128,36,0.7857142857142857,0.6111111111111112,0.6875,22,6,14,0.56,Head,global
T1083,108,108,31,0.78125,0.8064516129032258,0.7936507936507936,25,7,6,0.56,Head,global
T1090,167,167,48,0.8367346938775511,0.8541666666666666,0.845360824742268,41,8,7,0.56,Head,global
T1095,60,60,17,1.0,0.7647058823529411,0.8666666666666667,13,0,4,0.56,Medium,global
T1105,311,311,89,0.8160919540229885,0.797752808988764,0.8068181818181818,71,16,18,0.56,Head,global
T1106,222,222,64,0.7142857142857143,0.859375,0.7801418439716312,55,22,9,0.56,Head,global
T1110,63,63,18,0.9333333333333333,0.7777777777777778,0.8484848484848485,14,1,4,0.56,Medium,global
T1112,123,123,35,0.8285714285714286,0.8285714285714286,0.8285714285714286,29,6,6,0.56,Head,global
T1113,37,37,11,1.0,0.6363636363636364,0.7777777777777778,7,0,4,0.56,Medium,global
T1140,479,479,137,0.8857142857142857,0.9051094890510949,0.8953068592057761,124,16,13,0.56,Head,global
T1190,68,68,20,0.8947368421052632,0.85,0.8717948717948718,17,2,3,0.56,Medium,global
T1204,114,114,32,0.875,0.875,0.875,28,4,4,0.56,Head,global
T1210,17,17,5,1.0,0.4,0.5714285714285714,2,0,3,0.56,Tail,global
T1218,59,59,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.56,Medium,global
T1219,68,68,19,0.8181818181818182,0.9473684210526315,0.8780487804878049,18,4,1,0.56,Medium,global
T1484,28,28,8,1.0,1.0,1.0,8,0,0,0.56,Medium,global
T1518,43,43,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2,0.56,Medium,global
T1543,58,58,17,0.8235294117647058,0.8235294117647058,0.8235294117647058,14,3,3,0.56,Medium,global
T1547,80,80,23,0.9523809523809523,0.8695652173913043,0.9090909090909091,20,1,3,0.56,Medium,global
T1548,31,31,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.56,Medium,global
T1552,28,28,8,0.7,0.875,0.7777777777777778,7,3,1,0.56,Medium,global
T1557,7,7,2,0.0,0.0,0.0,0,0,2,0.56,Tail,global
T1562,108,108,31,0.7941176470588235,0.8709677419354839,0.8307692307692308,27,7,4,0.56,Head,global
T1564,21,21,6,1.0,1.0,1.0,6,0,0,0.56,Medium,global
T1566,107,107,31,0.9259259259259259,0.8064516129032258,0.8620689655172413,25,2,6,0.56,Head,global
T1569,26,26,8,0.7142857142857143,0.625,0.6666666666666666,5,2,3,0.56,Medium,global
T1570,73,73,21,0.8666666666666667,0.6190476190476191,0.7222222222222222,13,2,8,0.56,Medium,global
T1573,72,72,21,0.6111111111111112,0.5238095238095238,0.5641025641025641,11,7,10,0.56,Medium,global
T1574,88,88,25,1.0,0.96,0.9795918367346939,24,0,1,0.56,Medium,global
