Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,48,11,0.75,0.2727272727272727,0.4,3,1,8,0.57,Medium,global
T1003,107,107,30,0.9,0.6,0.72,18,2,12,0.57,Head,global
T1005,78,78,22,0.6521739130434783,0.6818181818181818,0.6666666666666666,15,8,7,0.57,Medium,global
T1006,3,48,1,1.0,1.0,1.0,1,0,0,0.57,Tail,global
T1007,34,48,10,1.0,0.7,0.8235294117647058,7,0,3,0.57,Medium,global
T1008,31,48,9,0.7,0.7777777777777778,0.7368421052631579,7,3,2,0.57,Medium,global
T1010,17,48,5,0.8,0.8,0.8,4,1,1,0.57,Tail,global
T1011,5,48,2,1.0,0.5,0.6666666666666666,1,0,1,0.57,Tail,global
T1012,59,59,17,0.75,0.7058823529411765,0.7272727272727273,12,4,5,0.57,Medium,global
T1014,19,48,5,1.0,0.8,0.8888888888888888,4,0,1,0.57,Tail,global
T1016,136,136,39,0.7894736842105263,0.7692307692307693,0.7792207792207793,30,8,9,0.57,Head,global
T1018,40,48,12,0.5454545454545454,0.5,0.5217391304347826,6,5,6,0.57,Medium,global
T1020,18,48,5,0.0,0.0,0.0,0,2,5,0.57,Tail,global
T1021,105,105,30,0.7096774193548387,0.7333333333333333,0.7213114754098361,22,9,8,0.57,Head,global
T1025,18,48,5,0.5,0.4,0.4444444444444444,2,2,3,0.57,Tail,global
T1027,344,344,98,0.7787610619469026,0.8979591836734694,0.8341232227488151,88,25,10,0.57,Head,global
T1029,12,48,4,0.5,0.25,0.3333333333333333,1,1,3,0.57,Tail,global
T1030,9,48,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.57,Tail,global
T1033,108,108,31,0.7567567567567568,0.9032258064516129,0.8235294117647058,28,9,3,0.57,Head,global
T1036,192,192,55,0.8113207547169812,0.7818181818181819,0.7962962962962963,43,10,12,0.57,Head,global
T1037,32,48,9,0.8,0.4444444444444444,0.5714285714285714,4,1,5,0.57,Medium,global
T1039,10,48,3,0.5,0.3333333333333333,0.4,1,1,2,0.57,Tail,global
T1040,12,48,4,1.0,0.5,0.6666666666666666,2,0,2,0.57,Tail,global
T1041,64,64,18,0.6842105263157895,0.7222222222222222,0.7027027027027027,13,6,5,0.57,Medium,global
T1046,31,48,9,0.7,0.7777777777777778,0.7368421052631579,7,3,2,0.57,Medium,global
T1047,59,59,17,0.8,0.9411764705882353,0.8648648648648649,16,4,1,0.57,Medium,global
T1048,37,48,11,0.375,0.2727272727272727,0.3157894736842105,3,5,8,0.57,Medium,global
T1049,51,51,14,0.8333333333333334,0.35714285714285715,0.5,5,1,9,0.57,Medium,global
T1052,10,48,3,0.0,0.0,0.0,0,1,3,0.57,Tail,global
T1053,121,121,35,0.8378378378378378,0.8857142857142857,0.8611111111111112,31,6,4,0.57,Head,global
T1055,170,170,49,0.875,0.8571428571428571,0.865979381443299,42,6,7,0.57,Head,global
T1056,100,100,29,0.7878787878787878,0.896551724137931,0.8387096774193549,26,7,3,0.57,Head,global
T1057,144,144,41,0.9024390243902439,0.9024390243902439,0.9024390243902439,37,4,4,0.57,Head,global
T1059,481,481,138,0.8333333333333334,0.8695652173913043,0.851063829787234,120,24,18,0.57,Head,global
T1068,26,48,7,0.8333333333333334,0.7142857142857143,0.7692307692307693,5,1,2,0.57,Medium,global
T1069,45,48,13,0.6,0.6923076923076923,0.6428571428571429,9,6,4,0.57,Medium,global
T1070,238,238,68,0.8714285714285714,0.8970588235294118,0.8840579710144928,61,9,7,0.57,Head,global
T1071,255,255,73,0.8375,0.9178082191780822,0.8758169934640523,67,13,6,0.57,Head,global
T1072,7,48,2,0.0,0.0,0.0,0,0,2,0.57,Tail,global
T1074,68,68,20,0.8666666666666667,0.65,0.7428571428571429,13,2,7,0.57,Medium,global
T1078,63,63,18,0.7,0.7777777777777778,0.7368421052631579,14,6,4,0.57,Medium,global
