Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.36363636363636365,0.36363636363636365,0.36363636363636365,4,7,7,0.62,Medium,global
T1003,237,237,68,0.9272727272727272,0.75,0.8292682926829268,51,4,17,0.62,Head,global
T1005,156,156,44,0.8,0.5454545454545454,0.6486486486486487,24,6,20,0.62,Head,global
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.62,Tail,global
T1007,34,78,10,0.8888888888888888,0.8,0.8421052631578947,8,1,2,0.62,Medium,global
T1008,31,78,9,0.3333333333333333,0.1111111111111111,0.16666666666666666,1,2,8,0.62,Medium,global
T1010,17,78,5,1.0,1.0,1.0,5,0,0,0.62,Tail,global
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.62,Tail,global
T1012,88,88,25,0.7307692307692307,0.76,0.7450980392156863,19,7,6,0.62,Medium,global
T1014,19,78,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.62,Tail,global
T1016,182,182,52,0.8297872340425532,0.75,0.7878787878787878,39,8,13,0.62,Head,global
T1018,40,78,12,0.6153846153846154,0.6666666666666666,0.64,8,5,4,0.62,Medium,global
T1020,18,78,5,0.5,0.2,0.2857142857142857,1,1,4,0.62,Tail,global
T1021,226,226,64,0.7758620689655172,0.703125,0.7377049180327869,45,13,19,0.62,Head,global
T1025,18,78,5,0.5,0.2,0.2857142857142857,1,1,4,0.62,Tail,global
T1027,1105,1110,316,0.7795031055900621,0.7943037974683544,0.786833855799373,251,71,65,0.62,Head,global
T1029,12,78,4,1.0,0.5,0.6666666666666666,2,0,2,0.62,Tail,global
T1030,9,78,3,1.0,1.0,1.0,3,0,0,0.62,Tail,global
T1033,153,153,44,0.8222222222222222,0.8409090909090909,0.8314606741573034,37,8,7,0.62,Head,global
T1036,280,280,80,0.8082191780821918,0.7375,0.7712418300653595,59,14,21,0.62,Head,global
T1037,32,78,9,1.0,0.1111111111111111,0.2,1,0,8,0.62,Medium,global
T1039,10,78,3,0.5,0.6666666666666666,0.5714285714285714,2,2,1,0.62,Tail,global
T1040,12,78,4,1.0,0.5,0.6666666666666666,2,0,2,0.62,Tail,global
T1041,165,165,47,0.7045454545454546,0.6595744680851063,0.6813186813186813,31,13,16,0.62,Head,global
T1046,31,78,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.62,Medium,global
T1047,142,142,40,0.813953488372093,0.875,0.8433734939759037,35,8,5,0.62,Head,global
T1048,37,78,11,0.3333333333333333,0.2727272727272727,0.3,3,6,8,0.62,Medium,global
T1049,51,78,14,0.8888888888888888,0.5714285714285714,0.6956521739130435,8,1,6,0.62,Medium,global
T1052,10,78,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,0.62,Tail,global
T1053,242,243,69,0.9117647058823529,0.8985507246376812,0.9051094890510949,62,6,7,0.62,Head,global
T1055,502,502,143,0.9090909090909091,0.8391608391608392,0.8727272727272727,120,12,23,0.62,Head,global
T1056,156,156,44,0.9090909090909091,0.9090909090909091,0.9090909090909091,40,4,4,0.62,Head,global
T1057,227,227,65,0.8870967741935484,0.8461538461538461,0.8661417322834646,55,7,10,0.62,Head,global
T1059,807,808,231,0.8846153846153846,0.7965367965367965,0.8382687927107062,184,24,47,0.62,Head,global
T1068,37,78,11,0.625,0.45454545454545453,0.5263157894736842,5,3,6,0.62,Medium,global
