Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,0.9722222222222222,0.9459459459459459,0.958904109589041,35,1,2,0.56,Head,global
T1005,78,115,22,0.7647058823529411,0.5909090909090909,0.6666666666666666,13,4,9,0.56,Medium,global
T1012,29,116,8,0.8333333333333334,0.625,0.7142857142857143,5,1,3,0.56,Medium,global
T1016,46,115,13,0.6666666666666666,0.7692307692307693,0.7142857142857143,10,5,3,0.56,Medium,global
T1021,121,128,34,0.8529411764705882,0.8529411764705882,0.8529411764705882,29,5,5,0.56,Head,global
T1027,761,791,218,0.7396694214876033,0.8211009174311926,0.7782608695652173,179,63,39,0.56,Head,global
T1033,45,118,13,0.5,0.46153846153846156,0.48,6,6,7,0.56,Medium,global
T1036,88,114,25,0.9545454545454546,0.84,0.8936170212765957,21,1,4,0.56,Medium,global
T1041,101,114,29,0.625,0.6896551724137931,0.6557377049180327,20,12,9,0.56,Head,global
T1047,82,114,24,0.9166666666666666,0.9166666666666666,0.9166666666666666,22,2,2,0.56,Medium,global
T1053,121,125,35,1.0,0.8571428571428571,0.9230769230769231,30,0,5,0.56,Head,global
T1055,332,340,95,0.865979381443299,0.8842105263157894,0.875,84,13,11,0.56,Head,global
T1056,55,115,16,1.0,1.0,1.0,16,0,0,0.56,Medium,global
T1057,82,114,24,0.9523809523809523,0.8333333333333334,0.8888888888888888,20,1,4,0.56,Medium,global
T1059,325,363,93,0.72,0.7741935483870968,0.7461139896373057,72,28,21,0.56,Head,global
T1068,11,114,3,0.6,1.0,0.75,3,2,0,0.56,Tail,global
T1070,91,114,26,0.7,0.8076923076923077,0.75,21,9,5,0.56,Medium,global
T1071,178,184,51,0.8409090909090909,0.7254901960784313,0.7789473684210526,37,7,14,0.56,Head,global
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.56,Tail,global
T1074,34,119,10,0.8888888888888888,0.8,0.8421052631578947,8,1,2,0.56,Medium,global
T1078,194,217,56,0.7636363636363637,0.75,0.7567567567567568,42,13,14,0.56,Head,global
T1082,128,173,36,0.8,0.6666666666666666,0.7272727272727273,24,6,12,0.56,Head,global
T1083,108,120,31,0.8,0.7741935483870968,0.7868852459016393,24,6,7,0.56,Head,global
T1090,167,167,48,0.8723404255319149,0.8541666666666666,0.8631578947368421,41,6,7,0.56,Head,global
T1095,60,114,17,0.875,0.8235294117647058,0.8484848484848485,14,2,3,0.56,Medium,global
T1105,311,324,89,0.8279569892473119,0.8651685393258427,0.8461538461538461,77,16,12,0.56,Head,global
T1106,222,244,64,0.6933333333333334,0.8125,0.7482014388489209,52,23,12,0.56,Head,global
T1110,63,116,18,0.8823529411764706,0.8333333333333334,0.8571428571428571,15,2,3,0.56,Medium,global
T1112,123,131,35,0.9393939393939394,0.8857142857142857,0.9117647058823529,31,2,4,0.56,Head,global
T1113,37,118,11,0.7777777777777778,0.6363636363636364,0.7,7,2,4,0.56,Medium,global
T1140,479,485,137,0.8794326241134752,0.9051094890510949,0.8920863309352518,124,17,13,0.56,Head,global
T1190,68,114,20,0.85,0.85,0.85,17,3,3,0.56,Medium,global
T1204,114,118,32,0.9032258064516129,0.875,0.8888888888888888,28,3,4,0.56,Head,global
T1210,17,114,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.56,Tail,global
T1218,59,114,17,0.8666666666666667,0.7647058823529411,0.8125,13,2,4,0.56,Medium,global
T1219,68,116,19,0.8571428571428571,0.9473684210526315,0.9,18,3,1,0.56,Medium,global
T1484,28,114,8,0.8888888888888888,1.0,0.9411764705882353,8,1,0,0.56,Medium,global
T1518,43,114,12,0.9166666666666666,0.9166666666666666,0.9166666666666666,11,1,1,0.56,Medium,global
T1543,58,117,17,0.9285714285714286,0.7647058823529411,0.8387096774193549,13,1,4,0.56,Medium,global
T1547,80,114,23,0.84,0.9130434782608695,0.875,21,4,2,0.56,Medium,global
T1548,31,114,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.56,Medium,global
T1552,28,114,8,0.6363636363636364,0.875,0.7368421052631579,7,4,1,0.56,Medium,global
T1557,7,114,2,1.0,1.0,1.0,2,0,0,0.56,Tail,global
T1562,108,126,31,0.7567567567567568,0.9032258064516129,0.8235294117647058,28,9,3,0.56,Head,global
T1564,21,117,6,0.8571428571428571,1.0,0.9230769230769231,6,1,0,0.56,Medium,global
T1566,107,114,31,0.8888888888888888,0.7741935483870968,0.8275862068965517,24,3,7,0.56,Head,global
T1569,26,115,8,0.7142857142857143,0.625,0.6666666666666666,5,2,3,0.56,Medium,global
T1570,73,114,21,0.8666666666666667,0.6190476190476191,0.7222222222222222,13,2,8,0.56,Medium,global
T1573,72,115,21,0.7368421052631579,0.6666666666666666,0.7,14,5,7,0.56,Medium,global
T1574,88,114,25,1.0,0.88,0.9361702127659575,22,0,3,0.56,Medium,global
