minority_threshold,global_threshold,minority_macro_f2,minority_macro_recall,overall_micro_precision,overall_micro_recall,overall_micro_f1,overall_macro_precision,overall_macro_recall,overall_macro_f1,hamming_loss
0.05,0.6,0.017602312438105776,0.8875,0.04414229334486674,0.7721040189125296,0.08351018947045437,0.4473566361955853,0.7492119029128632,0.3996542208759881,0.09354968366984737
0.06,0.6,0.026360135133230028,0.8625,0.06544534168976739,0.7702127659574468,0.1206398578093757,0.44813966426636065,0.7385736050405227,0.40120084877831647,0.06198191802559873
0.07,0.6,0.039779943389613645,0.8583333333333332,0.09486073884162685,0.7697399527186761,0.1689059500959693,0.449371006186593,0.7368005553951328,0.4036167158970011,0.04181456580293571
0.08,0.6,0.056451959997838766,0.8270833333333332,0.13363486842105263,0.7683215130023641,0.2276707530647986,0.4509667006801633,0.7235026830547072,0.4067131014720544,0.02877508195352139
0.09,0.6,0.08175245342540394,0.8229166666666666,0.1825744800449691,0.7678486997635934,0.29500454132606724,0.45352568491554457,0.7217296334093172,0.41160459070571087,0.020258701689182135
0.1,0.6,0.11335150527987421,0.80625,0.24096922848223576,0.7664302600472813,0.3666591268943678,0.45701016349578766,0.7146374348277568,0.41810691871692723,0.014615914643058484
0.11,0.6,0.14503742964912295,0.775,0.3017176997759522,0.7640661938534279,0.4326060768304109,0.4609434310380488,0.7013395624873312,0.4251985177228807,0.011063725387843735
0.12,0.6,0.1800152568167965,0.75625,0.36010709504685406,0.7631205673758865,0.48931332423829016,0.4657812633754687,0.6933608390830759,0.433626788513245,0.008793038648654291
0.13,0.6,0.21801125343189484,0.75,0.4183091286307054,0.7626477541371158,0.5402780103835203,0.47152916728951877,0.6907012646149908,0.4433391887065642,0.007164408159856347
0.14,0.6,0.25718431833425165,0.7333333333333333,0.474102413184226,0.7617021276595745,0.5844367857790677,0.47883398128103,0.6836090660334306,0.4548102538220862,0.005979475079865533
0.15,0.6,0.2904166590040854,0.7208333333333333,0.5173521850899743,0.7612293144208038,0.6160321408073465,0.4860550283296431,0.6782899170972604,0.4654590936810193,0.0052382394086818536
0.16,0.6,0.31605602940374883,0.7083333333333333,0.5577123050259966,0.7607565011820331,0.6436,0.4916700305417505,0.6729707681610901,0.4738055743475484,0.004650992838201825
0.17,0.6,0.33962096338941733,0.6895833333333333,0.5936461026967123,0.7598108747044917,0.6665284114475322,0.49799805384433465,0.6649920447568348,0.48261797497735415,0.004196855490363936
0.18,0.6,0.3735335016685936,0.6854166666666666,0.6290638464551508,0.759338061465721,0.68808911739503,0.5074084367704669,0.6632189951114447,0.49536376726720915,0.003800137807195206
0.19,0.6,0.40219544822904546,0.675,0.6565697912402784,0.7583924349881797,0.7038174637999123,0.520350029027394,0.6587863709979696,0.509450768077563,0.0035234794228801705
0.2,0.6,0.42402319248630993,0.66875,0.677801268498943,0.757919621749409,0.715625,0.5293452787540268,0.6561267965298845,0.5198932230370127,0.0033251205812958053
0.21,0.6,0.4397715828861034,0.66875,0.6930393428447903,0.757919621749409,0.7240289069557362,0.535547618780555,0.6561267965298845,0.527061077641541,0.0031894013738959764
