Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.5,0.45454545454545453,0.47619047619047616,5,5,6,0.6000000238418579,Medium,minority_f2
T1003,237,237,68,0.875,0.8235294117647058,0.8484848484848485,56,8,12,0.6000000238418579,Head,minority_f2
T1005,156,156,44,0.78125,0.5681818181818182,0.6578947368421053,25,7,19,0.6000000238418579,Head,minority_f2
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.36000001430511475,Tail,minority_f2
T1007,34,78,10,0.75,0.9,0.8181818181818182,9,3,1,0.6000000238418579,Medium,minority_f2
T1008,31,78,9,0.75,0.3333333333333333,0.46153846153846156,3,1,6,0.6000000238418579,Medium,minority_f2
T1010,17,78,5,1.0,1.0,1.0,5,0,0,0.36000001430511475,Tail,minority_f2
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.36000001430511475,Tail,minority_f2
T1012,88,88,25,0.7692307692307693,0.8,0.7843137254901961,20,6,5,0.6000000238418579,Medium,minority_f2
T1014,19,78,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.36000001430511475,Tail,minority_f2
T1016,182,182,52,0.8695652173913043,0.7692307692307693,0.8163265306122449,40,6,12,0.6000000238418579,Head,minority_f2
T1018,40,78,12,0.8,0.6666666666666666,0.7272727272727273,8,2,4,0.6000000238418579,Medium,minority_f2
T1020,18,78,5,0.4,0.4,0.4,2,3,3,0.36000001430511475,Tail,minority_f2
T1021,226,226,64,0.765625,0.765625,0.765625,49,15,15,0.6000000238418579,Head,minority_f2
T1025,18,78,5,0.2,0.4,0.26666666666666666,2,8,3,0.36000001430511475,Tail,minority_f2
T1027,1105,1110,316,0.7878787878787878,0.8227848101265823,0.804953560371517,260,70,56,0.6000000238418579,Head,minority_f2
T1029,12,78,4,0.4,0.5,0.4444444444444444,2,3,2,0.36000001430511475,Tail,minority_f2
T1030,9,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.36000001430511475,Tail,minority_f2
T1033,153,153,44,0.8,0.8181818181818182,0.8089887640449438,36,9,8,0.6000000238418579,Head,minority_f2
T1036,280,280,80,0.8235294117647058,0.7,0.7567567567567568,56,12,24,0.6000000238418579,Head,minority_f2
T1037,32,78,9,1.0,0.1111111111111111,0.2,1,0,8,0.6000000238418579,Medium,minority_f2
T1039,10,78,3,0.2857142857142857,0.6666666666666666,0.4,2,5,1,0.36000001430511475,Tail,minority_f2
T1040,12,78,4,0.5,0.5,0.5,2,2,2,0.36000001430511475,Tail,minority_f2
T1041,165,165,47,0.6379310344827587,0.7872340425531915,0.7047619047619048,37,21,10,0.6000000238418579,Head,minority_f2
T1046,31,78,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.6000000238418579,Medium,minority_f2
T1047,142,142,40,0.813953488372093,0.875,0.8433734939759037,35,8,5,0.6000000238418579,Head,minority_f2
T1048,37,78,11,0.25,0.2727272727272727,0.2608695652173913,3,9,8,0.6000000238418579,Medium,minority_f2
T1049,51,78,14,0.8461538461538461,0.7857142857142857,0.8148148148148148,11,2,3,0.6000000238418579,Medium,minority_f2
T1052,10,78,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,0.36000001430511475,Tail,minority_f2
T1053,242,243,69,0.927536231884058,0.927536231884058,0.927536231884058,64,5,5,0.6000000238418579,Head,minority_f2
T1055,502,502,143,0.8802816901408451,0.8741258741258742,0.8771929824561403,125,17,18,0.6000000238418579,Head,minority_f2
T1056,156,156,44,0.9069767441860465,0.8863636363636364,0.896551724137931,39,4,5,0.6000000238418579,Head,minority_f2
T1057,227,227,65,0.9090909090909091,0.7692307692307693,0.8333333333333334,50,5,15,0.6000000238418579,Head,minority_f2
T1059,807,808,231,0.8851674641148325,0.8008658008658008,0.8409090909090909,185,24,46,0.6000000238418579,Head,minority_f2
T1068,37,78,11,0.7272727272727273,0.7272727272727273,0.7272727272727273,8,3,3,0.6000000238418579,Medium,minority_f2
T1069,45,78,13,0.8888888888888888,0.6153846153846154,0.7272727272727273,8,1,5,0.6000000238418579,Medium,minority_f2
T1070,329,329,94,0.7777777777777778,0.8936170212765957,0.8316831683168316,84,24,10,0.6000000238418579,Head,minority_f2
T1071,432,432,124,0.8823529411764706,0.8467741935483871,0.8641975308641975,105,14,19,0.6000000238418579,Head,minority_f2
T1072,20,78,6,1.0,0.5,0.6666666666666666,3,0,3,0.6000000238418579,Medium,minority_f2
T1074,103,103,29,0.8636363636363636,0.6551724137931034,0.7450980392156863,19,3,10,0.6000000238418579,Head,minority_f2
T1078,257,263,74,0.9056603773584906,0.6486486486486487,0.7559055118110236,48,5,26,0.6000000238418579,Head,minority_f2
T1080,16,78,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.36000001430511475,Tail,minority_f2
T1082,332,332,95,0.9135802469135802,0.7789473684210526,0.8409090909090909,74,7,21,0.6000000238418579,Head,minority_f2
T1083,287,287,82,0.8076923076923077,0.7682926829268293,0.7875,63,15,19,0.6000000238418579,Head,minority_f2
T1087,66,78,19,0.75,0.631578947368421,0.6857142857142857,12,4,7,0.6000000238418579,Medium,minority_f2
T1090,254,254,73,0.863013698630137,0.863013698630137,0.863013698630137,63,10,10,0.6000000238418579,Head,minority_f2
T1091,17,78,5,0.6666666666666666,0.8,0.7272727272727273,4,2,1,0.36000001430511475,Tail,minority_f2
