Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.75,0.5454545454545454,0.631578947368421,6,2,5,0.57,Medium,global
T1003,237,237,68,0.8833333333333333,0.7794117647058824,0.828125,53,7,15,0.57,Head,global
T1005,156,156,44,0.7297297297297297,0.6136363636363636,0.6666666666666666,27,10,17,0.57,Head,global
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.57,Tail,global
T1007,34,78,10,0.8,0.8,0.8,8,2,2,0.57,Medium,global
T1008,31,78,9,0.5,0.3333333333333333,0.4,3,3,6,0.57,Medium,global
T1010,17,78,5,1.0,1.0,1.0,5,0,0,0.57,Tail,global
T1011,5,78,2,1.0,1.0,1.0,2,0,0,0.57,Tail,global
T1012,88,88,25,0.7083333333333334,0.68,0.6938775510204082,17,7,8,0.57,Medium,global
T1014,19,78,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.57,Tail,global
T1016,182,182,52,0.8,0.7692307692307693,0.7843137254901961,40,10,12,0.57,Head,global
T1018,40,78,12,1.0,0.5833333333333334,0.7368421052631579,7,0,5,0.57,Medium,global
T1020,18,78,5,0.6666666666666666,0.4,0.5,2,1,3,0.57,Tail,global
T1021,226,226,64,0.8,0.75,0.7741935483870968,48,12,16,0.57,Head,global
T1025,18,78,5,0.2,0.2,0.2,1,4,4,0.57,Tail,global
T1027,1105,1110,316,0.7392550143266475,0.8164556962025317,0.7759398496240602,258,91,58,0.57,Head,global
T1029,12,78,4,0.5,0.25,0.3333333333333333,1,1,3,0.57,Tail,global
T1030,9,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.57,Tail,global
T1033,153,153,44,0.8372093023255814,0.8181818181818182,0.8275862068965517,36,7,8,0.57,Head,global
T1036,280,280,80,0.7375,0.7375,0.7375,59,21,21,0.57,Head,global
T1037,32,78,9,0.6666666666666666,0.2222222222222222,0.3333333333333333,2,1,7,0.57,Medium,global
T1039,10,78,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,0.57,Tail,global
T1040,12,78,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.57,Tail,global
T1041,165,165,47,0.6470588235294118,0.7021276595744681,0.673469387755102,33,18,14,0.57,Head,global
T1046,31,78,9,1.0,0.5555555555555556,0.7142857142857143,5,0,4,0.57,Medium,global
T1047,142,142,40,0.8095238095238095,0.85,0.8292682926829268,34,8,6,0.57,Head,global
T1048,37,78,11,0.4,0.18181818181818182,0.25,2,3,9,0.57,Medium,global
T1049,51,78,14,0.6363636363636364,0.5,0.56,7,4,7,0.57,Medium,global
T1052,10,78,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,0.57,Tail,global
T1053,242,243,69,0.927536231884058,0.927536231884058,0.927536231884058,64,5,5,0.57,Head,global
T1055,502,502,143,0.8571428571428571,0.8811188811188811,0.8689655172413793,126,21,17,0.57,Head,global
T1056,156,156,44,0.8837209302325582,0.8636363636363636,0.8735632183908046,38,5,6,0.57,Head,global
T1057,227,227,65,0.873015873015873,0.8461538461538461,0.859375,55,8,10,0.57,Head,global
T1059,807,808,231,0.8230088495575221,0.8051948051948052,0.8140043763676149,186,40,45,0.57,Head,global
T1068,37,78,11,0.7,0.6363636363636364,0.6666666666666666,7,3,4,0.57,Medium,global
T1069,45,78,13,0.9,0.6923076923076923,0.782608695652174,9,1,4,0.57,Medium,global
T1070,329,329,94,0.8252427184466019,0.9042553191489362,0.8629441624365483,85,18,9,0.57,Head,global
T1071,432,432,124,0.823076923076923,0.8629032258064516,0.84251968503937,107,23,17,0.57,Head,global
T1072,20,78,6,1.0,0.5,0.6666666666666666,3,0,3,0.57,Medium,global
T1074,103,103,29,0.7307692307692307,0.6551724137931034,0.6909090909090909,19,7,10,0.57,Head,global
T1078,257,263,74,0.7808219178082192,0.7702702702702703,0.7755102040816326,57,16,17,0.57,Head,global
T1080,16,78,4,1.0,0.25,0.4,1,0,3,0.57,Tail,global
T1082,332,332,95,0.7475728155339806,0.8105263157894737,0.7777777777777778,77,26,18,0.57,Head,global
T1083,287,287,82,0.84,0.7682926829268293,0.802547770700637,63,12,19,0.57,Head,global
T1087,66,78,19,0.625,0.5263157894736842,0.5714285714285714,10,6,9,0.57,Medium,global
T1090,254,254,73,0.8356164383561644,0.8356164383561644,0.8356164383561644,61,12,12,0.57,Head,global
T1091,17,78,5,0.3333333333333333,0.2,0.25,1,2,4,0.57,Tail,global
T1092,4,78,1,0.5,1.0,0.6666666666666666,1,1,0,0.57,Tail,global
T1095,98,98,28,0.8518518518518519,0.8214285714285714,0.8363636363636363,23,4,5,0.57,Medium,global
T1098,33,78,10,0.625,0.5,0.5555555555555556,5,3,5,0.57,Medium,global
T1102,71,78,20,0.6470588235294118,0.55,0.5945945945945946,11,6,9,0.57,Medium,global
T1104,12,78,3,0.0,0.0,0.0,0,0,3,0.57,Tail,global
T1105,547,547,156,0.7806451612903226,0.7756410256410257,0.7781350482315113,121,34,35,0.57,Head,global
T1106,304,305,87,0.7291666666666666,0.8045977011494253,0.7650273224043715,70,26,17,0.57,Head,global
T1110,112,112,32,0.8666666666666667,0.8125,0.8387096774193549,26,4,6,0.57,Head,global
T1111,9,78,3,1.0,1.0,1.0,3,0,0,0.57,Tail,global
T1112,203,203,58,0.7205882352941176,0.8448275862068966,0.7777777777777778,49,19,9,0.57,Head,global
T1113,117,117,33,0.8823529411764706,0.9090909090909091,0.8955223880597015,30,4,3,0.57,Head,global
T1114,36,78,10,0.75,0.6,0.6666666666666666,6,2,4,0.57,Medium,global
T1115,22,78,6,0.7142857142857143,0.8333333333333334,0.7692307692307693,5,2,1,0.57,Medium,global
T1119,33,78,10,0.4,0.2,0.26666666666666666,2,3,8,0.57,Medium,global
T1120,31,78,9,0.7142857142857143,0.5555555555555556,0.625,5,2,4,0.57,Medium,global
T1123,19,78,5,1.0,1.0,1.0,5,0,0,0.57,Tail,global
