Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,0.972972972972973,0.972972972972973,0.972972972972973,36,1,1,0.55,Head,global
T1005,78,115,22,0.6956521739130435,0.7272727272727273,0.7111111111111111,16,7,6,0.55,Medium,global
T1012,29,116,8,0.75,0.75,0.75,6,2,2,0.55,Medium,global
T1016,46,115,13,0.7692307692307693,0.7692307692307693,0.7692307692307693,10,3,3,0.55,Medium,global
T1021,121,128,34,0.8571428571428571,0.8823529411764706,0.8695652173913043,30,5,4,0.55,Head,global
T1027,761,791,218,0.744,0.8532110091743119,0.7948717948717948,186,64,32,0.55,Head,global
T1033,45,118,13,0.7,0.5384615384615384,0.6086956521739131,7,3,6,0.55,Medium,global
T1036,88,114,25,0.9166666666666666,0.88,0.8979591836734694,22,2,3,0.55,Medium,global
T1041,101,114,29,0.5945945945945946,0.7586206896551724,0.6666666666666666,22,15,7,0.55,Head,global
T1047,82,114,24,0.9565217391304348,0.9166666666666666,0.9361702127659575,22,1,2,0.55,Medium,global
T1053,121,125,35,1.0,0.8571428571428571,0.9230769230769231,30,0,5,0.55,Head,global
T1055,332,340,95,0.865979381443299,0.8842105263157894,0.875,84,13,11,0.55,Head,global
T1056,55,115,16,0.9411764705882353,1.0,0.9696969696969697,16,1,0,0.55,Medium,global
T1057,82,114,24,0.9130434782608695,0.875,0.8936170212765957,21,2,3,0.55,Medium,global
T1059,325,363,93,0.72,0.7741935483870968,0.7461139896373057,72,28,21,0.55,Head,global
T1068,11,114,3,0.75,1.0,0.8571428571428571,3,1,0,0.55,Tail,global
T1070,91,114,26,0.7037037037037037,0.7307692307692307,0.7169811320754716,19,8,7,0.55,Medium,global
T1071,178,184,51,0.8863636363636364,0.7647058823529411,0.8210526315789474,39,5,12,0.55,Head,global
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.55,Tail,global
T1074,34,119,10,0.7272727272727273,0.8,0.7619047619047619,8,3,2,0.55,Medium,global
T1078,194,217,56,0.8269230769230769,0.7678571428571429,0.7962962962962963,43,9,13,0.55,Head,global
T1082,128,173,36,0.8,0.6666666666666666,0.7272727272727273,24,6,12,0.55,Head,global
T1083,108,120,31,0.8275862068965517,0.7741935483870968,0.8,24,5,7,0.55,Head,global
T1090,167,167,48,0.8723404255319149,0.8541666666666666,0.8631578947368421,41,6,7,0.55,Head,global
T1095,60,114,17,0.9333333333333333,0.8235294117647058,0.875,14,1,3,0.55,Medium,global
T1105,311,324,89,0.8,0.8539325842696629,0.8260869565217391,76,19,13,0.55,Head,global
T1106,222,244,64,0.6923076923076923,0.84375,0.7605633802816901,54,24,10,0.55,Head,global
T1110,63,116,18,0.9285714285714286,0.7222222222222222,0.8125,13,1,5,0.55,Medium,global
T1112,123,131,35,0.9117647058823529,0.8857142857142857,0.8985507246376812,31,3,4,0.55,Head,global
T1113,37,118,11,0.875,0.6363636363636364,0.7368421052631579,7,1,4,0.55,Medium,global
T1140,479,485,137,0.8951048951048951,0.9343065693430657,0.9142857142857143,128,15,9,0.55,Head,global
T1190,68,114,20,0.85,0.85,0.85,17,3,3,0.55,Medium,global
T1204,114,118,32,0.9032258064516129,0.875,0.8888888888888888,28,3,4,0.55,Head,global
T1210,17,114,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.55,Tail,global
T1218,59,114,17,0.8235294117647058,0.8235294117647058,0.8235294117647058,14,3,3,0.55,Medium,global
T1219,68,116,19,0.8260869565217391,1.0,0.9047619047619048,19,4,0,0.55,Medium,global
T1484,28,114,8,0.8888888888888888,1.0,0.9411764705882353,8,1,0,0.55,Medium,global
T1518,43,114,12,0.9166666666666666,0.9166666666666666,0.9166666666666666,11,1,1,0.55,Medium,global
T1543,58,117,17,0.7647058823529411,0.7647058823529411,0.7647058823529411,13,4,4,0.55,Medium,global
T1547,80,114,23,0.9130434782608695,0.9130434782608695,0.9130434782608695,21,2,2,0.55,Medium,global
T1548,31,114,9,0.875,0.7777777777777778,0.8235294117647058,7,1,2,0.55,Medium,global
T1552,28,114,8,0.5384615384615384,0.875,0.6666666666666666,7,6,1,0.55,Medium,global
T1557,7,114,2,1.0,1.0,1.0,2,0,0,0.55,Tail,global
T1562,108,126,31,0.7941176470588235,0.8709677419354839,0.8307692307692308,27,7,4,0.55,Head,global
T1564,21,117,6,1.0,1.0,1.0,6,0,0,0.55,Medium,global
T1566,107,114,31,0.92,0.7419354838709677,0.8214285714285714,23,2,8,0.55,Head,global
T1569,26,115,8,0.875,0.875,0.875,7,1,1,0.55,Medium,global
T1570,73,114,21,0.875,0.6666666666666666,0.7567567567567568,14,2,7,0.55,Medium,global
T1573,72,115,21,0.7368421052631579,0.6666666666666666,0.7,14,5,7,0.55,Medium,global
T1574,88,114,25,0.96,0.96,0.96,24,1,1,0.55,Medium,global
