Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,48,11,0.5555555555555556,0.45454545454545453,0.5,5,4,6,0.51,Medium,global
T1003,107,107,30,0.7241379310344828,0.7,0.711864406779661,21,8,9,0.51,Head,global
T1005,78,78,22,0.5714285714285714,0.7272727272727273,0.64,16,12,6,0.51,Medium,global
T1006,3,48,1,1.0,1.0,1.0,1,0,0,0.51,Tail,global
T1007,34,48,10,0.875,0.7,0.7777777777777778,7,1,3,0.51,Medium,global
T1008,31,48,9,1.0,0.8888888888888888,0.9411764705882353,8,0,1,0.51,Medium,global
T1010,17,48,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.51,Tail,global
T1011,5,48,2,1.0,0.5,0.6666666666666666,1,0,1,0.51,Tail,global
T1012,59,59,17,0.7777777777777778,0.8235294117647058,0.8,14,4,3,0.51,Medium,global
T1014,19,48,5,1.0,0.8,0.8888888888888888,4,0,1,0.51,Tail,global
T1016,136,136,39,0.7021276595744681,0.8461538461538461,0.7674418604651163,33,14,6,0.51,Head,global
T1018,40,48,12,0.5714285714285714,0.6666666666666666,0.6153846153846154,8,6,4,0.51,Medium,global
T1020,18,48,5,0.5,0.2,0.2857142857142857,1,1,4,0.51,Tail,global
T1021,105,105,30,0.8275862068965517,0.8,0.8135593220338984,24,5,6,0.51,Head,global
T1025,18,48,5,0.4,0.4,0.4,2,3,3,0.51,Tail,global
T1027,344,344,98,0.7876106194690266,0.9081632653061225,0.8436018957345972,89,24,9,0.51,Head,global
T1029,12,48,4,1.0,0.25,0.4,1,0,3,0.51,Tail,global
T1030,9,48,3,1.0,0.6666666666666666,0.8,2,0,1,0.51,Tail,global
T1033,108,108,31,0.6666666666666666,0.9032258064516129,0.7671232876712328,28,14,3,0.51,Head,global
T1036,192,192,55,0.8518518518518519,0.8363636363636363,0.8440366972477065,46,8,9,0.51,Head,global
T1037,32,48,9,1.0,0.4444444444444444,0.6153846153846154,4,0,5,0.51,Medium,global
