Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,78,11,0.5555555555555556,0.45454545454545453,0.5,5,4,6,0.5600000023841858,Medium,minority_f2
T1003,237,237,68,0.9310344827586207,0.7941176470588235,0.8571428571428571,54,4,14,0.5600000023841858,Head,minority_f2
T1005,156,156,44,0.7631578947368421,0.6590909090909091,0.7073170731707317,29,9,15,0.5600000023841858,Head,minority_f2
T1006,3,78,1,1.0,1.0,1.0,1,0,0,0.30000001192092896,Tail,minority_f2
T1007,34,78,10,0.8888888888888888,0.8,0.8421052631578947,8,1,2,0.5600000023841858,Medium,minority_f2
T1008,31,78,9,0.3333333333333333,0.2222222222222222,0.26666666666666666,2,4,7,0.5600000023841858,Medium,minority_f2
T1010,17,78,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.30000001192092896,Tail,minority_f2
T1011,5,78,2,1.0,0.5,0.6666666666666666,1,0,1,0.30000001192092896,Tail,minority_f2
T1012,88,88,25,0.7307692307692307,0.76,0.7450980392156863,19,7,6,0.5600000023841858,Medium,minority_f2
T1014,19,78,5,0.5555555555555556,1.0,0.7142857142857143,5,4,0,0.30000001192092896,Tail,minority_f2
T1016,182,182,52,0.8163265306122449,0.7692307692307693,0.7920792079207921,40,9,12,0.5600000023841858,Head,minority_f2
T1018,40,78,12,0.8888888888888888,0.6666666666666666,0.7619047619047619,8,1,4,0.5600000023841858,Medium,minority_f2
T1020,18,78,5,0.14285714285714285,0.2,0.16666666666666666,1,6,4,0.30000001192092896,Tail,minority_f2
T1021,226,226,64,0.8360655737704918,0.796875,0.816,51,10,13,0.5600000023841858,Head,minority_f2
T1025,18,78,5,0.23529411764705882,0.8,0.36363636363636365,4,13,1,0.30000001192092896,Tail,minority_f2
T1027,1105,1110,316,0.7781065088757396,0.8322784810126582,0.8042813455657493,263,75,53,0.5600000023841858,Head,minority_f2
T1029,12,78,4,0.2857142857142857,0.5,0.36363636363636365,2,5,2,0.30000001192092896,Tail,minority_f2
T1030,9,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.30000001192092896,Tail,minority_f2
T1033,153,153,44,0.8571428571428571,0.8181818181818182,0.8372093023255814,36,6,8,0.5600000023841858,Head,minority_f2
T1036,280,280,80,0.7738095238095238,0.8125,0.7926829268292683,65,19,15,0.5600000023841858,Head,minority_f2
T1037,32,78,9,1.0,0.2222222222222222,0.36363636363636365,2,0,7,0.5600000023841858,Medium,minority_f2
T1039,10,78,3,0.2,0.6666666666666666,0.3076923076923077,2,8,1,0.30000001192092896,Tail,minority_f2
T1040,12,78,4,0.42857142857142855,0.75,0.5454545454545454,3,4,1,0.30000001192092896,Tail,minority_f2
T1041,165,165,47,0.7021276595744681,0.7021276595744681,0.7021276595744681,33,14,14,0.5600000023841858,Head,minority_f2
T1046,31,78,9,1.0,0.5555555555555556,0.7142857142857143,5,0,4,0.5600000023841858,Medium,minority_f2
T1047,142,142,40,0.7708333333333334,0.925,0.8409090909090909,37,11,3,0.5600000023841858,Head,minority_f2
T1048,37,78,11,0.2857142857142857,0.36363636363636365,0.32,4,10,7,0.5600000023841858,Medium,minority_f2
T1049,51,78,14,0.7692307692307693,0.7142857142857143,0.7407407407407407,10,3,4,0.5600000023841858,Medium,minority_f2
T1052,10,78,3,0.14285714285714285,0.3333333333333333,0.2,1,6,2,0.30000001192092896,Tail,minority_f2
T1053,242,243,69,0.9558823529411765,0.9420289855072463,0.948905109489051,65,3,4,0.5600000023841858,Head,minority_f2
T1055,502,502,143,0.8811188811188811,0.8811188811188811,0.8811188811188811,126,17,17,0.5600000023841858,Head,minority_f2
T1056,156,156,44,0.8837209302325582,0.8636363636363636,0.8735632183908046,38,5,6,0.5600000023841858,Head,minority_f2
T1057,227,227,65,0.8571428571428571,0.8307692307692308,0.84375,54,9,11,0.5600000023841858,Head,minority_f2
T1059,807,808,231,0.8577981651376146,0.8095238095238095,0.8329621380846325,187,31,44,0.5600000023841858,Head,minority_f2
T1068,37,78,11,0.625,0.45454545454545453,0.5263157894736842,5,3,6,0.5600000023841858,Medium,minority_f2
T1069,45,78,13,0.8888888888888888,0.6153846153846154,0.7272727272727273,8,1,5,0.5600000023841858,Medium,minority_f2
T1070,329,329,94,0.7830188679245284,0.8829787234042553,0.83,83,23,11,0.5600000023841858,Head,minority_f2
T1071,432,432,124,0.872,0.8790322580645161,0.8755020080321285,109,16,15,0.5600000023841858,Head,minority_f2
T1072,20,78,6,1.0,0.5,0.6666666666666666,3,0,3,0.5600000023841858,Medium,minority_f2
T1074,103,103,29,0.6785714285714286,0.6551724137931034,0.6666666666666666,19,9,10,0.5600000023841858,Head,minority_f2
T1078,257,263,74,0.7894736842105263,0.8108108108108109,0.8,60,16,14,0.5600000023841858,Head,minority_f2
T1080,16,78,4,0.2222222222222222,0.5,0.3076923076923077,2,7,2,0.30000001192092896,Tail,minority_f2
T1082,332,332,95,0.7549019607843137,0.8105263157894737,0.7817258883248731,77,25,18,0.5600000023841858,Head,minority_f2
T1083,287,287,82,0.7951807228915663,0.8048780487804879,0.8,66,17,16,0.5600000023841858,Head,minority_f2
T1087,66,78,19,0.631578947368421,0.631578947368421,0.631578947368421,12,7,7,0.5600000023841858,Medium,minority_f2
T1090,254,254,73,0.8533333333333334,0.8767123287671232,0.8648648648648649,64,11,9,0.5600000023841858,Head,minority_f2
T1091,17,78,5,0.5,0.8,0.6153846153846154,4,4,1,0.30000001192092896,Tail,minority_f2
T1092,4,78,1,0.3333333333333333,1.0,0.5,1,2,0,0.30000001192092896,Tail,minority_f2
T1095,98,98,28,0.8275862068965517,0.8571428571428571,0.8421052631578947,24,5,4,0.5600000023841858,Medium,minority_f2
T1098,33,78,10,0.875,0.7,0.7777777777777778,7,1,3,0.5600000023841858,Medium,minority_f2
T1102,71,78,20,0.75,0.6,0.6666666666666666,12,4,8,0.5600000023841858,Medium,minority_f2
T1104,12,78,3,0.2,0.3333333333333333,0.25,1,4,2,0.30000001192092896,Tail,minority_f2
T1105,547,547,156,0.8759124087591241,0.7692307692307693,0.8191126279863481,120,17,36,0.5600000023841858,Head,minority_f2
T1106,304,305,87,0.75,0.7241379310344828,0.7368421052631579,63,21,24,0.5600000023841858,Head,minority_f2
T1110,112,112,32,0.8275862068965517,0.75,0.7868852459016393,24,5,8,0.5600000023841858,Head,minority_f2
T1111,9,78,3,0.375,1.0,0.5454545454545454,3,5,0,0.30000001192092896,Tail,minority_f2
T1112,203,203,58,0.75,0.8793103448275862,0.8095238095238095,51,17,7,0.5600000023841858,Head,minority_f2
T1113,117,117,33,0.9090909090909091,0.9090909090909091,0.9090909090909091,30,3,3,0.5600000023841858,Head,minority_f2
T1114,36,78,10,0.75,0.6,0.6666666666666666,6,2,4,0.5600000023841858,Medium,minority_f2
T1115,22,78,6,0.7142857142857143,0.8333333333333334,0.7692307692307693,5,2,1,0.5600000023841858,Medium,minority_f2
T1119,33,78,10,0.25,0.1,0.14285714285714285,1,3,9,0.5600000023841858,Medium,minority_f2
T1120,31,78,9,0.8333333333333334,0.5555555555555556,0.6666666666666666,5,1,4,0.5600000023841858,Medium,minority_f2
T1123,19,78,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.30000001192092896,Tail,minority_f2
T1124,45,78,13,0.9230769230769231,0.9230769230769231,0.9230769230769231,12,1,1,0.5600000023841858,Medium,minority_f2
T1125,19,78,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.30000001192092896,Tail,minority_f2
T1127,9,78,3,0.5,0.6666666666666666,0.5714285714285714,2,2,1,0.30000001192092896,Tail,minority_f2
T1129,15,78,4,0.42857142857142855,0.75,0.5454545454545454,3,4,1,0.30000001192092896,Tail,minority_f2
T1132,66,78,19,0.8888888888888888,0.8421052631578947,0.8648648648648649,16,2,3,0.5600000023841858,Medium,minority_f2
T1133,26,78,8,1.0,0.375,0.5454545454545454,3,0,5,0.5600000023841858,Medium,minority_f2
T1134,52,78,15,0.6842105263157895,0.8666666666666667,0.7647058823529411,13,6,2,0.5600000023841858,Medium,minority_f2
T1135,31,78,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,5,4,4,0.5600000023841858,Medium,minority_f2
T1136,27,78,8,0.6363636363636364,0.875,0.7368421052631579,7,4,1,0.5600000023841858,Medium,minority_f2
T1137,38,78,11,0.9,0.8181818181818182,0.8571428571428571,9,1,2,0.5600000023841858,Medium,minority_f2
T1140,616,616,176,0.8953488372093024,0.875,0.8850574712643678,154,18,22,0.5600000023841858,Head,minority_f2
T1176,11,78,3,1.0,0.6666666666666666,0.8,2,0,1,0.30000001192092896,Tail,minority_f2
T1185,15,78,4,0.1111111111111111,0.25,0.15384615384615385,1,8,3,0.30000001192092896,Tail,minority_f2
T1187,12,78,4,0.2857142857142857,0.5,0.36363636363636365,2,5,2,0.30000001192092896,Tail,minority_f2
T1189,37,78,10,0.42857142857142855,0.3,0.35294117647058826,3,4,7,0.5600000023841858,Medium,minority_f2
T1190,88,88,25,0.75,0.84,0.7924528301886793,21,7,4,0.5600000023841858,Medium,minority_f2
T1195,19,78,6,0.5,0.3333333333333333,0.4,2,2,4,0.30000001192092896,Tail,minority_f2
T1197,15,78,4,0.5,0.75,0.6,3,3,1,0.30000001192092896,Tail,minority_f2
T1199,8,78,2,0.0,0.0,0.0,0,1,2,0.30000001192092896,Tail,minority_f2
T1200,3,78,1,0.0,0.0,0.0,0,1,1,0.30000001192092896,Tail,minority_f2
T1201,7,78,2,1.0,1.0,1.0,2,0,0,0.30000001192092896,Tail,minority_f2
T1202,3,78,1,0.0,0.0,0.0,0,0,1,0.30000001192092896,Tail,minority_f2
T1203,44,78,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2,0.5600000023841858,Medium,minority_f2
T1204,244,244,70,0.8181818181818182,0.7714285714285715,0.7941176470588235,54,12,16,0.5600000023841858,Head,minority_f2
T1205,20,78,6,1.0,0.5,0.6666666666666666,3,0,3,0.5600000023841858,Medium,minority_f2
T1207,5,78,2,0.0,0.0,0.0,0,0,2,0.30000001192092896,Tail,minority_f2
T1210,33,78,10,0.6666666666666666,0.6,0.631578947368421,6,3,4,0.5600000023841858,Medium,minority_f2
T1211,4,78,1,0.0,0.0,0.0,0,0,1,0.30000001192092896,Tail,minority_f2
T1212,3,78,1,0.0,0.0,0.0,0,0,1,0.30000001192092896,Tail,minority_f2
T1213,17,78,5,0.42857142857142855,0.6,0.5,3,4,2,0.30000001192092896,Tail,minority_f2
T1216,10,78,3,0.4,0.6666666666666666,0.5,2,3,1,0.30000001192092896,Tail,minority_f2
T1217,8,78,2,0.4,1.0,0.5714285714285714,2,3,0,0.30000001192092896,Tail,minority_f2
T1218,225,225,64,0.9152542372881356,0.84375,0.8780487804878049,54,5,10,0.5600000023841858,Head,minority_f2
T1219,86,86,24,0.9090909090909091,0.8333333333333334,0.8695652173913043,20,2,4,0.5600000023841858,Medium,minority_f2
T1220,10,78,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.30000001192092896,Tail,minority_f2
T1221,13,78,4,0.18181818181818182,0.5,0.26666666666666666,2,9,2,0.30000001192092896,Tail,minority_f2
T1222,25,78,7,0.6666666666666666,0.5714285714285714,0.6153846153846154,4,2,3,0.5600000023841858,Medium,minority_f2
T1480,24,78,7,1.0,0.7142857142857143,0.8333333333333334,5,0,2,0.5600000023841858,Medium,minority_f2
T1482,10,78,3,0.75,1.0,0.8571428571428571,3,1,0,0.30000001192092896,Tail,minority_f2
T1484,49,78,14,1.0,0.9285714285714286,0.9629629629629629,13,0,1,0.5600000023841858,Medium,minority_f2
T1485,17,78,5,0.4166666666666667,1.0,0.5882352941176471,5,7,0,0.30000001192092896,Tail,minority_f2
T1486,37,78,11,0.7142857142857143,0.45454545454545453,0.5555555555555556,5,2,6,0.5600000023841858,Medium,minority_f2
T1489,22,78,6,0.75,0.5,0.6,3,1,3,0.5600000023841858,Medium,minority_f2
T1490,19,78,6,0.75,1.0,0.8571428571428571,6,2,0,0.30000001192092896,Tail,minority_f2
T1491,9,78,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.30000001192092896,Tail,minority_f2
T1495,3,78,1,0.0,0.0,0.0,0,1,1,0.30000001192092896,Tail,minority_f2
T1496,12,78,4,0.6,0.75,0.6666666666666666,3,2,1,0.30000001192092896,Tail,minority_f2
T1497,84,84,24,0.56,0.5833333333333334,0.5714285714285714,14,11,10,0.5600000023841858,Medium,minority_f2
T1498,23,78,6,0.375,0.5,0.42857142857142855,3,5,3,0.5600000023841858,Medium,minority_f2
T1499,34,78,10,0.75,0.6,0.6666666666666666,6,2,4,0.5600000023841858,Medium,minority_f2
T1505,48,78,14,1.0,0.6428571428571429,0.782608695652174,9,0,5,0.5600000023841858,Medium,minority_f2
T1518,128,128,37,0.6923076923076923,0.7297297297297297,0.7105263157894737,27,12,10,0.5600000023841858,Head,minority_f2
T1525,4,78,1,0.0,0.0,0.0,0,1,1,0.30000001192092896,Tail,minority_f2
T1526,4,78,1,0.3333333333333333,1.0,0.5,1,2,0,0.30000001192092896,Tail,minority_f2
T1528,9,78,2,0.0,0.0,0.0,0,4,2,0.30000001192092896,Tail,minority_f2
T1529,11,78,3,0.5,1.0,0.6666666666666666,3,3,0,0.30000001192092896,Tail,minority_f2
T1530,6,78,2,0.3333333333333333,0.5,0.4,1,2,1,0.30000001192092896,Tail,minority_f2
T1531,3,78,1,0.0,0.0,0.0,0,1,1,0.30000001192092896,Tail,minority_f2
T1534,7,78,2,0.2,0.5,0.2857142857142857,1,4,1,0.30000001192092896,Tail,minority_f2
T1535,5,78,2,1.0,0.5,0.6666666666666666,1,0,1,0.30000001192092896,Tail,minority_f2
T1537,3,78,1,0.0,0.0,0.0,0,0,1,0.30000001192092896,Tail,minority_f2
T1538,3,78,1,0.0,0.0,0.0,0,1,1,0.30000001192092896,Tail,minority_f2
T1539,12,78,4,0.6,0.75,0.6666666666666666,3,2,1,0.30000001192092896,Tail,minority_f2
T1542,29,78,8,0.7142857142857143,0.625,0.6666666666666666,5,2,3,0.5600000023841858,Medium,minority_f2
T1543,181,182,52,0.75,0.8076923076923077,0.7777777777777778,42,14,10,0.5600000023841858,Head,minority_f2
T1546,122,122,35,0.782608695652174,0.5142857142857142,0.6206896551724138,18,5,17,0.5600000023841858,Head,minority_f2
T1547,338,338,96,0.8064516129032258,0.78125,0.7936507936507936,75,18,21,0.5600000023841858,Head,minority_f2
T1548,92,92,26,0.8947368421052632,0.6538461538461539,0.7555555555555555,17,2,9,0.5600000023841858,Medium,minority_f2
T1550,44,78,13,0.8,0.6153846153846154,0.6956521739130435,8,2,5,0.5600000023841858,Medium,minority_f2
T1552,86,86,25,0.7222222222222222,0.52,0.6046511627906976,13,5,12,0.5600000023841858,Medium,minority_f2
T1553,98,98,28,0.6923076923076923,0.6428571428571429,0.6666666666666666,18,8,10,0.5600000023841858,Medium,minority_f2
T1554,11,78,3,0.6,1.0,0.75,3,2,0,0.30000001192092896,Tail,minority_f2
T1555,99,99,28,0.6470588235294118,0.7857142857142857,0.7096774193548387,22,12,6,0.5600000023841858,Medium,minority_f2
T1556,30,78,8,0.3333333333333333,0.125,0.18181818181818182,1,2,7,0.5600000023841858,Medium,minority_f2
T1557,31,78,9,1.0,0.5555555555555556,0.7142857142857143,5,0,4,0.5600000023841858,Medium,minority_f2
T1558,37,78,11,0.7272727272727273,0.7272727272727273,0.7272727272727273,8,3,3,0.5600000023841858,Medium,minority_f2
T1559,33,78,10,0.8333333333333334,0.5,0.625,5,1,5,0.5600000023841858,Medium,minority_f2
T1560,98,98,28,0.7692307692307693,0.7142857142857143,0.7407407407407407,20,6,8,0.5600000023841858,Medium,minority_f2
T1561,22,78,6,0.5555555555555556,0.8333333333333334,0.6666666666666666,5,4,1,0.5600000023841858,Medium,minority_f2
T1562,230,231,66,0.819672131147541,0.7575757575757576,0.7874015748031497,50,11,16,0.5600000023841858,Head,minority_f2
T1563,16,78,5,0.2857142857142857,0.4,0.3333333333333333,2,5,3,0.30000001192092896,Tail,minority_f2
T1564,140,140,40,0.8235294117647058,0.7,0.7567567567567568,28,6,12,0.5600000023841858,Head,minority_f2
T1565,16,78,5,0.4,0.4,0.4,2,3,3,0.30000001192092896,Tail,minority_f2
T1566,242,244,69,0.8676470588235294,0.855072463768116,0.8613138686131386,59,9,10,0.5600000023841858,Head,minority_f2
T1567,19,78,6,0.3,0.5,0.375,3,7,3,0.30000001192092896,Tail,minority_f2
T1568,38,78,11,0.6363636363636364,0.6363636363636364,0.6363636363636364,7,4,4,0.5600000023841858,Medium,minority_f2
T1569,68,78,20,0.7142857142857143,0.5,0.5882352941176471,10,4,10,0.5600000023841858,Medium,minority_f2
T1570,87,90,25,0.8260869565217391,0.76,0.7916666666666666,19,4,6,0.5600000023841858,Medium,minority_f2
T1571,23,78,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,0.5600000023841858,Medium,minority_f2
T1572,14,78,4,0.2222222222222222,0.5,0.3076923076923077,2,7,2,0.30000001192092896,Tail,minority_f2
T1573,206,206,59,0.7352941176470589,0.847457627118644,0.7874015748031497,50,18,9,0.5600000023841858,Head,minority_f2
T1574,217,217,62,0.8833333333333333,0.8548387096774194,0.8688524590163934,53,7,9,0.5600000023841858,Head,minority_f2
T1578,13,78,4,0.42857142857142855,0.75,0.5454545454545454,3,4,1,0.30000001192092896,Tail,minority_f2
T1580,7,78,2,0.0,0.0,0.0,0,2,2,0.30000001192092896,Tail,minority_f2
T1583,52,78,15,0.7142857142857143,0.6666666666666666,0.6896551724137931,10,4,5,0.5600000023841858,Medium,minority_f2
T1584,31,78,9,0.8333333333333334,0.5555555555555556,0.6666666666666666,5,1,4,0.5600000023841858,Medium,minority_f2
T1585,25,78,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1,0.5600000023841858,Medium,minority_f2
T1586,19,78,6,0.625,0.8333333333333334,0.7142857142857143,5,3,1,0.30000001192092896,Tail,minority_f2
T1587,33,78,10,0.6666666666666666,0.6,0.631578947368421,6,3,4,0.5600000023841858,Medium,minority_f2
T1588,74,78,21,0.7727272727272727,0.8095238095238095,0.7906976744186046,17,5,4,0.5600000023841858,Medium,minority_f2
T1589,23,78,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1,0.5600000023841858,Medium,minority_f2
T1590,24,78,7,0.7777777777777778,1.0,0.875,7,2,0,0.5600000023841858,Medium,minority_f2
T1591,17,78,5,0.5555555555555556,1.0,0.7142857142857143,5,4,0,0.30000001192092896,Tail,minority_f2
T1592,17,79,5,0.36363636363636365,0.8,0.5,4,7,1,0.30000001192092896,Tail,minority_f2
T1593,11,78,3,0.3333333333333333,0.6666666666666666,0.4444444444444444,2,4,1,0.30000001192092896,Tail,minority_f2
T1594,4,78,1,0.5,1.0,0.6666666666666666,1,1,0,0.30000001192092896,Tail,minority_f2
T1595,13,78,4,0.6666666666666666,1.0,0.8,4,2,0,0.30000001192092896,Tail,minority_f2
T1596,24,78,7,0.6,0.42857142857142855,0.5,3,2,4,0.5600000023841858,Medium,minority_f2
T1597,10,78,3,0.5,0.3333333333333333,0.4,1,1,2,0.30000001192092896,Tail,minority_f2
T1598,23,78,7,0.5,0.42857142857142855,0.46153846153846156,3,3,4,0.5600000023841858,Medium,minority_f2
T1599,13,78,4,0.5,0.5,0.5,2,2,2,0.30000001192092896,Tail,minority_f2
T1600,11,78,3,0.5,1.0,0.6666666666666666,3,3,0,0.30000001192092896,Tail,minority_f2
T1601,24,78,7,0.75,0.8571428571428571,0.8,6,2,1,0.5600000023841858,Medium,minority_f2
T1602,12,78,3,0.5,0.6666666666666666,0.5714285714285714,2,2,1,0.30000001192092896,Tail,minority_f2
T1606,18,78,5,0.5,1.0,0.6666666666666666,5,5,0,0.30000001192092896,Tail,minority_f2
T1608,41,78,12,0.4,0.3333333333333333,0.36363636363636365,4,6,8,0.5600000023841858,Medium,minority_f2
T1609,5,78,2,0.5,1.0,0.6666666666666666,2,2,0,0.30000001192092896,Tail,minority_f2
T1610,6,78,2,0.3333333333333333,0.5,0.4,1,2,1,0.30000001192092896,Tail,minority_f2
T1611,8,78,2,0.6666666666666666,1.0,0.8,2,1,0,0.30000001192092896,Tail,minority_f2
T1612,3,78,1,1.0,1.0,1.0,1,0,0,0.30000001192092896,Tail,minority_f2
T1613,5,78,1,0.0,0.0,0.0,0,1,1,0.30000001192092896,Tail,minority_f2
T1614,24,78,7,0.75,0.8571428571428571,0.8,6,2,1,0.5600000023841858,Medium,minority_f2
T1615,5,79,1,0.25,1.0,0.4,1,3,0,0.30000001192092896,Tail,minority_f2
