Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,131,134,37,1.0,1.0,1.0,37,0,0,0.5600000023841858,Head,minority_f2
T1005,78,115,22,0.6190476190476191,0.5909090909090909,0.6046511627906976,13,8,9,0.5600000023841858,Medium,minority_f2
T1012,29,116,8,0.625,0.625,0.625,5,3,3,0.5600000023841858,Medium,minority_f2
T1016,46,115,13,0.8333333333333334,0.7692307692307693,0.8,10,2,3,0.5600000023841858,Medium,minority_f2
T1021,121,128,34,0.8857142857142857,0.9117647058823529,0.8985507246376812,31,4,3,0.5600000023841858,Head,minority_f2
T1027,761,791,218,0.8063063063063063,0.8211009174311926,0.8136363636363636,179,43,39,0.5600000023841858,Head,minority_f2
T1033,45,118,13,0.625,0.38461538461538464,0.47619047619047616,5,3,8,0.5600000023841858,Medium,minority_f2
T1036,88,114,25,0.9166666666666666,0.88,0.8979591836734694,22,2,3,0.5600000023841858,Medium,minority_f2
T1041,101,114,29,0.6896551724137931,0.6896551724137931,0.6896551724137931,20,9,9,0.5600000023841858,Head,minority_f2
T1047,82,114,24,0.9545454545454546,0.875,0.9130434782608695,21,1,3,0.5600000023841858,Medium,minority_f2
T1053,121,125,35,0.967741935483871,0.8571428571428571,0.9090909090909091,30,1,5,0.5600000023841858,Head,minority_f2
T1055,332,340,95,0.86,0.9052631578947369,0.882051282051282,86,14,9,0.5600000023841858,Head,minority_f2
T1056,55,115,16,0.9411764705882353,1.0,0.9696969696969697,16,1,0,0.5600000023841858,Medium,minority_f2
T1057,82,114,24,0.8695652173913043,0.8333333333333334,0.851063829787234,20,3,4,0.5600000023841858,Medium,minority_f2
T1059,325,363,93,0.696078431372549,0.7634408602150538,0.7282051282051282,71,31,22,0.5600000023841858,Head,minority_f2
T1068,11,114,3,0.75,1.0,0.8571428571428571,3,1,0,0.47999998927116394,Tail,minority_f2
T1070,91,114,26,0.6666666666666666,0.7692307692307693,0.7142857142857143,20,10,6,0.5600000023841858,Medium,minority_f2
T1071,178,184,51,0.9130434782608695,0.8235294117647058,0.865979381443299,42,4,9,0.5600000023841858,Head,minority_f2
T1072,13,114,4,1.0,0.25,0.4,1,0,3,0.47999998927116394,Tail,minority_f2
T1074,34,119,10,0.8,0.8,0.8,8,2,2,0.5600000023841858,Medium,minority_f2
T1078,194,217,56,0.8461538461538461,0.7857142857142857,0.8148148148148148,44,8,12,0.5600000023841858,Head,minority_f2
T1082,128,173,36,0.7666666666666667,0.6388888888888888,0.696969696969697,23,7,13,0.5600000023841858,Head,minority_f2
T1083,108,120,31,0.75,0.7741935483870968,0.7619047619047619,24,8,7,0.5600000023841858,Head,minority_f2
T1090,167,167,48,0.9111111111111111,0.8541666666666666,0.8817204301075269,41,4,7,0.5600000023841858,Head,minority_f2
T1095,60,114,17,0.8125,0.7647058823529411,0.7878787878787878,13,3,4,0.5600000023841858,Medium,minority_f2
