Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,48,12,0.8571428571428571,0.5,0.631578947368421,6,1,6,0.54,Medium,global
T1003,107,107,31,0.5151515151515151,0.5483870967741935,0.53125,17,16,14,0.54,Head,global
T1005,78,78,22,0.6153846153846154,0.7272727272727273,0.6666666666666666,16,10,6,0.54,Medium,global
T1006,3,48,1,1.0,1.0,1.0,1,0,0,0.54,Tail,global
T1007,35,48,10,0.875,0.7,0.7777777777777778,7,1,3,0.54,Medium,global
T1008,31,48,9,0.8571428571428571,0.6666666666666666,0.75,6,1,3,0.54,Medium,global
T1010,19,48,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.54,Tail,global
T1011,5,48,2,0.5,0.5,0.5,1,1,1,0.54,Tail,global
T1012,59,59,17,0.75,0.7058823529411765,0.7272727272727273,12,4,5,0.54,Medium,global
T1014,19,48,5,0.8333333333333334,1.0,0.9090909090909091,5,1,0,0.54,Tail,global
T1016,136,136,39,0.875,0.8974358974358975,0.8860759493670886,35,5,4,0.54,Head,global
T1018,40,48,12,0.7272727272727273,0.6666666666666666,0.6956521739130435,8,3,4,0.54,Medium,global
T1020,18,48,5,0.16666666666666666,0.2,0.18181818181818182,1,5,4,0.54,Tail,global
T1021,105,105,30,0.7586206896551724,0.7333333333333333,0.7457627118644068,22,7,8,0.54,Head,global
T1025,18,48,5,0.38461538461538464,1.0,0.5555555555555556,5,8,0,0.54,Tail,global
T1027,348,348,99,0.8095238095238095,0.8585858585858586,0.8333333333333334,85,20,14,0.54,Head,global
T1029,12,48,4,0.5,0.25,0.3333333333333333,1,1,3,0.54,Tail,global
T1030,9,48,3,0.75,1.0,0.8571428571428571,3,1,0,0.54,Tail,global
T1033,108,108,31,0.896551724137931,0.8387096774193549,0.8666666666666667,26,3,5,0.54,Head,global
T1036,192,192,55,0.6949152542372882,0.7454545454545455,0.7192982456140351,41,18,14,0.54,Head,global
T1037,32,48,9,1.0,0.3333333333333333,0.5,3,0,6,0.54,Medium,global
T1039,10,48,3,0.25,0.3333333333333333,0.2857142857142857,1,3,2,0.54,Tail,global
T1040,12,48,4,1.0,0.5,0.6666666666666666,2,0,2,0.54,Tail,global
T1041,64,64,18,0.6428571428571429,0.5,0.5625,9,5,9,0.54,Medium,global
T1046,31,48,9,0.8333333333333334,0.5555555555555556,0.6666666666666666,5,1,4,0.54,Medium,global
T1047,59,59,17,0.8823529411764706,0.8823529411764706,0.8823529411764706,15,2,2,0.54,Medium,global
T1048,37,48,11,0.5454545454545454,0.5454545454545454,0.5454545454545454,6,5,5,0.54,Medium,global
T1049,51,51,14,0.875,0.5,0.6363636363636364,7,1,7,0.54,Medium,global
T1052,10,48,3,1.0,0.3333333333333333,0.5,1,0,2,0.54,Tail,global
T1053,121,121,35,0.8,0.9142857142857143,0.8533333333333334,32,8,3,0.54,Head,global
T1055,170,170,49,0.7692307692307693,0.8163265306122449,0.7920792079207921,40,12,9,0.54,Head,global
T1056,114,114,33,0.8709677419354839,0.8181818181818182,0.84375,27,4,6,0.54,Head,global
T1057,147,147,42,0.9487179487179487,0.8809523809523809,0.9135802469135802,37,2,5,0.54,Head,global
T1059,488,488,140,0.8354430379746836,0.9428571428571428,0.8859060402684564,132,26,8,0.54,Head,global
T1068,26,48,7,0.75,0.42857142857142855,0.5454545454545454,3,1,4,0.54,Medium,global
T1069,45,48,13,0.7142857142857143,0.7692307692307693,0.7407407407407407,10,4,3,0.54,Medium,global
T1070,241,241,69,0.8985507246376812,0.8985507246376812,0.8985507246376812,62,7,7,0.54,Head,global
T1071,255,255,73,0.7857142857142857,0.9041095890410958,0.8407643312101911,66,18,7,0.54,Head,global
T1072,7,48,2,0.5,0.5,0.5,1,1,1,0.54,Tail,global
T1074,68,68,20,0.7333333333333333,0.55,0.6285714285714286,11,4,9,0.54,Medium,global
T1078,63,63,18,0.7333333333333333,0.6111111111111112,0.6666666666666666,11,4,7,0.54,Medium,global
T1080,16,48,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.54,Tail,global
T1082,205,205,59,0.84375,0.9152542372881356,0.8780487804878049,54,10,5,0.54,Head,global
T1083,179,179,51,0.8181818181818182,0.7058823529411765,0.7578947368421053,36,8,15,0.54,Head,global
T1087,67,67,19,0.6666666666666666,0.8421052631578947,0.7441860465116279,16,8,3,0.54,Medium,global
T1090,87,87,25,0.9047619047619048,0.76,0.8260869565217391,19,2,6,0.54,Medium,global
T1091,17,48,5,0.6666666666666666,0.4,0.5,2,1,3,0.54,Tail,global
T1092,4,48,1,0.0,0.0,0.0,0,0,1,0.54,Tail,global
T1095,38,48,11,0.6666666666666666,0.36363636363636365,0.47058823529411764,4,2,7,0.54,Medium,global
T1098,33,48,10,0.7777777777777778,0.7,0.7368421052631579,7,2,3,0.54,Medium,global
T1102,71,71,20,0.5652173913043478,0.65,0.6046511627906976,13,10,7,0.54,Medium,global
