Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1001,40,83,12,0.6666666666666666,0.5,0.5714285714285714,6,3,6,0.57,Medium,global
T1003,247,247,71,0.8428571428571429,0.8309859154929577,0.8368794326241135,59,11,12,0.57,Head,global
T1005,162,162,46,0.6190476190476191,0.5652173913043478,0.5909090909090909,26,16,20,0.57,Head,global
T1006,3,83,1,0.0,0.0,0.0,0,0,1,0.57,Tail,global
T1007,35,83,10,0.7777777777777778,0.7,0.7368421052631579,7,2,3,0.57,Medium,global
T1008,31,83,9,1.0,0.4444444444444444,0.6153846153846154,4,0,5,0.57,Medium,global
T1010,19,83,5,1.0,1.0,1.0,5,0,0,0.57,Tail,global
T1011,5,83,2,1.0,0.5,0.6666666666666666,1,0,1,0.57,Tail,global
T1012,91,91,26,0.8333333333333334,0.7692307692307693,0.8,20,4,6,0.57,Medium,global
T1014,19,83,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.57,Tail,global
T1016,196,196,56,0.8679245283018868,0.8214285714285714,0.8440366972477065,46,7,10,0.57,Head,global
T1018,40,83,12,0.8,0.3333333333333333,0.47058823529411764,4,1,8,0.57,Medium,global
T1020,18,83,5,0.0,0.0,0.0,0,3,5,0.57,Tail,global
T1021,234,234,67,0.7903225806451613,0.7313432835820896,0.7596899224806202,49,13,18,0.57,Head,global
T1025,18,83,5,0.6,0.6,0.6,3,2,2,0.57,Tail,global
T1027,1251,1253,358,0.7791878172588832,0.8575418994413407,0.8164893617021277,307,87,51,0.57,Head,global
T1029,12,83,4,0.0,0.0,0.0,0,0,4,0.57,Tail,global
T1030,9,83,3,1.0,1.0,1.0,3,0,0,0.57,Tail,global
T1033,166,166,47,0.7727272727272727,0.723404255319149,0.7472527472527473,34,10,13,0.57,Head,global
T1036,283,283,81,0.7590361445783133,0.7777777777777778,0.7682926829268293,63,20,18,0.57,Head,global
T1037,32,83,9,0.8333333333333334,0.5555555555555556,0.6666666666666666,5,1,4,0.57,Medium,global
T1039,10,83,3,0.5,0.3333333333333333,0.4,1,1,2,0.57,Tail,global
T1040,12,83,4,0.0,0.0,0.0,0,1,4,0.57,Tail,global
T1041,169,169,48,0.6938775510204082,0.7083333333333334,0.7010309278350515,34,15,14,0.57,Head,global
T1046,31,83,9,1.0,0.7777777777777778,0.875,7,0,2,0.57,Medium,global
T1047,153,153,44,0.82,0.9318181818181818,0.8723404255319149,41,9,3,0.57,Head,global
T1048,37,83,11,0.75,0.5454545454545454,0.631578947368421,6,2,5,0.57,Medium,global
T1049,51,83,14,0.7692307692307693,0.7142857142857143,0.7407407407407407,10,3,4,0.57,Medium,global
T1052,10,83,3,0.0,0.0,0.0,0,0,3,0.57,Tail,global
T1053,261,261,75,0.9571428571428572,0.8933333333333333,0.9241379310344827,67,3,8,0.57,Head,global
T1055,539,539,154,0.8662420382165605,0.8831168831168831,0.8745980707395499,136,21,18,0.57,Head,global
T1056,188,188,54,0.9074074074074074,0.9074074074074074,0.9074074074074074,49,5,5,0.57,Head,global
T1057,248,248,71,0.9104477611940298,0.8591549295774648,0.8840579710144928,61,6,10,0.57,Head,global
T1059,894,895,255,0.800711743772242,0.8823529411764706,0.8395522388059702,225,56,30,0.57,Head,global
T1068,38,83,11,0.8333333333333334,0.9090909090909091,0.8695652173913043,10,2,1,0.57,Medium,global
T1069,45,83,13,0.7857142857142857,0.8461538461538461,0.8148148148148148,11,3,2,0.57,Medium,global
T1070,352,352,101,0.8125,0.900990099009901,0.8544600938967136,91,21,10,0.57,Head,global
T1071,449,449,128,0.8396946564885496,0.859375,0.8494208494208494,110,21,18,0.57,Head,global
T1072,20,83,6,1.0,0.3333333333333333,0.5,2,0,4,0.57,Medium,global
T1074,104,104,30,0.7692307692307693,0.6666666666666666,0.7142857142857143,20,6,10,0.57,Head,global
T1078,271,274,77,0.7721518987341772,0.7922077922077922,0.782051282051282,61,18,16,0.57,Head,global
T1080,16,83,4,1.0,0.5,0.6666666666666666,2,0,2,0.57,Tail,global
T1082,365,365,104,0.8333333333333334,0.8653846153846154,0.8490566037735849,90,18,14,0.57,Head,global
T1083,307,307,88,0.8214285714285714,0.7840909090909091,0.8023255813953488,69,15,19,0.57,Head,global
T1087,67,83,19,0.6666666666666666,0.42105263157894735,0.5161290322580645,8,4,11,0.57,Medium,global
T1090,271,271,78,0.9166666666666666,0.8461538461538461,0.88,66,6,12,0.57,Head,global
T1091,17,83,5,1.0,0.6,0.75,3,0,2,0.57,Tail,global
T1092,4,83,1,0.0,0.0,0.0,0,1,1,0.57,Tail,global
T1095,110,110,31,0.6764705882352942,0.7419354838709677,0.7076923076923077,23,11,8,0.57,Head,global
T1098,33,83,10,0.5714285714285714,0.4,0.47058823529411764,4,3,6,0.57,Medium,global
T1102,71,83,20,0.6666666666666666,0.5,0.5714285714285714,10,5,10,0.57,Medium,global
T1104,12,83,3,0.0,0.0,0.0,0,0,3,0.57,Tail,global
T1105,586,586,168,0.8284023668639053,0.8333333333333334,0.8308605341246291,140,29,28,0.57,Head,global
T1106,355,355,102,0.75,0.7941176470588235,0.7714285714285715,81,27,21,0.57,Head,global
T1110,125,125,36,0.8529411764705882,0.8055555555555556,0.8285714285714286,29,5,7,0.57,Head,global
T1111,9,83,3,0.0,0.0,0.0,0,0,3,0.57,Tail,global
T1112,222,222,63,0.7397260273972602,0.8571428571428571,0.7941176470588235,54,19,9,0.57,Head,global
T1113,139,139,40,0.9714285714285714,0.85,0.9066666666666666,34,1,6,0.57,Head,global
T1114,36,83,10,0.625,0.5,0.5555555555555556,5,3,5,0.57,Medium,global
T1115,22,83,6,0.75,1.0,0.8571428571428571,6,2,0,0.57,Medium,global
T1119,33,83,10,0.6666666666666666,0.4,0.5,4,2,6,0.57,Medium,global
T1120,31,83,9,0.8,0.8888888888888888,0.8421052631578947,8,2,1,0.57,Medium,global
T1123,19,83,5,0.7142857142857143,1.0,0.8333333333333334,5,2,0,0.57,Tail,global
T1124,45,83,13,0.65,1.0,0.7878787878787878,13,7,0,0.57,Medium,global
T1125,19,83,5,1.0,1.0,1.0,5,0,0,0.57,Tail,global
T1127,9,83,3,0.75,1.0,0.8571428571428571,3,1,0,0.57,Tail,global
T1129,16,83,4,0.25,0.25,0.25,1,3,3,0.57,Tail,global
T1132,66,83,19,0.8823529411764706,0.7894736842105263,0.8333333333333334,15,2,4,0.57,Medium,global
T1133,26,83,8,0.625,0.625,0.625,5,3,3,0.57,Medium,global
T1134,52,83,15,0.7692307692307693,0.6666666666666666,0.7142857142857143,10,3,5,0.57,Medium,global
T1135,31,83,9,0.8,0.8888888888888888,0.8421052631578947,8,2,1,0.57,Medium,global
T1136,27,83,8,0.6666666666666666,0.75,0.7058823529411765,6,3,2,0.57,Medium,global
T1137,38,83,11,0.9,0.8181818181818182,0.8571428571428571,9,1,2,0.57,Medium,global
T1140,743,743,212,0.8807339449541285,0.9056603773584906,0.8930232558139535,192,26,20,0.57,Head,global
T1176,11,83,3,1.0,0.3333333333333333,0.5,1,0,2,0.57,Tail,global
T1185,15,83,4,1.0,0.5,0.6666666666666666,2,0,2,0.57,Tail,global
T1187,12,83,4,0.0,0.0,0.0,0,0,4,0.57,Tail,global
T1189,38,83,11,0.8,0.7272727272727273,0.7619047619047619,8,2,3,0.57,Medium,global
T1190,93,93,26,0.9,0.6923076923076923,0.782608695652174,18,2,8,0.57,Medium,global
T1195,19,83,6,0.8,0.6666666666666666,0.7272727272727273,4,1,2,0.57,Tail,global
T1197,15,83,4,0.6666666666666666,0.5,0.5714285714285714,2,1,2,0.57,Tail,global
T1199,8,83,2,0.0,0.0,0.0,0,0,2,0.57,Tail,global
T1200,3,83,1,0.0,0.0,0.0,0,0,1,0.57,Tail,global
T1201,7,83,2,0.5,0.5,0.5,1,1,1,0.57,Tail,global
T1202,3,83,1,0.0,0.0,0.0,0,0,1,0.57,Tail,global
T1203,44,83,12,0.6428571428571429,0.75,0.6923076923076923,9,5,3,0.57,Medium,global
T1204,249,249,71,0.8709677419354839,0.7605633802816901,0.8120300751879699,54,8,17,0.57,Head,global
T1205,20,83,6,1.0,0.6666666666666666,0.8,4,0,2,0.57,Medium,global
T1207,5,83,2,0.0,0.0,0.0,0,0,2,0.57,Tail,global
T1210,36,83,10,0.8181818181818182,0.9,0.8571428571428571,9,2,1,0.57,Medium,global
T1211,4,83,1,0.5,1.0,0.6666666666666666,1,1,0,0.57,Tail,global
T1212,3,83,1,0.0,0.0,0.0,0,0,1,0.57,Tail,global
T1213,17,83,5,1.0,0.2,0.3333333333333333,1,0,4,0.57,Tail,global
T1216,10,83,3,1.0,0.3333333333333333,0.5,1,0,2,0.57,Tail,global
T1217,8,83,2,1.0,0.5,0.6666666666666666,1,0,1,0.57,Tail,global
T1218,240,240,69,0.8490566037735849,0.6521739130434783,0.7377049180327869,45,8,24,0.57,Head,global
T1219,88,88,25,0.7272727272727273,0.64,0.6808510638297872,16,6,9,0.57,Medium,global
T1220,10,83,3,1.0,0.3333333333333333,0.5,1,0,2,0.57,Tail,global
T1221,13,83,4,0.5,0.5,0.5,2,2,2,0.57,Tail,global
T1222,26,83,7,1.0,0.2857142857142857,0.4444444444444444,2,0,5,0.57,Medium,global
T1480,24,83,7,0.0,0.0,0.0,0,0,7,0.57,Medium,global
T1482,10,83,3,0.5,0.3333333333333333,0.4,1,1,2,0.57,Tail,global
T1484,51,83,15,0.6470588235294118,0.7333333333333333,0.6875,11,6,4,0.57,Medium,global
T1485,17,83,5,1.0,0.2,0.3333333333333333,1,0,4,0.57,Tail,global
T1486,37,83,11,0.7692307692307693,0.9090909090909091,0.8333333333333334,10,3,1,0.57,Medium,global
T1489,22,83,6,0.6,0.5,0.5454545454545454,3,2,3,0.57,Medium,global
T1490,19,83,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1,0.57,Tail,global
T1491,9,83,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.57,Tail,global
T1495,3,83,1,0.0,0.0,0.0,0,0,1,0.57,Tail,global
T1496,12,83,4,0.75,0.75,0.75,3,1,1,0.57,Tail,global
T1497,84,84,24,0.8,0.3333333333333333,0.47058823529411764,8,2,16,0.57,Medium,global
T1498,23,83,6,0.42857142857142855,0.5,0.46153846153846156,3,4,3,0.57,Medium,global
T1499,34,83,10,0.6,0.3,0.4,3,2,7,0.57,Medium,global
T1505,48,83,14,0.8,0.5714285714285714,0.6666666666666666,8,2,6,0.57,Medium,global
T1518,132,132,38,0.7741935483870968,0.631578947368421,0.6956521739130435,24,7,14,0.57,Head,global
T1525,4,83,1,0.0,0.0,0.0,0,1,1,0.57,Tail,global
T1526,4,83,1,0.0,0.0,0.0,0,0,1,0.57,Tail,global
T1528,9,83,2,0.3333333333333333,0.5,0.4,1,2,1,0.57,Tail,global
T1529,11,83,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.57,Tail,global
T1530,6,83,2,0.0,0.0,0.0,0,0,2,0.57,Tail,global
T1531,3,83,1,0.0,0.0,0.0,0,0,1,0.57,Tail,global
T1534,7,83,2,1.0,0.5,0.6666666666666666,1,0,1,0.57,Tail,global
T1535,5,83,2,1.0,0.5,0.6666666666666666,1,0,1,0.57,Tail,global
T1537,3,83,1,0.0,0.0,0.0,0,0,1,0.57,Tail,global
T1538,3,83,1,0.0,0.0,0.0,0,0,1,0.57,Tail,global
T1539,12,83,4,0.4,1.0,0.5714285714285714,4,6,0,0.57,Tail,global
T1542,29,83,8,0.7142857142857143,0.625,0.6666666666666666,5,2,3,0.57,Medium,global
T1543,187,187,53,0.6571428571428571,0.8679245283018868,0.7479674796747967,46,24,7,0.57,Head,global
T1546,122,122,35,0.8125,0.37142857142857144,0.5098039215686274,13,3,22,0.57,Head,global
T1547,339,339,97,0.8061224489795918,0.8144329896907216,0.8102564102564103,79,19,18,0.57,Head,global
T1548,97,97,28,0.8695652173913043,0.7142857142857143,0.7843137254901961,20,3,8,0.57,Medium,global
T1550,44,83,13,0.8,0.3076923076923077,0.4444444444444444,4,1,9,0.57,Medium,global
T1552,86,86,25,0.7777777777777778,0.56,0.6511627906976745,14,4,11,0.57,Medium,global
T1553,98,98,28,0.7777777777777778,0.5,0.6086956521739131,14,4,14,0.57,Medium,global
T1554,11,83,3,0.5,0.3333333333333333,0.4,1,1,2,0.57,Tail,global
T1555,99,99,28,0.75,0.75,0.75,21,7,7,0.57,Medium,global
T1556,30,83,8,0.8,0.5,0.6153846153846154,4,1,4,0.57,Medium,global
T1557,31,83,9,0.5454545454545454,0.6666666666666666,0.6,6,5,3,0.57,Medium,global
T1558,37,83,11,0.6,0.5454545454545454,0.5714285714285714,6,4,5,0.57,Medium,global
T1559,33,83,10,0.875,0.7,0.7777777777777778,7,1,3,0.57,Medium,global
T1560,98,98,28,0.696969696969697,0.8214285714285714,0.7540983606557377,23,10,5,0.57,Medium,global
T1561,22,83,6,1.0,0.6666666666666666,0.8,4,0,2,0.57,Medium,global
T1562,241,242,69,0.7662337662337663,0.855072463768116,0.8082191780821918,59,18,10,0.57,Head,global
T1563,16,83,5,0.6666666666666666,0.4,0.5,2,1,3,0.57,Tail,global
T1564,142,142,41,0.9,0.6585365853658537,0.7605633802816901,27,3,14,0.57,Head,global
T1565,16,83,5,1.0,0.4,0.5714285714285714,2,0,3,0.57,Tail,global
T1566,248,248,71,0.8028169014084507,0.8028169014084507,0.8028169014084507,57,14,14,0.57,Head,global
T1567,19,83,6,1.0,0.16666666666666666,0.2857142857142857,1,0,5,0.57,Tail,global
T1568,38,83,11,1.0,0.6363636363636364,0.7777777777777778,7,0,4,0.57,Medium,global
T1569,69,83,20,0.7058823529411765,0.6,0.6486486486486487,12,5,8,0.57,Medium,global
T1570,87,87,25,0.7083333333333334,0.68,0.6938775510204082,17,7,8,0.57,Medium,global
T1571,23,83,7,0.5,0.7142857142857143,0.5882352941176471,5,5,2,0.57,Medium,global
T1572,14,83,4,0.5,0.75,0.6,3,3,1,0.57,Tail,global
T1573,211,211,60,0.7692307692307693,0.6666666666666666,0.7142857142857143,40,12,20,0.57,Head,global
T1574,231,231,66,0.8548387096774194,0.803030303030303,0.828125,53,9,13,0.57,Head,global
T1578,13,83,4,0.6,0.75,0.6666666666666666,3,2,1,0.57,Tail,global
T1580,7,83,2,0.0,0.0,0.0,0,2,2,0.57,Tail,global
T1583,52,83,15,0.5714285714285714,0.5333333333333333,0.5517241379310345,8,6,7,0.57,Medium,global
T1584,31,83,9,0.625,0.5555555555555556,0.5882352941176471,5,3,4,0.57,Medium,global
T1585,25,83,7,0.5,0.2857142857142857,0.36363636363636365,2,2,5,0.57,Medium,global
T1586,19,83,6,0.6666666666666666,1.0,0.8,6,3,0,0.57,Tail,global
T1587,33,83,10,0.5833333333333334,0.7,0.6363636363636364,7,5,3,0.57,Medium,global
T1588,74,83,21,0.8235294117647058,0.6666666666666666,0.7368421052631579,14,3,7,0.57,Medium,global
T1589,23,83,6,1.0,0.3333333333333333,0.5,2,0,4,0.57,Medium,global
T1590,24,83,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,0.57,Medium,global
T1591,17,83,5,0.6666666666666666,0.4,0.5,2,1,3,0.57,Tail,global
T1592,17,86,5,0.6666666666666666,0.4,0.5,2,1,3,0.57,Tail,global
T1593,11,83,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.57,Tail,global
T1594,4,83,1,1.0,1.0,1.0,1,0,0,0.57,Tail,global
T1595,13,83,4,0.5,0.5,0.5,2,2,2,0.57,Tail,global
T1596,24,83,7,0.75,0.42857142857142855,0.5454545454545454,3,1,4,0.57,Medium,global
T1597,10,83,3,1.0,0.3333333333333333,0.5,1,0,2,0.57,Tail,global
T1598,23,83,7,0.2,0.14285714285714285,0.16666666666666666,1,4,6,0.57,Medium,global
T1599,13,83,4,1.0,0.75,0.8571428571428571,3,0,1,0.57,Tail,global
T1600,11,83,3,1.0,1.0,1.0,3,0,0,0.57,Tail,global
T1601,24,83,7,0.8333333333333334,0.7142857142857143,0.7692307692307693,5,1,2,0.57,Medium,global
T1602,12,83,3,1.0,1.0,1.0,3,0,0,0.57,Tail,global
T1606,18,83,5,0.5,0.4,0.4444444444444444,2,2,3,0.57,Tail,global
T1608,41,83,12,0.7142857142857143,0.4166666666666667,0.5263157894736842,5,2,7,0.57,Medium,global
T1609,5,83,2,0.0,0.0,0.0,0,1,2,0.57,Tail,global
T1610,6,83,2,0.0,0.0,0.0,0,1,2,0.57,Tail,global
T1611,8,83,2,1.0,0.5,0.6666666666666666,1,0,1,0.57,Tail,global
T1612,3,83,1,1.0,1.0,1.0,1,0,0,0.57,Tail,global
T1613,5,83,1,0.0,0.0,0.0,0,0,1,0.57,Tail,global
T1614,24,83,7,0.8,0.5714285714285714,0.6666666666666666,4,1,3,0.57,Medium,global
T1615,5,83,1,0.0,0.0,0.0,0,0,1,0.57,Tail,global
T1619,3,83,1,0.0,0.0,0.0,0,0,1,0.57,Tail,global
T1620,7,83,2,0.0,0.0,0.0,0,0,2,0.57,Tail,global
