Technique_ID,Original_Train_Support,Stage1_Train_Support,Test_Support,Precision,Recall,F1,TP,FP,FN,Threshold,Support_Bucket,Prediction_Mode
T1003,140,148,40,0.9487179487179487,0.925,0.9367088607594937,37,2,3,0.64,Head,global
T1005,84,132,24,0.9285714285714286,0.5416666666666666,0.6842105263157895,13,1,11,0.64,Medium,global
T1012,31,132,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,8,1,1,0.64,Medium,global
T1016,60,132,17,0.7142857142857143,0.5882352941176471,0.6451612903225806,10,4,7,0.64,Medium,global
T1021,129,134,37,0.9428571428571428,0.8918918918918919,0.9166666666666666,33,2,4,0.64,Head,global
T1027,904,929,258,0.8185328185328186,0.8217054263565892,0.8201160541586073,212,47,46,0.64,Head,global
T1033,58,136,16,0.7058823529411765,0.75,0.7272727272727273,12,5,4,0.64,Medium,global
T1036,92,133,26,0.9090909090909091,0.7692307692307693,0.8333333333333334,20,2,6,0.64,Medium,global
T1041,105,132,30,0.875,0.7,0.7777777777777778,21,3,9,0.64,Head,global
T1047,94,132,27,0.96,0.8888888888888888,0.9230769230769231,24,1,3,0.64,Medium,global
T1053,140,152,40,1.0,0.85,0.918918918918919,34,0,6,0.64,Head,global
T1055,369,382,105,0.9183673469387755,0.8571428571428571,0.8866995073891626,90,8,15,0.64,Head,global
T1056,74,134,21,0.9130434782608695,1.0,0.9545454545454546,21,2,0,0.64,Medium,global
T1057,101,132,29,0.8571428571428571,0.8275862068965517,0.8421052631578947,24,4,5,0.64,Head,global
T1059,405,446,116,0.8490566037735849,0.7758620689655172,0.8108108108108109,90,16,26,0.64,Head,global
T1068,12,132,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,0.64,Tail,global
T1070,111,132,32,0.7428571428571429,0.8125,0.7761194029850746,26,9,6,0.64,Head,global
T1071,194,205,55,0.8936170212765957,0.7636363636363637,0.8235294117647058,42,5,13,0.64,Head,global
T1072,13,132,4,1.0,0.75,0.8571428571428571,3,0,1,0.64,Tail,global
T1074,36,133,10,0.8571428571428571,0.6,0.7058823529411765,6,1,4,0.64,Medium,global
T1078,208,240,59,0.9074074074074074,0.8305084745762712,0.8672566371681416,49,5,10,0.64,Head,global
T1082,159,205,46,0.85,0.7391304347826086,0.7906976744186046,34,6,12,0.64,Head,global
T1083,128,138,37,0.9642857142857143,0.7297297297297297,0.8307692307692308,27,1,10,0.64,Head,global
T1090,184,192,53,0.8823529411764706,0.8490566037735849,0.8653846153846154,45,6,8,0.64,Head,global
T1095,72,132,21,0.7272727272727273,0.7619047619047619,0.7441860465116279,16,6,5,0.64,Medium,global
T1105,348,365,100,0.9010989010989011,0.82,0.8586387434554974,82,9,18,0.64,Head,global
T1106,275,295,78,0.8170731707317073,0.8589743589743589,0.8375,67,15,11,0.64,Head,global
T1110,76,132,22,1.0,0.8636363636363636,0.926829268292683,19,0,3,0.64,Medium,global
T1112,142,162,41,0.8181818181818182,0.8780487804878049,0.8470588235294118,36,8,5,0.64,Head,global
T1113,54,137,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,14,1,1,0.64,Medium,global
T1140,606,618,173,0.9055555555555556,0.9421965317919075,0.9235127478753541,163,17,10,0.64,Head,global
T1190,73,135,21,0.84,1.0,0.9130434782608695,21,4,0,0.64,Medium,global
T1204,118,133,34,0.896551724137931,0.7647058823529411,0.8253968253968254,26,3,8,0.64,Head,global
T1210,19,135,6,1.0,0.5,0.6666666666666666,3,0,3,0.64,Tail,global
T1218,74,132,21,0.9047619047619048,0.9047619047619048,0.9047619047619048,19,2,2,0.64,Medium,global
T1219,71,136,20,0.7894736842105263,0.75,0.7692307692307693,15,4,5,0.64,Medium,global
T1484,30,132,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,8,1,1,0.64,Medium,global
T1518,47,135,13,0.9090909090909091,0.7692307692307693,0.8333333333333334,10,1,3,0.64,Medium,global
T1543,64,134,18,0.7222222222222222,0.7222222222222222,0.7222222222222222,13,5,5,0.64,Medium,global
T1547,81,132,23,1.0,0.6086956521739131,0.7567567567567568,14,0,9,0.64,Medium,global
T1548,35,132,10,0.7272727272727273,0.8,0.7619047619047619,8,3,2,0.64,Medium,global
T1552,28,132,8,0.625,0.625,0.625,5,3,3,0.64,Medium,global
T1557,8,132,2,1.0,0.5,0.6666666666666666,1,0,1,0.64,Tail,global
T1562,119,145,34,0.7837837837837838,0.8529411764705882,0.8169014084507042,29,8,5,0.64,Head,global
T1564,23,133,7,1.0,0.8571428571428571,0.9230769230769231,6,0,1,0.64,Medium,global
T1566,113,132,32,0.84375,0.84375,0.84375,27,5,5,0.64,Head,global
T1569,27,136,8,0.8571428571428571,0.75,0.8,6,1,2,0.64,Medium,global
T1570,73,132,21,1.0,0.8095238095238095,0.8947368421052632,17,0,4,0.64,Medium,global
T1573,75,133,21,0.7391304347826086,0.8095238095238095,0.7727272727272727,17,6,4,0.64,Medium,global
T1574,102,132,29,1.0,0.8620689655172413,0.9259259259259259,25,0,4,0.64,Head,global
